correct_sentence,gt
গতকাল মঙ্গলবার নাচোল আদিবাসী একাডেমী মিলনায়াতনে এক প্রস্ততি সভায় এ ঘোষণা দেন জাতীয় আদিবাসী পরিষদের কেন্দ্রীয় সভাপতি রবীন্দ্রনাথ সরেন,গতকাল মঙ্গলবার নাচোল আদিবাসী একাডেমী মিলনায়াতনে এক প্রস্ততি সভায় এ ঘোষণা দেন জাতীয় আদিবাসী পরিষদের কেন্দ্রীয় সভাপতি রবীন্দ্রনাথ সরেন
দিদিয়ের দেশম ডেমবেলেকেই সবচেয়ে বেশি সমাদর করেন,দিদিয়ের দেশম ডেমবেলেকেই সবচেয়ে বেশি সমাদর করেন
ইউএনএসকাপ-এপিসিআইসিটির একটি কর্মসূচি এটি,ইউএনএসকাপ-এপিসিআইসিটির একটি কর্মসূচি এটি
বর্তমানে তিনি রাশিয়ার রাজধানী মস্কোতে হোটেল ব্যবসা করেন,বর্তমানে তিনি রাশিয়ার রাজধানী মস্কোতে হোটেল ব্যবসা করেন
"তাঁর জানামতে, প্রধান শিক্ষকের সংরক্ষিত ছুটি ঘোষণা করে এ অনুষ্ঠানের আয়োজন করা হয়েছে","তাঁর জানামতে, প্রধান শিক্ষকের সংরক্ষিত ছুটি ঘোষণা করে এ অনুষ্ঠানের আয়োজন করা হয়েছে"
আজ বুধবার বিকেলে নগরের এম এ আজিজ স্টেডিয়ামের প্রশিক্ষণ মাঠে আট দিনব্যাপী বইমেলার উদ্বোধনী অনুষ্ঠানে আসাদুজ্জামান নূর এসব কথা বলেন,আজ বুধবার বিকেলে নগরের এম এ আজিজ স্টেডিয়ামের প্রশিক্ষণ মাঠে আট দিনব্যাপী বইমেলার উদ্বোধনী অনুষ্ঠানে আসাদুজ্জামান নূর এসব কথা বলেন
সহিংসতার ঘটনায় করা মামলায় গুলির এই তথ্য উল্লেখ করা হয়েছে,সহিংসতার ঘটনায় করা মামলায় গুলির এই তথ্য উল্লেখ করা হয়েছে
সমস্যার গোড়ায় রয়েছে ক্রুদ্ধ শ্রেণিবঞ্চনা,সমস্যার গোড়ায় রয়েছে ক্রুদ্ধ শ্রেণিবঞ্চনা
কথা ছিল ঈদের পরপরই নতুন নাটকে কাজ শুরু করবেন এই অভিনেত্রী,কথা ছিল ঈদের পরপরই নতুন নাটকে কাজ শুরু করবেন এই অভিনেত্রী
"সাঈদের মা আদালতকে বলেন, ছেলেকে না পেয়ে প্রথমে থানায় জিডি করেন তাঁরা","সাঈদের মা আদালতকে বলেন, ছেলেকে না পেয়ে প্রথমে থানায় জিডি করেন তাঁরা"
"যেকোনো ভ্রমণে সড়ক, বিমান বা জলপথে টিকিট পাওয়ার ক্ষেত্রে তাঁরা অগ্রাধিকার পাবেন","যেকোনো ভ্রমণে সড়ক, বিমান বা জলপথে টিকিট পাওয়ার ক্ষেত্রে তাঁরা অগ্রাধিকার পাবেন"
"বাংলাদেশে আরও নতুন মানুষকে নিয়ে আমাদের মানবাধিকার লঙ্ঘিত হয়, এমন কোনো কাজ করতে পারি না","বাংলাদেশে আরও নতুন মানুষকে নিয়ে আমাদের মানবাধিকার লঙ্ঘিত হয়, এমন কোনো কাজ করতে পারি না"
এই অভিযান কবে শেষ হবে আমরা জানি না,এই অভিযান কবে শেষ হবে আমরা জানি না
নওগাঁ-৩ আসনে আকরাম হোসেন চৌধুরীর প্রতিপক্ষ মহাদেবপুর থানা আওয়ামী লীগের সাংগঠনিক সম্পাদক ছলিম উদ্দিন,নওগাঁ-৩ আসনে আকরাম হোসেন চৌধুরীর প্রতিপক্ষ মহাদেবপুর থানা আওয়ামী লীগের সাংগঠনিক সম্পাদক ছলিম উদ্দিন
আর মৌচাক মোড়ে খুঁটি গেড়ে আরেকটি ট্রাফিক পুলিশ বক্স তৈরি করা হবে,আর মৌচাক মোড়ে খুঁটি গেড়ে আরেকটি ট্রাফিক পুলিশ বক্স তৈরি করা হবে
"কিন্তু এবার রোনালদোর পাশে তাঁকে না দেখে অনেকেরই প্রশ্ন জেগেছে, দুজনের কি কিছু হয়েছে? রোনালদো পুরস্কার পাওয়ার পর পরিবারের অনেকের কথা বললেও সঙ্গিনীর নাম মুখেও আনেননি","কিন্তু এবার রোনালদোর পাশে তাঁকে না দেখে অনেকেরই প্রশ্ন জেগেছে, দুজনের কি কিছু হয়েছে? রোনালদো পুরস্কার পাওয়ার পর পরিবারের অনেকের কথা বললেও সঙ্গিনীর নাম মুখেও আনেননি"
তবে পৌর এলাকার রোস্তম আলী গোলন্দাজ উচ্চবিদ্যালয়ের নবম শ্রেণীর ছাত্র তুষারসহ ছয়জনকে কারাগারে পাঠানো হয়েছে,তবে পৌর এলাকার রোস্তম আলী গোলন্দাজ উচ্চবিদ্যালয়ের নবম শ্রেণীর ছাত্র তুষারসহ ছয়জনকে কারাগারে পাঠানো হয়েছে
অসত্য,অসত্য
নারীদের গাড়ি চালাতে না দেওয়ার অর্থনৈতিক ক্ষতির প্রসঙ্গও তুলে ধরেন প্রিন্স আলওয়ালেদ,নারীদের গাড়ি চালাতে না দেওয়ার অর্থনৈতিক ক্ষতির প্রসঙ্গও তুলে ধরেন প্রিন্স আলওয়ালেদ
ফলাফল: ৫ জানুয়ারি হয়ে যাওয়া ৬২টি ভোটকেন্দ্রের ৮৯ হাজার ১৩১ ভোটের মধ্যে ৪৮ হাজার ৮৬২ ভোট সংগৃহীত হয়েছিল,ফলাফল: ৫ জানুয়ারি হয়ে যাওয়া ৬২টি ভোটকেন্দ্রের ৮৯ হাজার ১৩১ ভোটের মধ্যে ৪৮ হাজার ৮৬২ ভোট সংগৃহীত হয়েছিল
এ ক্ষেত্রে কাগজের ফরম থেকে ইলেকট্রনিক পদ্ধতিতে তথ্য সংগ্রহ করার কথা বলা হয়,এ ক্ষেত্রে কাগজের ফরম থেকে ইলেকট্রনিক পদ্ধতিতে তথ্য সংগ্রহ করার কথা বলা হয়
এরপর গতকাল হামলা চালানো হয়,এরপর গতকাল হামলা চালানো হয়
"ট্রাফিক পশ্চিমের উপকমিশনার একরামুল হাবিব রাস্তা দখল করার অভিযোগ অস্বীকার করে বলেন, ‘ওই রাস্তায় সাময়িকভাবে জব্দ করা গাড়ি রাখা হয়েছে","ট্রাফিক পশ্চিমের উপকমিশনার একরামুল হাবিব রাস্তা দখল করার অভিযোগ অস্বীকার করে বলেন, ‘ওই রাস্তায় সাময়িকভাবে জব্দ করা গাড়ি রাখা হয়েছে"
কিন্তু তখন আমি প্রস্তুত ছিলাম না,কিন্তু তখন আমি প্রস্তুত ছিলাম না
তিনি সার্জেন্ট আহাদ হত্যা মামলার আসামি ছিলেন,তিনি সার্জেন্ট আহাদ হত্যা মামলার আসামি ছিলেন
"সেই সঙ্গে বাড়ে অভ্যন্তরীণ করতোয়া, বড়াল, ফুলঝোড় ও ইছামতী নদীর পানি","সেই সঙ্গে বাড়ে অভ্যন্তরীণ করতোয়া, বড়াল, ফুলঝোড় ও ইছামতী নদীর পানি"
ঠিকানা: www.facebook.com/Shong-সঙআজকের ডিলঅনলাইন কেনাকাটা আরও সহজ করতে ই-কমার্স সাইট আজকের ডিলে যুক্ত হয়েছে নতুন ফিচার,ঠিকানা: www.facebook.com/Shong-সঙআজকের ডিলঅনলাইন কেনাকাটা আরও সহজ করতে ই-কমার্স সাইট আজকের ডিলে যুক্ত হয়েছে নতুন ফিচার
"আমার ধারণা, দল এবং সভানেত্রী শেখ হাসিনা হয়তো ভেবেছেন, আমাকে ঢাকা-১৭ থেকে মনোনয়ন দেওয়া হোক","আমার ধারণা, দল এবং সভানেত্রী শেখ হাসিনা হয়তো ভেবেছেন, আমাকে ঢাকা-১৭ থেকে মনোনয়ন দেওয়া হোক"
তেমনি একটি প্রকল্প ছিল কক্সবাজার বায়তুশশরফ জব্বারিয়া একাডেমির নবম শ্রেিণর ছাত্র আমিনুল রিয়াদের,তেমনি একটি প্রকল্প ছিল কক্সবাজার বায়তুশশরফ জব্বারিয়া একাডেমির নবম শ্রেিণর ছাত্র আমিনুল রিয়াদের
বরং এসব রাজনৈতিক মামলাকে কেন্দ্র করে পুলিশের উৎকোচ–বাণিজ্যের প্রসার ঘটে,বরং এসব রাজনৈতিক মামলাকে কেন্দ্র করে পুলিশের উৎকোচ–বাণিজ্যের প্রসার ঘটে
এর আগে নিউজিল্যান্ডের বিপক্ষে টান টান উত্তেজনার ম্যাচে ৫ ওভার বল করে ৩২ রান দিয়ে পাননি কোনো উইকেট,এর আগে নিউজিল্যান্ডের বিপক্ষে টান টান উত্তেজনার ম্যাচে ৫ ওভার বল করে ৩২ রান দিয়ে পাননি কোনো উইকেট
এ ছাড়া ঈদের পরে কক্সবাজার রুটে প্রতিদিন অতিরিক্ত তিন থেকে চারটি ফ্লাইট থাকছে,এ ছাড়া ঈদের পরে কক্সবাজার রুটে প্রতিদিন অতিরিক্ত তিন থেকে চারটি ফ্লাইট থাকছে
এরপর আরও পাঁচ-ছয় দিন থেকে মেজবাও ঢাকায় চলে যান,এরপর আরও পাঁচ-ছয় দিন থেকে মেজবাও ঢাকায় চলে যান
বলাকা সিনেওয়ার্ল্ডনিঃস্বার্থ ভালোবাসা ও রূপগাওয়াল,বলাকা সিনেওয়ার্ল্ডনিঃস্বার্থ ভালোবাসা ও রূপগাওয়াল
প্রতিবেশীরা এসে সান্ত্বনা দিচ্ছেন,প্রতিবেশীরা এসে সান্ত্বনা দিচ্ছেন
মশাল বহন দেখতে আসা দর্শকেরা অবাক,মশাল বহন দেখতে আসা দর্শকেরা অবাক
"আদালতে দুদকের পক্ষে ছিলেন, আইনজীবী খুরশীদ আলম খান","আদালতে দুদকের পক্ষে ছিলেন, আইনজীবী খুরশীদ আলম খান"
"দরদামজানান, ভিশনের ৬ কেজির ওয়াশিং মেশিন ক্রেতারা কিনতে পারবেন ২১ হাজার ৩৭৫ টাকায়","দরদামজানান, ভিশনের ৬ কেজির ওয়াশিং মেশিন ক্রেতারা কিনতে পারবেন ২১ হাজার ৩৭৫ টাকায়"
"সংবাদ সম্মেলনে সুজনের বাবা ফরিদ সরদার অভিযোগ করেন, খালিশপুর থানার ওসি আনোয়ার হোসেন হলেন প্রধান আসামি শেখ খালিদের খালু শ্বশুর","সংবাদ সম্মেলনে সুজনের বাবা ফরিদ সরদার অভিযোগ করেন, খালিশপুর থানার ওসি আনোয়ার হোসেন হলেন প্রধান আসামি শেখ খালিদের খালু শ্বশুর"
গিয়াসউদ্দিন আল মামুনকে ২০০৭ সালের ৩১ জুলাই গ্রেপ্তার করা হয়,গিয়াসউদ্দিন আল মামুনকে ২০০৭ সালের ৩১ জুলাই গ্রেপ্তার করা হয়
"আদালত বলেন, ‘শুধু বাংলাদেশ নয়, পৃথিবীর কোথাও মুক্তিযোদ্ধাদের বয়সের ফ্রেমে বাঁধা যায় না","আদালত বলেন, ‘শুধু বাংলাদেশ নয়, পৃথিবীর কোথাও মুক্তিযোদ্ধাদের বয়সের ফ্রেমে বাঁধা যায় না"
"তাতে বলা হয়, সেপ্টেম্বরের শেষে পশ্চিমা স্বার্থে জঙ্গিরা হামলা চালাতে পারে বলে নির্ভরযোগ্য তথ্যের বরাত দিয়ে অস্ট্রেলিয়া ও যুক্তরাজ্য সরকার বাংলাদেশে তাদের নাগরিকদের সতর্ক করেছে","তাতে বলা হয়, সেপ্টেম্বরের শেষে পশ্চিমা স্বার্থে জঙ্গিরা হামলা চালাতে পারে বলে নির্ভরযোগ্য তথ্যের বরাত দিয়ে অস্ট্রেলিয়া ও যুক্তরাজ্য সরকার বাংলাদেশে তাদের নাগরিকদের সতর্ক করেছে"
এডিসন হেলথ কেয়ারের চেয়ারম্যান অধ্যাপক এম হারুনুর রশীদ এবং প্রগতি ইনস্যুরেন্স লিমিটেডের ব্যবস্থাপনা পরিচালক ও সিইও মো. মনিরুল ইসলাম নিজ নিজ প্রতিষ্ঠানের পক্ষে চুক্তিতে স্বাক্ষর করেন,এডিসন হেলথ কেয়ারের চেয়ারম্যান অধ্যাপক এম হারুনুর রশীদ এবং প্রগতি ইনস্যুরেন্স লিমিটেডের ব্যবস্থাপনা পরিচালক ও সিইও মো. মনিরুল ইসলাম নিজ নিজ প্রতিষ্ঠানের পক্ষে চুক্তিতে স্বাক্ষর করেন
একই দিন শেরপুরের নালিতাবাড়ী উপজেলায় তৌফিক হাসান (১৪ মাস) নামের এক শিশুর মৃত্যু হয়েছে,একই দিন শেরপুরের নালিতাবাড়ী উপজেলায় তৌফিক হাসান (১৪ মাস) নামের এক শিশুর মৃত্যু হয়েছে
এ ধরনের প্রদর্শনীর আয়োজনে রাজধানীর নাটকের দলগুলো ঢাকঢোল পিটিয়ে নেচে-গেয়ে আনন্দ করে,এ ধরনের প্রদর্শনীর আয়োজনে রাজধানীর নাটকের দলগুলো ঢাকঢোল পিটিয়ে নেচে-গেয়ে আনন্দ করে
তিনি বাবা-মায়ের জন্য দিলেন কিছু পরামর্শ—*ছুটিতে থাকার সময় সন্তানকে পুরোপুরি বাঁধনছাড়া চলতে দেওয়া যাবে না,তিনি বাবা-মায়ের জন্য দিলেন কিছু পরামর্শ—*ছুটিতে থাকার সময় সন্তানকে পুরোপুরি বাঁধনছাড়া চলতে দেওয়া যাবে না
এই চার পরাজয়ের তিনটি আবার এসেছিল গলে,এই চার পরাজয়ের তিনটি আবার এসেছিল গলে
আজ রিভার্স সুইপ মারতে গিয়ে মরগান আউট হয়ে যাওয়ার পর ইংল্যান্ড হারলে কেউ এটিকে দায়ী করবে না,আজ রিভার্স সুইপ মারতে গিয়ে মরগান আউট হয়ে যাওয়ার পর ইংল্যান্ড হারলে কেউ এটিকে দায়ী করবে না
"ভালুকা মডেল থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) মামুন অর রশিদ বলেন, লাশ ময়নাতদন্তের জন্য ময়মনসিংহ মেডিকেল কলেজ হাসপাতালে পাঠানো হয়েছে","ভালুকা মডেল থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) মামুন অর রশিদ বলেন, লাশ ময়নাতদন্তের জন্য ময়মনসিংহ মেডিকেল কলেজ হাসপাতালে পাঠানো হয়েছে"
এর ফলে ২৮৯ জন সাংসদের মধ্যে ২৮৮ জন শপথ নিলেন,এর ফলে ২৮৯ জন সাংসদের মধ্যে ২৮৮ জন শপথ নিলেন
"এনডিটিভির খবরে বলা হয়েছে, সরকারি প্রতিবেদনে রঘুরাম রাজনের এই বক্তব্যে নতুন করে তোলপাড় শুরু হয়েছে ভারতে","এনডিটিভির খবরে বলা হয়েছে, সরকারি প্রতিবেদনে রঘুরাম রাজনের এই বক্তব্যে নতুন করে তোলপাড় শুরু হয়েছে ভারতে"
স্টারমুভিজসকাল ১০-০০ হানিআইব্লিউআপদ্যকিড,স্টারমুভিজসকাল ১০-০০ হানিআইব্লিউআপদ্যকিড
পরে স্থানীয়দের সঙ্গে এবং পুলিশের সঙ্গে কথা বলে বিষয়টি গ্রাম্য সালিসের মাধ্যমে আপসরফা করার জন্য আগামী বৃহস্পতিবার (আজ) দিন ধার্য করা হয়েছে,পরে স্থানীয়দের সঙ্গে এবং পুলিশের সঙ্গে কথা বলে বিষয়টি গ্রাম্য সালিসের মাধ্যমে আপসরফা করার জন্য আগামী বৃহস্পতিবার (আজ) দিন ধার্য করা হয়েছে
লতিফ সিদ্দিকী দৈনিক প্রথম আলোর মফস্বল সম্পাদক ছিলেন,লতিফ সিদ্দিকী দৈনিক প্রথম আলোর মফস্বল সম্পাদক ছিলেন
থানা-পুলিশ পর্যন্ত বিষয়গুলো গড়ায়,থানা-পুলিশ পর্যন্ত বিষয়গুলো গড়ায়
"পিটিআইয়ের খবরে জানানো হয়, সান্তাক্রুজ এলাকায় গত বৃহস্পতিবার সকাল সাড়ে আটটা থেকে গতকাল শুক্রবার সকাল সাড়ে আটটা পর্যন্ত গত ২৪ ঘণ্টায় ২৮৩.৪ মিলিমিটার বৃষ্টিপাত হয়েছে","পিটিআইয়ের খবরে জানানো হয়, সান্তাক্রুজ এলাকায় গত বৃহস্পতিবার সকাল সাড়ে আটটা থেকে গতকাল শুক্রবার সকাল সাড়ে আটটা পর্যন্ত গত ২৪ ঘণ্টায় ২৮৩.৪ মিলিমিটার বৃষ্টিপাত হয়েছে"
এই তিন দেশের একটির ভাষাও দিয়েও দিব্যি কাজ চালিয়ে নেওয়া যায়,এই তিন দেশের একটির ভাষাও দিয়েও দিব্যি কাজ চালিয়ে নেওয়া যায়
রেজারের আগে কয়েকটি প্রতিষ্ঠান গেমভিত্তিক মোবাইল ফোন তৈরির চেষ্টা করেছিল,রেজারের আগে কয়েকটি প্রতিষ্ঠান গেমভিত্তিক মোবাইল ফোন তৈরির চেষ্টা করেছিল
তাই আবহাওয়ার চিন্তাটা মাথায় নিয়েই অ্যাঞ্জেলো ম্যাথুস অবাধ স্বাধীনতা দিলেন ব্যাটসম্যানদের,তাই আবহাওয়ার চিন্তাটা মাথায় নিয়েই অ্যাঞ্জেলো ম্যাথুস অবাধ স্বাধীনতা দিলেন ব্যাটসম্যানদের
গত বছরের ২০ মে কুষ্টিয়ায় বাউল অনুসারী হোমিও চিকিৎসক মীর সানাউর রহমান এবং ৫ জুন নাটোরের খ্রিষ্টানপল্লির ক্ষুদ্র ব্যবসায়ী সুনীল গোমেজ হত্যাসহ বিভিন্ন জঙ্গি হামলায় জড়িত ছিলেন এই মুসা,গত বছরের ২০ মে কুষ্টিয়ায় বাউল অনুসারী হোমিও চিকিৎসক মীর সানাউর রহমান এবং ৫ জুন নাটোরের খ্রিষ্টানপল্লির ক্ষুদ্র ব্যবসায়ী সুনীল গোমেজ হত্যাসহ বিভিন্ন জঙ্গি হামলায় জড়িত ছিলেন এই মুসা
কিন্তু আজকাল প্রাকৃতিক রং বা ন্যাচারাল ডাই হয়ে উঠেছে চলতি কেতা,কিন্তু আজকাল প্রাকৃতিক রং বা ন্যাচারাল ডাই হয়ে উঠেছে চলতি কেতা
"বজ্রপাতে আহত হয়েছেন, নলপাতুয়া গ্রামের সিদ্দিক হোসেনের মেয়ে শান্তা (১৪) ও রাহেল বক্সের স্ত্রী ময়না খাতুন (৬০)","বজ্রপাতে আহত হয়েছেন, নলপাতুয়া গ্রামের সিদ্দিক হোসেনের মেয়ে শান্তা (১৪) ও রাহেল বক্সের স্ত্রী ময়না খাতুন (৬০)"
"ডিএসই ওয়েবসাইট সূত্রে জানা যায়, দুপুর ১২টা পর্যন্ত ডিএসইতে লেনদেনের পরিমাণ ৪৪০ কোটি টাকা, যা গত কার্যদিবসের চেয়ে বেশি","ডিএসই ওয়েবসাইট সূত্রে জানা যায়, দুপুর ১২টা পর্যন্ত ডিএসইতে লেনদেনের পরিমাণ ৪৪০ কোটি টাকা, যা গত কার্যদিবসের চেয়ে বেশি"
"এতে সহসভাপতি তারেক হোসেন, শেখ বুরহান উদ্দিন, মিজানুর রহমান, শায়েক আহমদ, রুহেল মিয়া, ফয়সল আহমদ, শাহরিয়ার মাহমুদ ও গণেশ চন্দ্র দেব, যুগ্ম সাধারণ সম্পাদক খালেদ খান, ফয়সল আহমদ, সৈয়দ মনসুর আলী, হাসান আহমদ ও উমর মাসখাওয়াত ফাইয়াজ এবং সাংগঠনিক সম্পাদক হয়েছেন এহসানুর রহমান, রবিউল হক, হাবিবুর রহমান, নিমাই চন্দ্র দেব ও তুলিপ খান","এতে সহসভাপতি তারেক হোসেন, শেখ বুরহান উদ্দিন, মিজানুর রহমান, শায়েক আহমদ, রুহেল মিয়া, ফয়সল আহমদ, শাহরিয়ার মাহমুদ ও গণেশ চন্দ্র দেব, যুগ্ম সাধারণ সম্পাদক খালেদ খান, ফয়সল আহমদ, সৈয়দ মনসুর আলী, হাসান আহমদ ও উমর মাসখাওয়াত ফাইয়াজ এবং সাংগঠনিক সম্পাদক হয়েছেন এহসানুর রহমান, রবিউল হক, হাবিবুর রহমান, নিমাই চন্দ্র দেব ও তুলিপ খান"
দস্তখতের পরেই কর্মকর্তারা বুঝতে পেরেছেন শেষ পর্যন্ত কী হবে,দস্তখতের পরেই কর্মকর্তারা বুঝতে পেরেছেন শেষ পর্যন্ত কী হবে
এই দুই পৌরসভায় আওয়ামী লীগের দুই বর্তমান মেয়রকেই প্রার্থী হিসেবে পাঠানো হবে,এই দুই পৌরসভায় আওয়ামী লীগের দুই বর্তমান মেয়রকেই প্রার্থী হিসেবে পাঠানো হবে
"উদ্যোক্তারা জানিয়েছেন, বর্তমান বাজারে প্রাপ্ত মণিপুরি তাঁতশিল্পজাত পণ্যসমূহের অধিকাংশই পলিয়েস্টার বা টেট্রন সুতা দিয়ে তৈরি","উদ্যোক্তারা জানিয়েছেন, বর্তমান বাজারে প্রাপ্ত মণিপুরি তাঁতশিল্পজাত পণ্যসমূহের অধিকাংশই পলিয়েস্টার বা টেট্রন সুতা দিয়ে তৈরি"
সিটি করপোরেশনের পক্ষ থেকে পানি ছিটানোর কথা বলা হলেও বাস্তবে দেখা যায়নি বলে কয়েকজন মুসল্লি অভিযোগ করেন,সিটি করপোরেশনের পক্ষ থেকে পানি ছিটানোর কথা বলা হলেও বাস্তবে দেখা যায়নি বলে কয়েকজন মুসল্লি অভিযোগ করেন
এ সময় তাঁরা কান্নায় ভেঙে পড়েন,এ সময় তাঁরা কান্নায় ভেঙে পড়েন
উহ্লা থেন (৩৫) নামের এক ব্যক্তি গত ২৬ এপ্রিল বেলা সাড়ে তিনটার দিকে উত্তরা ৩ নম্বর সেক্টরের মাঠে হাঁটতে গিয়ে আর বাসায় ফেরেননি,উহ্লা থেন (৩৫) নামের এক ব্যক্তি গত ২৬ এপ্রিল বেলা সাড়ে তিনটার দিকে উত্তরা ৩ নম্বর সেক্টরের মাঠে হাঁটতে গিয়ে আর বাসায় ফেরেননি
"মজার ব্যাপার, পাঁচে থাকা রাজশাহী কিংসের সংগ্রহও ১০ পয়েন্ট","মজার ব্যাপার, পাঁচে থাকা রাজশাহী কিংসের সংগ্রহও ১০ পয়েন্ট"
অন্ধকারের সাথি বলতে আমাদের সেই গোলগাল ছেলে,অন্ধকারের সাথি বলতে আমাদের সেই গোলগাল ছেলে
সরকারের ১৯৬৪ সালের রুলস অব বিজনেস পরিবর্তনের দাবি তোলা হয়,সরকারের ১৯৬৪ সালের রুলস অব বিজনেস পরিবর্তনের দাবি তোলা হয়
পেশাগত দ্বন্দ্বের অবসান হবে,পেশাগত দ্বন্দ্বের অবসান হবে
মাত্র তিন দিন বয়সে শরীরে অস্ত্রোপচার করতে হয়,মাত্র তিন দিন বয়সে শরীরে অস্ত্রোপচার করতে হয়
"যেকোনো সময় যেকোনো বোলারের সামনে দানব হয়ে ওঠার ক্ষমতা থাকলেও ক্যারিবীয় এই ব্যাটসম্যানের ব্যাটিংয়ের শুরুটা অবাক করে তাঁকে, ‘ও মারতে পারে, গায়ে শক্তি আছে","যেকোনো সময় যেকোনো বোলারের সামনে দানব হয়ে ওঠার ক্ষমতা থাকলেও ক্যারিবীয় এই ব্যাটসম্যানের ব্যাটিংয়ের শুরুটা অবাক করে তাঁকে, ‘ও মারতে পারে, গায়ে শক্তি আছে"
ফলে এক টেস্ট বাকি থাকতে সিরিজ জিতে গেল ভারত (২–০),ফলে এক টেস্ট বাকি থাকতে সিরিজ জিতে গেল ভারত (২–০)
এতে সভাপতিত্ব করেন উপজেলা আওয়ামী লীগের সভাপতি হাসান আলী,এতে সভাপতিত্ব করেন উপজেলা আওয়ামী লীগের সভাপতি হাসান আলী
ওই ঘটনার পর সাধারণ শিক্ষার্থীদের সঙ্গে ছাত্রলীগ নেতারা যোগ দিয়ে অধ্যক্ষের শাস্তি ও বিচারের দাবিতে বিক্ষোভ মিছিল ও সমাবেশ করে,ওই ঘটনার পর সাধারণ শিক্ষার্থীদের সঙ্গে ছাত্রলীগ নেতারা যোগ দিয়ে অধ্যক্ষের শাস্তি ও বিচারের দাবিতে বিক্ষোভ মিছিল ও সমাবেশ করে
ইউএস ওপেনের প্রথম রাউন্ডে ফেদেরারের প্রতিদ্বন্দ্বী মারিস্কো মাতসেভিচ,ইউএস ওপেনের প্রথম রাউন্ডে ফেদেরারের প্রতিদ্বন্দ্বী মারিস্কো মাতসেভিচ
"গতকাল বুধবার সকালে তিনি টুইট করে জানান, তাঁর ডায়ালাইসিস চলছে","গতকাল বুধবার সকালে তিনি টুইট করে জানান, তাঁর ডায়ালাইসিস চলছে"
সহসভাপতি নির্বাচন নিয়ে এই প্রার্থীদের মধ্যেই আছে নানা মত,সহসভাপতি নির্বাচন নিয়ে এই প্রার্থীদের মধ্যেই আছে নানা মত
"খুশকি থেকে পরিত্রাণ নেই?মেডিকেটেড শ্যাম্পু ব্যবহার করে ও চুলের যত্নআত্তি খুশকিকে নিয়ন্ত্রণ করবে বটে, তবে একেবারে নির্মূল করবে না","খুশকি থেকে পরিত্রাণ নেই?মেডিকেটেড শ্যাম্পু ব্যবহার করে ও চুলের যত্নআত্তি খুশকিকে নিয়ন্ত্রণ করবে বটে, তবে একেবারে নির্মূল করবে না"
"যদি হোটেলের ভাড়া দিতে নববিবাহিত দম্পতির পরিবার অক্ষম হয়, তবে তা পরিশোধ করে পঞ্চায়েত কমিটি","যদি হোটেলের ভাড়া দিতে নববিবাহিত দম্পতির পরিবার অক্ষম হয়, তবে তা পরিশোধ করে পঞ্চায়েত কমিটি"
এ ছাড়া সৈকত থেকে শামুক-ঝিনুক আহরণ চলছেই,এ ছাড়া সৈকত থেকে শামুক-ঝিনুক আহরণ চলছেই
"এখন আওয়ামী লীগের অভ্যন্তরীণ মূল্যায়ন হচ্ছে, এই পাঁচ সিটিতে এবারের নির্বাচনে বিএনপিকে হারানোর মতো অবস্থা তৈরি হয়নি","এখন আওয়ামী লীগের অভ্যন্তরীণ মূল্যায়ন হচ্ছে, এই পাঁচ সিটিতে এবারের নির্বাচনে বিএনপিকে হারানোর মতো অবস্থা তৈরি হয়নি"
এদিকে প্রায় চার বছর বিরতির পর আবারও চলচ্চিত্রের গানে নিয়মিত হলেন সালমা,এদিকে প্রায় চার বছর বিরতির পর আবারও চলচ্চিত্রের গানে নিয়মিত হলেন সালমা
একটু অন্য রকম একটা রঙ্গমঞ্চের কথা ভাবুন,একটু অন্য রকম একটা রঙ্গমঞ্চের কথা ভাবুন
আন্তর্জাতিক সংস্থা সিপি বাংলাদেশ কোম্পানি লিমিটেডের উদ্যোগে এবং বিশ্ববিদ্যালয়ের ভেটেরিনারি ও ফিশারিজ অনুষদের আয়োজনে বিশ্ববিদ্যালয়ে প্রথমবারের মতো এ ধরনের আয়োজন করা হয়,আন্তর্জাতিক সংস্থা সিপি বাংলাদেশ কোম্পানি লিমিটেডের উদ্যোগে এবং বিশ্ববিদ্যালয়ের ভেটেরিনারি ও ফিশারিজ অনুষদের আয়োজনে বিশ্ববিদ্যালয়ে প্রথমবারের মতো এ ধরনের আয়োজন করা হয়
"এগুলো টুকরো করে কেটে মুখে তিন-চার মিনিট ঘষে, মুখ ধুয়ে নিন","এগুলো টুকরো করে কেটে মুখে তিন-চার মিনিট ঘষে, মুখ ধুয়ে নিন"
খেমাররুজ শাসনামলের গণহত্যার দায়ে দুই শীর্ষ খেমাররুজ নেতা নুয়ান চিয়া (৮৮) ও খিউ সাম্ফানকে (৮৩) গতকাল যাবজ্জীবন কারাদণ্ড দিয়েছেন জাতিসংঘ সমর্থিত সে দেশের একটি বিশেষ ট্রাইব্যুনাল,খেমাররুজ শাসনামলের গণহত্যার দায়ে দুই শীর্ষ খেমাররুজ নেতা নুয়ান চিয়া (৮৮) ও খিউ সাম্ফানকে (৮৩) গতকাল যাবজ্জীবন কারাদণ্ড দিয়েছেন জাতিসংঘ সমর্থিত সে দেশের একটি বিশেষ ট্রাইব্যুনাল
