Error,Word
স ত া ং শ,শ ত া ং শ
উ দ ্ ঘ া ট া ন,উ দ ঘ া ট ন
স ি ল ে ত ে,স ি ল ে ট ে
ব ি ক ্ ক ো ভ,ব ি ক ্ ষ ো ভ
ল র দ স ে,ল র ্ ড স ে
য ু ক ্ ত র া ষ ্ ট,য ু ক ্ ত র া ষ ্ ট ্ র
এ ত ি,এ ট ি
এ ম ন ক ি,এ ম ন ক ী
ব ি শ স ি ক ্ র ি ত,ব ি শ ্ ব স ্ ব ী ক ৃ ত
ফ ল ্ প ্ র স,ফ ল প ্ র স ূ
ক ম ্ প া ন ি,ক ো ম ্ প া ন ি
স ্ ক ্ ল,স ক ল
থ া ক ে,থ ে ক ে
ক ি র ি ক ে ত,ক ্ র ি ক ে ট ে
ঘ ট ন া স ্ ত ল,ঘ ট ন া স ্ থ ল
অ ভ ি জ ো গ,অ ভ ি য ো গ
প ্ র ক া শ শ স,প ্ র ক া শ ্ য ে
অ ন ু শ ঙ ্ গ,অ ন ু ষ ঙ ্ গ
ন ি শ ি দ ্ ধ,ন ি ষ ি দ ্ ধ
ন ে ত ্ র ি ত ্ ত ে ই,ন ে ত ৃ ত ্ ব ে ই
খ ল ো য় া র র া,খ ে ল ো য় া ড় র া
ব ল ছ ে ন,ব ল ে ছ ে ন
ম া র চ ক ে,ম া র ্ চ ক ে
ব য় স ে,ব য ় স ে
প ত,প থ
প ্ র ম া ন ি ত,প ্ র ম া ণ ি ত
স জ র ে,স জ ো র ে
স ব ্ জ ন,স ্ ব জ ন
শ ক ে,শ ো ক ে
ন ি য় ে ছ ি ল,ন ি য ় ে ছ ি ল ো
ত া ক া ল ্ ক ে,ত া ক া ল ে
অ য় া ন ্ ড ে ত ে,ও য় া ন ড ে ত ে
এ ব া ড়,এ ব া র
ব ে ং ক গ ু ল ো ক ে,ব ্ য া ং ক গ ু ল ো ক ে
অ র দ া র ে,অ র ্ ড া র ে
ল ক ্ ক ্ য,ল ক ্ ষ ্ য
অ ক ্ ত ব র,অ ক ্ ট ো ব র ে
ল প া স,ল ো প া স
ন ি য় ে ই,ন ি য ় ে ই
ম ত া ব ে ক,ম ো ত া ব ে ক
জ ব া ন ব ন ্ দ ি ত ে,জ ব া ন ব ন ্ দ ী ত ে
প ্ র া থ ি র,প ্ র া র ্ থ ী র
ই স ্ ল া ম ্ ভ ি ত ি,ই স ল া ম ভ ী ত ি
স ে ক ে ন ্ দ ে র,স ে ক ে ন ্ ড ে র
ব ্ য ড় থ,ব ্ য র ্ থ
প ্ র ধ া ণ ম ন ্ ত ্ র ি,প ্ র ধ া ন ম ন ্ ত ্ র ী
থ া ক ্ ত ে ই,থ া ক ত ে ই
ব া ত স ্ ম া ন,ব ্ য া ট স ম ্ য া ন
র ছ ে য় ে চ ে,র য় ে ছ ে
ক া ঊ ক ে,ক া উ ক ে
আ ত ্ ত র ক ্ ষ া র,আ ত ্ ম র ক ্ ষ া র
স উ য় া ব,স ও য় া ব
ল ং ক া ন ্ র া,ল ং ক া ন র া
ক ি শ র ি র,ক ি শ ো র ী র
ব ি ব র ত ন ে,ব ি ব র ্ ত ন ে
র উ শ া ন,র ও শ ন
হ া র,হ া ত
ম া ং শ প ে শ ি ক ে,ম া ং স প ে শ ি ক ে
ক া র,ক া র ো
গ উ র ব,গ ৌ র ব
র গ ে র,র ো গ
ন শ ্ ত,ন ষ ্ ট
ব া ল ত,ব ্ য া ল ট
ব ন প,ব ি এ ন প ি র
ঘ ট ন া ড়,ঘ ট ন া র
স ম স স া,স ম স ্ য া
গ ল া ব া ড় ি,গ ো ল া ব া ড় ি
হ এ ছ ে ন,হ য় ে ছ ে ন
স ্ ন ত ো ষ,স ন ্ ত ো ষ
অ ব র ত ম া ন ে,অ ব র ্ ত ম া ন ে
১ ৩ ১ ত ি,১ ৩ ১ ট ি
ত া থ প র জ,ত া ৎ প র ্ য
আ ন ্ দ ত র জ া ত ি ক,আ ন ্ ত র ্ জ া ত ি ক
ম ু স ্ ফ ি ক,ম ু শ ফ ি ক
ব া হ ্ ন গ ব ে,ভ া ঙ ্ গ ব ে
দ ল ্ ক ে,দ ল ক ে
ব ্ ল া,ব ল া
ক ্ র ক,ক ্ র ো ক
অ ন শ গ ্ র হ ন,অ ং শ গ ্ র হ ণ
স ্ ন ি ব া র,শ ন ি ব া র
ম ি ম া ং স া র,ম ী ম া ং স া র
র হ ্ ম া ঙ ্ ক ে,র হ ম া ন ক ে
জ র প ু র ব ক,জ ো র প ূ র ্ ব ক
দ ি য় ন ি,দ ি ই ন ি
জ া য় গ া,জ া য ় গ া
ব ি ক ্ র ম ্ প ু র,ব ি ক ্ র ম প ু র
অ ব স ্ ত া য়,অ ব স ্ থ া য়
গ ু ং র া আ হ হ ই,গ ু ণ গ ্ র া হ ী
ত া র গ ে ত,ট া র ্ গ ে ট
গ ত ি ব ি দ ি,গ ত ি ব ি ধ ি
প া য় ত া র া,প া ঁ য় ত া র া
ব ি ন দ ন ে র,ব ি ন ো দ ন ে র
ব ো ট,ভ ো ট
আ র ই,আ র ো
ছ খ ে,চ ো খ ে
ব ড়,ব ড ়
ঘ ত ন া গ ু ল র,ঘ ট ন া গ ু ল ো র
ছ া দ া ব া জ ি র,চ া ঁ দ া ব া জ ি র
ব ্ য া র ্ থ,ব ্ য র ্ থ
উ থ প া দ ি ত,উ ৎ প া দ ি ত
ধ া ক া ম ু খ ি,ঢ া ক া ম ু খ ী
প র ি,প র ই
ম ে য় ে ত ি র,ম ে য় ে ট ি র
ক া য ে র,ক া জ ে র
শ র ব স ে শ,স র ্ ব শ ে ষ
দ ি ত ি য়,দ ্ ব ি ত ী য় ব া র
শ হ জ গ ি ত া য়,স হ য ো গ ি ত া য়
ত া ক া র,থ া ক া র
হ ু শ ি য় া র ি,হ ু ঁ শ ি য় া র ি
স ্ র থ হ া ভ র ে,শ ্ র দ ্ ধ া ভ র ে
প ্ ল ল ি গ ু ল া য়,প ল ্ ল ী গ ু ল ো য়
ক ম ে ছ ি ল,ক ম ছ ি ল ো
ন ি য় অ গ ে র,ন ি য় ো গ ে র
জ ে ই,য ে ই
অ স ্ ত া দ ে র,ও স ্ ত া দ ে র
অ ন ু ক ু ল ে,অ ন ু ক ূ ল ে
ব ্ র ি জ ে র,ব ্ র ী জ ে র
ভ া স ্ ত ব া য় ন,ব া স ্ ত ব া য় ন
অ র ধ ন ি র ম ি ত,অ র ্ ধ ন ি র ্ ম ি ত
গ ব ে ষ ্ ণ া ল ্ ব দ ্,গ ব ে ষ ণ া ল ব ্ ধ
স ু র থ া ল,স ু র ত হ া ল
ব ্ র া ত া ন ্ ত ি,ব ্ র ে ন ্ ট ন ই
অ ভ ভ ু ত ্ থ া ন ে র,অ ভ ্ য ু ত ্ থ া ন ে র
প,প ্ র ত ি য ো গ ি ত া র
ব ে চ ে,ব ে ছ ে
ক া ত ্ ত া র ে র,ক া র ্ ট া র ে র
ত ু ম ি,ত ু ম ি ও
ফ স ্ ফ র ছ,ফ স ফ র া স
চ ি ল া ম,ছ ি ল া ম
স ব া দ ্ ম া দ ্ য ম ে,স ং ব া দ ম া ধ ্ য ম ে
গ ু র ে ই,ঘ ু র ে ই
ন ে য় ব ি চ া র ে র,ন ্ য া য় ব ি চ া র ে র
জ ু ত ি ত ে,জ ু ট ি ত ে
স ্ ত ল স হ,স ্ ট ল স হ
ই স ু,ই স ্ য ু
ম ু স ল ্ ম া ন,ম ু স ল ম া ন
হ ব ্ ব ে,হ ব ে
ন ি র ্ গ ু ম,ন ি র ্ ঘ ু ম
ক ্ র ি ক ে ত,ক ্ র ি ক ে ট
স া র ে,স ন ্ ধ ্ য া
জ ু ল া ই য় ে র,জ ু ল া ই য় ে
স ম ্ প ্ র দ া য়,স ম ্ প ্ র দ া য় ে র
হ য় ে চ ি ল,হ য় ে ছ ি ল
চ ঞ ্ চ ে প ্ ত ে র,ক ন স ে প ্ ট ে র
ব ্ র ি স ্ ত ি ত ে,ব ৃ ষ ্ ট ি ত ে
প,প র
ত ো ই র ি,ত ৈ র ি
চ ে য় া র ম া ন,চ ে য় া র ম ্ য া ন
ন উ ক া র,ন ৌ ক া র
জ য় া শ ু ন ্ দ র া,জ য় া স ু ন ্ দ র া
শ ি শ ু প া র ক,শ ি শ ু প া র ্ ক
হ ু ক,হ ো ক
জ া ন া এ,জ া ন া য়
শ ্ র ম ি ক ্ ক ে,শ ্ র ম ি ক ক ে
ল া গ া ব ে,ল া গ ব ে
ক ে ন ি ং ত ন,ক ে ন ি ং ট ন
এ ঈ,এ ই
ক া ম ্ ম,ক া ম ্ য
ই উ ন া ই ত ে দ,ই উ ন া ই ট ে ড
র া স ্ ত ্ র ে র,র া ষ ্ ট ্ র ে র
অ দ ি ব ে শ ন,অ ধ ি ব ে শ ন ে
ত া দ ে র,ত া ঁ দ ে র
ট ি য় া র গ া স,ট ি য় া র গ ্ য া স
ব ো ল ে ই,ব ল ে ই
ব ্ র ি শ ্ ত ি ত ে,ব ৃ ষ ্ ট ি ত ে
আ ল ী,আ ল ি
ক া দ ত ে,ক া ঁ দ ত ে
স ম ্ ব ব,স ম ্ ভ ব
ছ ল চ ি ত ্ র ত ি,চ ল চ ্ চ ি ত ্ র ট ি
স স ি দ ল,শ শ ী দ ল
ম ঞ ্ ছ া য় ন,ম ঞ ্ চ া য় ন
প র ে ছ ি ল,প ড় ে ছ ি ল ো
ন ি য় গ ব ি শ ি,ন ি য় ো গ ব ি ধ ি
হ ত ্ ত আ র,হ ত ্ য া র
ক ্ ষ ু ন ্ ন,ক ্ ষ ু ণ
প স ছ ি ম,প শ ্ চ ি ম
অ র থ ন ই ত ি ক,অ র ্ থ ন ৈ ত ি ক
এ ল া র জ ি,এ ল া র ্ জ ি
ন ি ক ্ ট,ন ি ক ট
প র ি স ধ,প র ি শ ো ধ
দ ী ন,দ ি ন
জ ্ য,জ য়
আ ই প ি ল ে র ল ে,আ ই প ি এ ল ে
শ া ম ্ ন ে,স া ম ন ে
ত ্ র ি ন ্ ম ু ল ে র,ত ৃ ণ ম ূ ল ে র
ব ই র ু ত ে র,ব ৈ র ু ত ে র
শ ক ্ ত ি শ া ল ি,শ ক ্ ত ি শ া ল ী
প ্ র া ছ ি ঙ ্ ক া ল,প ্ র া চ ী ন ক া ল
ছ ো ট ে র,চ ো ট ে র
ব ে শ ি,ব ে শ ী
শ ি খ খ া র থ ি,শ ি ক ্ ষ া র ্ থ ী
ক া হ া ক ি স ্ ত া ন,ক া জ া ক ি স ্ ত া ন
র া জ ্ জ ে র,র া জ ্ য ে র
ব র ্ ত া ম া ন ে,ব র ্ ত ম া ন ে
প ু র শ ক া র,প ু র স ্ ক া র
ম া স ্ ত ে র স,ম া স ্ ট া র ্ স ে
শ উ ম ্ ম,স ৌ ম ্ য
অ ব ্ জ া র ভ া র ে র,অ ব জ া র ভ া র ে র
আ ই র ে,ব া ই র ে
ন ি র ব া চ ন ব ি ম ু ক ত া,ন ি র ্ ব া চ ন ব ি ম ু খ ত া
ত ি ন ্ ত া য়,ত ি ন ট া য়
গ ন ফ ো র া ম,গ ণ ফ ো র া ম
জ ঙ ্ গ ন,জ ন গ ন
জ া ন ি য় ে চ ে ন,জ া ন ি য় ে ছ ে ন
ধ া ল া ও ভ া ব ে,ঢ া ল া ও ভ া ব ে
প ্ র া ই ভ ে ত ক া র ত ি,প ্ র া ই ভ ে ট ক া র ট ি
ব া ং ল া দ ে শ ী,ব া ং ল া দ ে শ ি
শ ং খ া গ র ি শ ্ ত হ হ ে র,স ং খ ্ য া গ র ি ষ ্ ঠ ে র
অ ন ু স ্ র ন,অ ন ু স র ণ
প র ি ক ্ ষ া র,প র ী ক ্ ষ া র
ন ি প ি র ন ে র,ন ি প ী ড ় ন ে র
হ ে র ই ন ে,হ ে র ে া ই ন
প ্ ল া স ্ ত ি চ,প ্ ল া স ্ ট ি ক ে র
গ ্ র হ ন ে,গ ্ র হ ণ ে
শ র ন,স ্ ব র ্ ণ
ছ ি ঙ ্ ক ি ত শ া র,চ ি ক ি ৎ স া র
এ ক ্ ত র ে,এ ক ত ্ র ে
অ ভ ি জ া ন ে র,অ ভ ি য া ন ে র
জ া ন া ণ,জ া ন া ন
ভ ো ট ে,ভ ো ট
ন ু শ ্ ত হ ি ত,অ ন ু ষ ্ ঠ ি ত
ছ া ত ্ র স ্ ম া জ ে র,ছ া ত ্ র স ম া জ ে র
স ্ থ া ন ই য় ভ া ব ে,স ্ থ া ন ী য় ভ া ব ে
এ ব া র ু,এ ব া র ও
স ি ধ া ন ্ ত ই,স ি দ ্ ধ া ন ্ ত ই
দ ন ্ দ দ,দ ্ ব ন ্ দ ্ ব
ব ি স শ ি ত,ব ি স ্ ম ি ত
স ্ ত া ন ি য় দ ে র,স ্ থ া ন ী য় দ ে র
ব ি শ স ব ি দ ্ য া ল য় ে র,ব ি শ ্ ব ব ি দ ্ য া ল য় ে র
জ ল ্ প ন া র,জ ল ্ প ন া য়
র ি প া ব প ি ক া ন ্ দ ে র,র ি প া ব ল ি ক া ন দ ে র
ণ ে ই,ন ে ই
হ ে ফ া জ ত ক া ন া র,হ ে ফ জ খ া ন া র
প ্ র ত ি ব হ ধ ু,প ্ র ত ি ব ন ্ ধ ী
ব ে ব স ্ থ া প া ন া,ব ্ য ব স ্ থ া প ন া
প স ্ ট ে র,প ো স ্ ট ে র
ন ি শ ্ ছ ই,ন ি শ ্ চ য় ই
ব ল ্ ল ে ও,ব ল ল ে ও
য া ও য় া র,য া ও য ় া র
ব ৃ স ্ ট ি,ব ৃ ষ ্ ট ি
অ ভ ি ভ া ক ে র,অ ভ ি ভ া ব ক ে র
ন ু র ু,ন ূ র ু
আ ম ে র ি চ া র,আ ম ে র ি ক া র
হ া জ ি,হ া জ ী
শ ম ্ প ন ্ ন,স ম ্ প ন ্ ন
দ ু র ব ি ত ্ ত,দ ু র ্ ব ৃ ত ্ ত
জ র,জ ড় ো
ছ া র ক া জ ল,চ র ক া জ ল
প র ক া শ,প ্ র ক া শ
অ ভ ি ও জ া ন,অ ভ ি য া ন
প ্ ল া শ,প ল া শ
ম া ন ু শ এ র,ম া ন ু ষ ে র
শ ে ল া ই,স ে ল া ই
প ্ র ছ ু র,প ্ র চ ু র
জ ৌ ন ত া য়,য ৌ ন ত া য়
প া ক ি স ্ ত া ন ি,প া ক ি স ্ ত া ন ী
ব ্ য গ,ব ্ য া গ
য ু ক ্ ত র া শ ্ ত ্ র,য ু ক ্ ত র া ষ ্ ট ্ র
প ্ র ছ া র ন া,প ্ র চ া র ণ া
স ি ক ্ ষ ন ি য়,শ ি ক ্ ষ ণ ী য়
অ ন ি উ য় ম ে র,অ ন ি য় ম ে র
খ া দ ্ য,খ া দ ্ য ে
উ ত শ ব,উ ৎ স ব ও
ছ া ড় া,ছ া ড ় া
ম দ ি ক ে,ম ো দ ী ক ে
আ দ উ,আ দ ৌ
অ ব স ্ থ া য়,অ ব স ্ থ া য ়
আ ত ক ্ ক ্ র ি য় র া,আ ট ক ক ৃ ত র া
ব ল ি উ দ ে র,ব ল ি উ ড ে র ও
শ ী র ষ,শ ী র ্ ষ
হ া ই চ ম ি স স ি ও ন ে র,হ া ই ক ম ি শ ন া র
আ ই ত ি,আ ই ট ি
ম ন ্ ত ্ র ি ত ্ ত ে র,ম ন ্ ত ্ র ি ত ্ ব ে র
আ য় ো জ ি ত,আ য ় ো জ ি ত
৫ ৪ ত ি ত ে,৫ ৪ ট ি ত ে
স ্ র ে ন ি,শ ্ র ে ণ ি
ব ি শ ্ য ট ি,ব ি ষ য় ট ি
অ য় ে ল ি ং ত ন,ও য় ে ল ি ং ট ন
খ ি চ ু র ি,খ ি চ ু ড় ি
ক স ্ ত ক র,ক ষ ্ ট ক র
স ু প ে র,স ু প া র
স ্ র ি ন গ র,শ ্ র ী ন গ র
ব ি ছ র ন,ব ি চ র ণ
ক া ত া ত ে,ক া ট া ত ে
ম ্ র ি ত ্ ত ু ত ে ই,ম ৃ ত ্ য ু ত ে ই
শ ম ্ ভ া ব ন া ও,স ম ্ ভ া ব ন া ও
ব ি শ া স,ব ি শ ্ ব া স
ব ে ক ্ ত ি ত ্ ত,ব ্ য ক ্ ত ি ত ্ ব
দ া ন ব ি য়,দ া ন ব ী য়
প ্ র শ ন শ ন ি য়,প ্ র শ ং স ন ী য়
শ র ী র,শ র ী র ে
ঝ র ত ে,ঝ র া ত ে
আ স ে,আ ছ ে
ব ি ষ ্ য ত ি,ব ি ষ য় ট ি
স ম য় ত ি,স ম য় ট া
ন ে ত ্ র ি র া,ন ে ত ্ র ী র া
দ খ ল ে র,দ খ ল দ া র
আ ই,এ ই
চ ে য় ে ও,চ ে য ় ে ও
এ জ ন ্ ন ে,এ জ ন ্ য
দ ে শ ব া স ি ক ে,দ ে শ ব া স ী ক ে
জ া ই ত,জ া ত ী য়
দ ো ল,দ ল
ম ে ড া ম,ম ্ য া ড া ম
শ া ম া র ি ক,স া ম র ি ক
উ ই ক ে ত ্ র ক ্ ষ ন,উ ই ক ে ট র ক ্ ষ ক
হ া র ধ ি ত া র,হ া র ্ ড হ ি ট া র
স ন ি,শ ন ি
ক া থ া ল,ক া ঁ ঠ া ল
ব ছ ্ র ে,ব ছ র
স ্ ত ্ র ক,স ত র ্ ক
দ ি প ্ ত ি ক ে,দ ্ ব ী প ট ি ক ে
জ ব া ব ্ দ ি হ ি ত া,জ ব া ব দ ি হ ি ত া
ব ল া র ক ে,ব ো ল া র ক ে
ব ঙ ্ গ ব ন ্ দ ু র,ব ঙ ্ গ ব ন ্ ধ ু র
ণ ী ষ ী ট,ন ি শ ্ চ ি ত
আ য় জ ন ে,আ য় ো জ ন ে
স ্ থ া প ঙ ্ ক ্ র ত ি,স ্ থ া প ন ক ৃ ত
ক র ম জ জ ্ ঞ,ক র ্ ম য জ ্ ঞ
প ু র ব ে,প ূ র ্ ব ে
ব ি র া ম ্ ব ন া,ব ি ড ় ম ্ ব ন া
ক া র য ক ্ র,ক া র ্ য ক র
অ ন শ ি দ া র ি ত ে র,অ ং শ ী দ া র ি ত ্ ব ে র
ই ফ ত ে র ে র,ই ফ ত া র ে র
র ি প র ত া র,র ি প ো র ্ ট া র
ম া থ ে ই,ম া ঠ ে ই
হ া ও া,হ া ও য় া য়
প ্ র ধ া ণ,প ্ র ধ া ন
হ া ঠ ি ট া র,হ া ড হ ি ট া র
ম ি ন ি ত ে র,ম ি ন ি ট ে র
অ ক ে জ ও,অ ক ে জ ো
ক র া ন ও,ক র া ন ো
ব া ন ি,ব া র ্ ন ি
চ ্ ছ ব ি ও,ছ ব ি ত ে ও
অ ব স শ ই,অ ব শ ্ য ই
প ্ র ি য়,প ্ র ি য ়
স ু স ্ ট হ,স ু ষ ্ ঠ ু
অ দ ্ ধ খ ক ে,অ ধ ্ য ক ্ ষ ক ে
এ শ ে ছ ে,এ স ে ছ ে
জ র া দ া ন,জ র ্ দ া ন
ক ্ ষ ত ি,ক ো ট ি
ব র ব র ত া,ব র ্ ব র ত া
প র ি ম া ন,প র ি ম া ণ
অ প ে র,ও প র
ব া স ্ ত ব া য় ন ি,ব া স ্ ত ব া য় ন ই
স র ব ত,শ র ব ত
ক থ া ত ি,ক থ া ট ি
৯ ৯ ত ি,৯ ৯ ট ি
অ ই,এ ই
ত ত ্ ত া ব ধ া য় ক,ত ত ্ ত ্ ব া ব ধ া য় ক
ম া র দ র,ম া র ধ র
আ স স ে ন,আ স ছ ে ন
ন ু ম ্ ব ে র ে,ন ম ্ ব র ে
গ ন ত ন ্ র,গ ণ ত ন ্ ত ্ র
প র জ া য় ে,প র ্ য া য় ে
শ া ল ে র,স া ল ে র
অ ন ্ ত র ভ ু ক ্ ত ত,অ ন ্ ত র ্ ভ ূ ক ্ ত
ন ি স ্ ফ ল,ন ি ষ ্ ফ ল া
গ ু র ু ন ্ ত ত প ু র ন,গ ু র ু ত ্ ব প ূ র ্ ণ
স া ব ম ি স ন,স া ব ম ি শ ন
গ া জ ি প ু র ে,গ া জ ী প ু র
স ব ্ ব হ ত া,স ভ ্ য ত া
ব ্ য া ল ত,ব ্ য া ল ট
ম হ া ম ্ ম া দ,ম ো হ া ম ্ ম দ
ব ি ধ া ন ্ স ভ া র,ব ি ধ া ন স ভ া র
অ ব শ র,অ ব স র
ন হ ত,ন ি হ ত
ব ি র ধ ি র া ও,ব ি র ো ধ ী র া ও
জ ল ্ র া শ ি ত ে,জ ল র া শ ি ত ে
শ ু র জ ে র,স ূ র ্ য ে র
ল ন ্ দ ন ে র,ল ন ্ ড ন ে র
আ ও া ম ি,আ ও য় া ম ী
র গ ি,র ো গ ী
র ছ ন া য়,র চ ন া য়
শ ে ষ,শ ে ষ ে
অ ভ ি জ গ ে,অ ভ ি য ো গ
দ ক ্ ষ ি ন ে র,দ ক ্ ষ ি ণ ে র
আ য় ে ঞ ্ জ ি ব ি,আ ই ন জ ী ব ী
ক ন ্ ট ্ র ল ্ র ু ম ো,ক ন ্ ট ্ র ো ল র ু ম ও
ছ ল ছ ে,চ ল ছ ে
খ ি প ্ ত,ক ্ ষ ি প ্ ত
দ ি ক ্ ত ে স ন,ড ি ক ট ে শ ন
প ক ্ ক ে ই,প ক ্ ষ ে ই
ল র া ই,ল ড় া ই
ন ি জ শ শ,ন ি জ স ্ ব
ক া ন া ড ি য়,ক া ন া ড ী য়
স ম া দ ি স ্ থ ল ে র,স ম া ধ ি স ্ থ ল ে র
দ ি এ ছ ে,দ ি য় ে ছ ে
ব ই শ ম ্ ম,ব ৈ ষ ম ্ য
ক স ্ ত ে র,ক ষ ্ ট ে র
থ ে ক ী,থ ে ক ে
স া ই ফ ু দ ্ দ ি ন,স া ই ফ উ দ ্ দ ি ন
আ উ স ্ ত ্ র া ল ি য় া র,অ স ্ ট ্ র ে ল ি য় া র
জ ই য়,জ য়
প ি প ্ র া,প ি ঁ প ড় া
ত া র া,ত া ড় া
দ া ক ে ন,ড া ক ে ন
জ ী র ো,জ ি র ো
ফ ্ ল া আ ত ে,ফ ্ ল ্ য া ট ে
এ জ ু ম ি,ই জ ু ম ি
ব ল ্ ল ে ই,ব ল ল ে ই
স ং শ ক ্ র ি ত ব ি শ া য় ক,স ং স ্ ক ৃ ত ি ব ি ষ য় ক
ছ ি ক ি ত শ ক দ ে র,চ ি ক ি ৎ স ক দ ে র
ক দ ম ত ল ি র,ক দ ম ত ল ী র
চ া হ ত ্ র ল ি গ ক র ্ ম ী দ ে র,ছ া ত ্ র ল ী গ ক র ্ ম ী দ ে র
ধ র ে ন ে র,ধ র ন ে র
দ ি স ্ ত ্ র ি ব ু ত র,ড ি স ট ্ র ি ব ি উ ট র
প উ ছ া ই,প ৌ ঁ ছ া য ়
আ র া ই,আ ড় া ই
স ু প ে র ফ া স ্ ত,স ু প া র ফ া র ্ স ্ ট
ব ং ব ন ্ ধ ু,ব ঙ ্ গ ব ন ্ ধ ু
গ ি য় ে ছ ে,গ ি য ় ে ছ ি
ম া উ য় া,ম া ও য় া
ফ া শ হ ি ন ভ া ব ে ই,ফ া ঁ স হ ী ন ভ া ব ে ই
প ি র া ম ি দ ে র,প ি র া ম ি ড ে র
জ ল ্ প ্ র প া ত,জ ল প ্ র প া ত
দ ু র ঘ ত ন া,দ ু র ্ ঘ ট ন া
র া স ্ ত ্ র ি য ়,র া ষ ্ ট ্ র ী য ়
ফ র ম ে ত ে ই,ফ র ম ্ য া ট ে ই
আ র া ক,আ র ে ক
ন ে ত া ক র ম ি র া,ন ী ত ি ন ি র ্ ধ া র ক র া
এ ল া ক া য়,এ ল া ক া য ়
হ ি শ ে ব ে,হ ি স া ব ে
ক র ্ ম স ূ চ ি,ক র ্ ম স ূ চ ি র
ভ া ই ত া ল,ভ া ই ট া ল
ত া ড়,ত া র
প ্ র ত ি ক ্ ক ্ র ি ই য় া,প ্ র ত ি ক ্ র ি য ় া
আ ক ্ র ক ম,আ ক ্ র ম ণ
ক র প ে র ে স ন ে র,ক র প ো র ে শ ন ে র
র ন ্ ধ ন শ ি ল ্ প ি,র ন ্ ধ ন শ ি ল ্ প ী
প ্ র শ া স ্ ক,প ্ র শ া স ক
ছ ু ম ্ ব ন,চ ু ম ্ ব ন
শ ম ত া,স ম ত া
ক র ্ ত ৃ প ক ্,ক র ্ ত ৃ প ক ্ ষ
প ্ র া র থ ি র া,প ্ র া র ্ থ ী র া
দ ু র ব ্ র ি ত ্ ত র া,দ ু র ্ ব ৃ ত ্ ত র া
ন ি শ ে দ া জ ্ ঞ া,ন ি ষ ে ধ া জ ্ ঞ া
গ ন ্ ত া ন ্ ত ্ র ি ক,গ ণ ত া ন ্ ত ্ র ি ক
অ স ্ ম ভ ব,অ স ম ্ ভ ব
স হ র ে র,শ হ র ে র
শ ফ র,স ফ র
র ি ত ্ র ি ত,র ি ট ্ র ি ট
হ া য া র,হ া জ া র
ছ া ল া ই,চ া ল া ও
ম া ই ক ্ র ব া স ে,ম া ই ক ্ র ো ব া স ে
প ্ র ব শ,প ্ র ব ে শ
এ গ ে ই,আ গ ে ই
গ া র দ স,গ া র ্ ড স
প া ই ল ্ ট ক ে,প া ই ল ট ক ে
আ ফ ্ র া জ ু ল ে র,আ ফ র া জ ু ল ে র
ত া ক া র ও,ট া ক া র ও
দ ু ব া র র ে র,দ ু ব া র ে র
স ্ ক ো য় া দ,স ্ ক ো য় া ড
ক া ন ্ স া র ে,ক ্ য া ন ্ স া র ে
স া র জ ি ও,স া র ্ জ ি ও
অ ব স ্ ত া,অ ব স ্ থ া
স দ স স ক ে,স দ স ্ য ক ে
স ম া ল চ ন া র,স ম া ল ো চ ন া র
ন ে শ ্ ন া ল,ন ্ য া শ ন া ল
ব ি স শ ব া শ ি,ব ি শ ্ ব ব া স ী
স ি দ ্ ধ া ন ্ ত ত,স ি দ ্ ধ া ন ্ ত
দ ু ত া ব া শ ে র,দ ূ ত া ব া স ে র
ব ন ্ ধ ু ক জ ু দ ্ ধ,ব ন ্ দ ু ক য ু দ ্ ধ ে
অ স ্ ত ি ত ্ ত ে র,অ স ্ ত ি ত ্ ব ে র
উ ই ক ে ত ে,উ ই ক ে ট ে
স ং ঘ ে,স ঙ ্ গ ে
ব া ন ি জ ্ জ ে,ব া ণ ি জ ্ য ে
প ্ র ত ি শ ্ ত হ া ন ্ ত ি,প ্ র ত ি ষ ্ ঠ া ন ট ি
খ ু দ ্ র,ক ্ ষ ু দ ্ র
হ া ই ক ত ্ ত ে র,হ া ই ক ো র ্ ট ে
ন া ত ক,ন া ট ক ে
প ত ক া,প ট ক া
দ ু র ন ী ত ি,দ ু র ্ ন ী ত ি
স ভ া প ি ত ি,স ভ া প ত ি
অ ভ ি শ ট,অ ভ ী ষ ্ ট
ন দ ি র,ন দ ী র
জ া ঙ ্ ক ি ন ্ য ে র,র ্ য া ঙ ্ ক ি ং য় ে র
ন ি শ প ত ্ ত ি ত ে,ন ি ষ ্ প ত ্ ত ি ত ে
চ া র ত ি,চ া র ট ি
ব া র ি ঘ র ে,ব া ড় ি ঘ র ে
ব া র ি শ হ,ব া ড ় ি স হ
ম ্ য চ,ম ্ য া চ
গ ু ন,গ ু ণ
দ প,ড ো প
অ ই শ ব,ও ই স ব
ম ু এ য় া,ম ু য় ে আ
এ ক ে ক ্ ত ি,এ ক ে ক ট ি
ক ্ ষ ন,ক খ ন ো
ষ ্ ক ি প ্ ত,ক ্ ষ ি প ্ ত
ক শ ে,ক ষ ে
ম া র চ ে,ম া র ্ চ ে
স ্ ক ু ল ত ি র,স ্ ক ু ল ট ি র
স ম ল ্ ক া ল ে,স ম ক া ল ে
ম স ু ল ্ ম া ন ্ দ ে র,ম ু স ল ম া ন দ ে র
র ব ্ ব া র,র ো ব ব া র
খ া ও া র,খ া ও য ় া র
