Word,Error
কিন্তু,কিনতু
তাড়া,তারা
পড়ে,পরে
পড়ে,পড়ি
পড়ে,পঅড়ে
গিয়েছিল,গিয়েছিলাম
গিয়েছিল,গিয়েছল
গিয়েছিল,গিয়েচিল
কুমিল্লা,চুমিল্লা
প্রেসিডেন্ট,প্রেশিডেন্ট
প্রেসিডেন্ট,প্রেসিদেন্ত
প্রেসিডেন্ট,প্রেসিদেনত
ট্রাম্পও,ত্রাম্প
বারবারই,বরাবরি
বলেছেন,বলচেছেন
বলেছেন,বলেচেন
বলেছেন,অলেছেন
বলেছেন,বলছেন
বলেছেন,বলচেন
পত্রিকাটি,পত্রিকাতি
মিথ্যা,মিত্থা
চাইছে,ছাইছে
চাইছে,চাইচে
তাছাড়াবেজোস,তাছারাবেজস
সালের,শালের
সালের,সালে
ট্রাম্পের,ত্রাম্পের
ট্রাম্পের,ত্রুম্পের
বিরোধিতায়,বিরধিতাউ
বিরোধিতায়,বিরধিতায়
সোচ্চার,শছছার
যুদ্ধে,জুদ্ধে
কাঙ্ক্ষিত,কাঙ্কইত
আসায়,আশায়
মিলিটারি,মিলতারি
মিলিটারি,মিলিতারি
কমান্ডারদের,কমান্দারদের
চাকরিচ্যুত,ছাক্রিছুত
চাকরিচ্যুত,চাক্রিচুত
বলা,ব্লা
আক্রমণ,আক্রমন
আক্রমণ,আক্রকম
অবৈধ,অবইধ
অর্থহীন,অরথইন
যত,জত
প্রার্থীর,প্রারথিদের
প্রার্থীর,প্রারথির
প্রার্থীর,পারথির
প্রার্থীর,প্রাথির
সংখ্যা,শঙ্খা
সংখ্যা,সংখা
সংখ্যা,সঙ্খা
বাড়বে,বারবে
তত,ত্ত
শ্রম,স্রম
শ্রম,শরম
সস্তা,শস্তা
সহজলভ্য,শহজলব্বহ
সহজলভ্য,শহজলভভ
হয়তো,হয়ত
জন্যই,জন্নেই
জন্যই,জনই
জন্যই,জন্য
বিশ্বব্যাপী,বিশশব্যপি
বিশ্বব্যাপী,বিসশবাপি
আসছে,আশ্ছে
আসছে,আসচে
আস্ট্রেলিয়ান,অস্ত্রেলিয়ান
কমেডিয়ান,কমেদিয়ান
এরই,একি
এরই,এরি
ভিয়েতনামে,ভিয়েত্নামে
হৈ,হই
চৈ,ছই
বাঁধিয়েছিলেন,বাধিয়েছিলেন
নিয়ে,নিয়ে
নিয়ে,নিএ
নিয়ে,নীয়ে
নিয়ে,নিউএ
গণমাধ্যমে,গন্মাধধমে
গণমাধ্যমে,গনমাধ্যমে
গণমাধ্যমে,গনমাদ্দমে
কয়েকদিন,কয়েকদিন
হয়েছে,হয়েছে
হয়েছে,হয়েচে
প্রকৃত,প্রক্রিত
প্রকৃত,প্রকিত
অর্থে,অরথে
মৌলিক,মউলিক
ছবি,ছোবই
চলচ্চিত্রে,ছলছছিত্রে
চলচ্চিত্রে,চলচ্চেত্রে
আনাম,আন্ম
খানের,ক্ষয়ানের
খানের,খানাএর
বিপরীতে,বিপরিতে
বিপরীতে,বিপ্রীতে
বিপরীতে,নবিপরিতে
বিপরীতে,বিপুরিতে
ছোট,ছত
ছোট,ছওট
ছোট,ছোত
ছোট,চোট
পর্দার,পরদার
অভিনেত্রী,অভিনেত্রি
অভিনেত্রী,পবিনেত্রী
অভিনেত্রী,অবিনেত্রি
স্পর্শিয়া,স্পরসয়া
চ্যাম্পিয়নশিপ,ছাম্পিওনশিপ
চ্যাম্পিয়নশিপ,চেম্পিয়নশিপ
চ্যাম্পিয়নশিপ,ছাম্পইওনশিপ
কষ্টার্জিত,কশ্তারজিত
জয়,জইয়
জয়,জ্য
পেয়েছে,পেয়েচে
পেয়েছে,পেয়েরছে
ওয়ারী,অয়ারি
কমলাপুর,কম্লাপুর
স্টেডিয়ামে,স্তেদিয়ামে
স্টেডিয়ামে,স্তাদিয়ামে
স্টেডিয়ামে,স্তাদিউয়ামে
স্টেডিয়ামে,এসটেডিইয়ামে
গতকাল,গতুকাল
গোলে,গলে
স্বাধীনতা,শাধিনতা
স্বাধীনতা,সাধিনতা
স্বাধীনতা,সাদিনতা
স্বাধীনতা,সাধিন্তা
ক্রীড়া,ক্রিরা
ক্রীড়া,ক্রিড়া
সঙ্ঘকে,শঙ্ঘকে
মমতা,মমতআ
মমতা,মমটা
কারো,কার
কারো,কারও
বলি,বলে
ইচ্ছে,ইছছে
ইচ্ছে,ইচ্ছা
সিকিউরিটি,সিকিউরিতি
হোক,হওকে
হোক,হক
হোক,হুক
হোক,গক
তা,ত
তা,টা
তা,তাআ
তা,তাব্
প্রযোজনা,প্রজজনা
ক্যামিও,কেমিও
চরিত্রে,ছরিত্রে
চরিত্রে,ছরিত্ত্রে
শাহরুখ,শাহ্রুক
শাহরুখ,শাহ্রূখ
শাহরুখ,শাহ্রুখ
অভিনয়ও,অভিনয়
জানা,ঝানা
পরিচালক,পরিছালক
পরিচালক,পরিচালাওক
পরিচালক,পরিচাল্ক
সুজয়,শুজয়
বিষয়টি,বিশয়তি
বিষয়টি,বিষ্যতি
বিষয়টি,বিষয়তি
বিষয়টি,বিষায়টি
বিষয়টি,বিশ্যতি
বিষয়টি,বিসয়তি
বিষয়টি,বিসয়তে
বিষয়টি,বিশয়টি
বিষয়টি,বিশ্যটি
বিষয়টি,বিসয়টি
বিষয়টি,বিশইয়তি
বিষয়টি,বিশএতি
পরিষ্কার,পএইশকার
পরিষ্কার,পরিশকার
পরিষ্কার,পরিস্কার
করেননি,করেন্ননি
করেননি,করেন্নি
দলটির,দলতির
দলটির,দল্টির
প্রধান,প্রদান
প্রধান,পধান
প্রধান,প্রধাণ
প্রধান,প্রঢান
মুশফিক,মুস্ফিক
মুশফিক,মুষফিক
নিজেই,নিজেইই
দুর্দান্ত,দুরদান্ত
খেলে,কেলে
চলছেন,ছলেছেন
গাপটিলের,গাপ্তিলের
সেঞ্চুরির,সেঞ্ছুরুর
সেঞ্চুরির,চেন্তুরির
সেঞ্চুরির,সেঞ্ছুরি
সুবাদে,শুবাদে
নিউজিল্যান্ড,নিউজিলান্দ
নিউজিল্যান্ড,নিউজিলেন্দ
নিউজিল্যান্ড,নিউযিলাআন্দ
নিউজিল্যান্ড,নিজিলান্দ
নিউজিল্যান্ড,নেওজিলান্দ
নিউজিল্যান্ড,নিঊজিল্যান্দ
নিউজিল্যান্ড,নেওযেয়ালান্দ
জবাবে,জবারে
নেমে,নেম
হারিয়ে,হারিএ
শ্রীলঙ্কার,স্রিলঙ্কা
শ্রীলঙ্কার,স্রিলঙ্কার
শ্রীলঙ্কার,শ্রিলঙ্কার
শ্রীলঙ্কার,স্রিলাঙ্কেয়ার
ইউপি,উইপি
চেয়ারম্যান,ছেয়ারমেন
চেয়ারম্যান,ছেয়ারমান
চেয়ারম্যান,চেয়ারমান
চেয়ারম্যান,ছাঈড়মাণ
চেয়ারম্যান,চেয়ারমেন
আলম,আল্ম
টিউবওয়েলগুলো,তিউবএল্গুল
বন্টন,বন্তন
চেয়ারম্যানের,ছেয়ারমানের
সাথে,শাথে
সাথে,শাতে
সাথে,সাতে
সাথে,ষাটে
সাথে,সথে
বাকি,বকি
সদস্যদের,শদশশদের
সদস্যদের,সদসসদের
সদস্যদের,সদরশদের
সদস্যদের,সদসদের
সদস্যদের,শদসশদের
দ্বন্দ্ব,দন্দ
দ্বন্দ্ব,দন্দদ
দেয়,দেই
দেয়,দেয
দেয়,দে
দেয়,দায়
গান্ধিকে,গান্দিকে
নাগরিকত্ব,নাগরিকত্ত
নাগরিকত্ব,নাগরিকত
নাগরিকত্ব,নাগরিক্ত
ইস্যুতে,ইসুতে
ইস্যুতে,ইসসুএতে
পাঠিয়েছে,পাথিয়েছে
কেন্দ্রীয়,কেন্দ্রিয়
কেন্দ্রীয়,কেন্দিয়
কেন্দ্রীয়,কেন্রিয়
স্বরাষ্ট্র,শরাস্ত্র
স্বরাষ্ট্র,স্রাশ্ত্র
মন্ত্রণালয়,মন্ত্রনালয়
মন্ত্রণালয়,মন্ত্রনালই
বিতর্কের,বিতরকের
শুরুটা,শুরুতা
শুরুটা,সুরুতা
হয়েছিল,হএছিল
হয়েছিল,হয়েচীলো
হয়েছিল,হয়েছিলো
হয়েছিল,হয়েচিল
হয়েছিল,হয়েছল
নির্বাচনের,নিরবাছনে
নির্বাচনের,নিরবাছনের
নির্বাচনের,নিরবাচনের
নির্বাচনের,নিরবারছনের
নির্বাচনের,নির্বাচন
নির্বাচনের,নির্বাছনের
মনোনয়ন,ম্মননয়ন
মনোনয়ন,মননয়ন
মনোনয়ন,মণোনয়ণ
মনোনয়ন,মনয়ন
হাসপাতালের,হাস্পাতালের
জরুরী,জরুরি
চিকিৎসক,ছিকিতশক
চিকিৎসক,ছিতশক
চিকিৎসক,চিকিতশক
চিকিৎসক,ছিকিতসক
চিকিৎসক,চিকিতসক
সারোয়ার,সারয়ার
হোসেন,হসেন
হোসেন,হসসাইন
হোসেন,হসাইন
হোসেন,হছেন
হোসেন,হসান
গুরুতর,গুরুত্র
গুরুতর,গুরুতুর
আহত,আহাত
আহত,আঘাত
সামান্য,শামান্ন
সামান্য,সামান্ন
কেঁটে,কেতে
টুর্নামেন্টে,তুরনামেন্তে
টুর্নামেন্টে,টুর্নামেন্ট
টুর্নামেন্টে,টুর্নামেণ্ট
টুর্নামেন্টে,তুর্নামেন্তে
পর্যন্ত,প্রর্যন্ত
পর্যন্ত,প্প্রজান্ত
পর্যন্ত,পরজন্ত
পর্যন্ত,পোড়জোণ্টো
পর্যন্ত,পর্যজন্ত
পর্যন্ত,পরযন্ত
বোলাররা,বলাররা
বোলিংয়ে,বলিন্যে
বোলিংয়ে,বোলিঙে
বোলিংয়ে,বাল্লিঙ্গে
আছেন,আসেন
বোলার,বলার
মোহাম্মদ,মহাম্মদ
মোহাম্মদ,মহাম্মাদ
মোহাম্মদ,মোহাম্মাদ
মোহাম্মদ,মুহাম্মাদ
সাইফউদ্দিন,সাইফুদ্দিন
মাশরাফি,মাস্রাফি
মাশরাফি,মাশ্রাফু
মাশরাফি,মাশ্রাফি
মাশরাফি,মাষরাফি
মর্তুজার,মরতুজার
মর্তুজার,মর্তুযার
মেহেদি,মহেদি
হাসান,হাশান
দারুণ,দারুন
ক্যাচ,কেছ
ক্যাচ,কঅ্যাছ
ক্যাচ,কেচ
ক্যাচ,চাতছ
ক্যাচ,কাচ
ক্যাচ,কাছ
ক্যাচ,কোচ
বিদায়,বিদাএ
বেয়ারস্টোকে,বেয়ারস্তক্সকে
মাথায়,মাহায়
মাথায়,মাথাই
উইকেটের,উইকেতের
উইকেটের,উইকেটেড়
উইকেটের,উওইকেতে
উইকেটের,ওয়িচকেতের
ঘটে,গতে
ঘটে,ঘতে
ঘটে,ঘোঁটে
ঘটে,ঘোটে
ইংল্যান্ডের,ইনল্যন্দের
ইংল্যান্ডের,ইনলেন্দের
ইংল্যান্ডের,ইংলান্দের
ইংল্যান্ডের,এংলান্দের
ইংল্যান্ডের,ইংলেন্দের
ইংল্যান্ডের,ইংলেন্দ
ইংল্যান্ডের,ঈংলান্দের
পরীক্ষায়,পরিক্ষায়
পরীক্ষায়,পরিক্ষাই
পরীক্ষায়,পরিক্কায়
জন,জঙ
ইতিহাসে,ইতিহাশে
ইতিহাসে,ইতিহাশের
এটা,এতা
এটা,একটা
একটা,এক্তা
একটা,একটি
একটা,এক্তি
একটা,একতা
রেকর্ড,রেকরদ
রেকর্ড,রেক্রদ
রেকর্ড,রেক্রড
রেকর্ড,রেকর্দ
রেকর্ড,রেচরদ
হামলার,হাম্লার
হামলার,হামলায়
হামলার,হামলায়র
আগে,আআগে
আগে,আজ্ঞে
আগে,এগে
আগে,আগেয়
আগে,আরে
পৃষ্ঠার,পিশ্তহার
ইশতেহারে,ইশ্তেহারে
ব্রেন্টন,ব্রেন্তন
ব্রেন্টন,ব্রাতন
নিজেকে,নিজেকা
শ্বেতাঙ্গ,শেতাংগ
শ্বেতাঙ্গ,শেতাগ্ন
হিসেবে,হিশেবে
হিসেবে,হিসবে
হিসেবে,হসিবে
হিসেবে,হসেবে
হিসেবে,হিসাবে
হিসেবে,হইশেবে
পরিচয়,পরিছয়
পরিচয়,পরিচেয়
শ্রীনগর,স্রিনগর
শ্রীনগর,শ্রিনাগার
থানার,থেয়ানার
ওসি,অসি
ওসি,অচ
মোঃ,মহ
মোঃ,মো
ইউনুচ,ইউনুছ
আলী,আলি
আলী,আলো
জানান,জানানা
জানান,জানাণ
জানান,জানার
জানান,জানেন
এখনও,এখন
এখনও,এখনো
এখনও,আখন
এখনও,এখিওন
আসেনি,আশেনি
আসেনি,আসেনই
তদন্ত,তদনত
তদন্ত,তদন্ট
সাপেক্ষে,শাপেক্ষে
নেয়া,নেওয়া
মসজিদে,মশজিদে
মসজিদে,মসজিদ
ঢোকার,ধকার
মুহূর্তে,মুহুরতে
ঘটনাটি,ঘতনাতি
ঘটনাটি,গতনাতি
ঘটনাটি,ঘটনাটির
ঘটনাটি,ঘতনা
রহমতে,রহ্মতে
সবাই,শাবাই
সবাই,শবাই
সবাই,সবায়
ভাল,ভালো
সোশ্যাল,সশাল
সোশ্যাল,সচিয়াল
সোশ্যাল,সোশাল
সাইটে,সাইতে
ছড়িয়ে,ছরিয়ে
পড়তেই,পরতেই
ঝড়,ঝর
ওঠে,অথে
ওঠে,ওথে
ওঠে,উথে
ওঠে,অঠে
মন্তব্য,মন্তব্ব
দুজন,দুইজন
শীর্ষস্তরের,শিরশস্তরের
আচরণ,আছরন
আচরণ,আচারণ
আচরণ,আচরন
উচিত,উছিত
শতরানে,শত্রানে
পৌছাতে,পউছাতে
ওভার,অভার
ওভার,অভেয়ার
নিউজিল্যান্ডের,নিউজিল্যন্দের
নিউজিল্যান্ডের,নিউজিলান্দের
নিউজিল্যান্ডের,নিউজিলেন্দের
নিউজিল্যান্ডের,নিউজিল্যান্দের
নিউজিল্যান্ডের,নেওযেয়ালান্দের
এসময়,এশময়
এসময়,আশময়
এসময়,এসইময়
মারমুখী,মারমুখি
দাঁড়িয়ে,দারিয়ে
দাঁড়িয়ে,দাড়িয়ে
আগের,আরেগ
ম্যাচের,মেছের
ম্যাচের,মাছের
ম্যাচের,মাথচের
ম্যাচের,মাতছের
ম্যাচের,মেচের
সেঞ্চুরিয়ান,সেঞ্ছুরিয়ান
গাপটিল,গারতিল
গাপটিল,গাপতিল
বিদেশ,বেদেশ
কিনতে,কিনত
পারছে,পারসে
পারছে,পারচে
ব্যবহার্য,বেবহারজ
দ্রব্যাদি,দ্রব্বাদি
এমনকি,এম্নকি
প্রয়োজনীয়,প্রয়জনিয়
প্রয়োজনীয়,প্রয়জনি
প্রয়োজনীয়,পরজনিয়
প্রয়োজনীয়,প্র্যোজনীয়
প্রয়োজনীয়,প্রয়োজনিয়
ওষুধ,অশুধ
ওষুধ,অশদ
ওষুধ,ইশুধ
ওষুধ,অসুধ
ওষুধ,অশুদ
আগেও,এগেও
এরা,এর
যাওয়ার,জাওয়ার
যাওয়ার,জাওার
যাওয়ার,যাওয়ার
চেষ্টা,ছেশ্তা
চেষ্টা,চেশ্তা
চেষ্টা,ছেশটা
চেষ্টা,চেস্তা
চেষ্টা,ছেস্টা
চেষ্টা,ছেস্তা
চেষ্টা,চেশটা
চেষ্টা,চেছাতা
করেও,কোরেও
ব্যর্থ,বেরথ
ব্যর্থ,বারথ
ব্যর্থ,বার্থ
ব্যর্থ,ব্যড়থ
ব্যর্থ,ব্যররথ
ব্যর্থ,ব্যার্থ
ব্যর্থ,বের্থ
হয়েছিলেন,হয়েছিলেন
হয়েছিলেন,হয়েছিকেন
মুখ্যমন্ত্রী,মুক্ষমন্ত্রি
মুখ্যমন্ত্রী,মুখ্যমন্ত্রি
বিজয়ন,বিজয়ন
নারীর,নারির
বিষয়টি,বিশয়তি
সমাজতান্ত্রিক,শমাজতান্ত্রিক
সোভিয়েত,সভিয়েত
সোভিয়েত,সভিয়াত
সোভিয়েত,সভিএত
ইউনিয়ন,উনিউওন
ইউনিয়ন,উনিয়ন
সফরে,শফরে
সফরে,সফ্রে
রবীন্দ্রনাথ,রবিন্দ্রনাথ
রবীন্দ্র,ববিন্দ্র
শতবর্ষে,শমতবরশে
মস্কো,মস্ক
সঙ্কলন,শঙ্কলন
দিনযাপন,দিঞ্জাপন
ঝড়ে,ঝরে
কুমিল্লার,চুমিল্লার
কুমিল্লার,চমিল্লার
ইনিংস,ইনিন্স
ইনিংস,ইনংস
ইনিংস,ইন্নস
ইনিংস,ইনিওংস
শিকার,সিকার
সাকিব,শাকিব
ওয়ানডউনে,অয়ান্দউনে
সুবিধা,শুবিধা
সুবিধা,শুবিদা
পারেননি,পারেন্নি
পারেননি,পারেনি
বিরাট,বিরাত
বিরাট,বিরাতে
বিরাট,বিড়াট
কোহলিও,কহ্লিও
গ্র্যান্ডহ্যামের,গ্রান্ধামের
হন,হ্ন
ডিসেম্বরের,দিসেম্বরের
যোগ,জগ
যোগ,যগ
দিয়েছিল,দিয়েচিল
তিনটি,তিন্তি
দল,দলে
দল,দোল
দল,দ্দল
যথা,জথা
জাতীয়,জাতিও
জাতীয়,জাতিয়
জাতীয়,জাতীও
জাতীয়,জাতিইয়
জাতীয়,জাত্য
জাতীয়,জাইত
জাতীয়,যাতিয়
পার্টি,পারতি
পার্টি,পারটি
পার্টি,পাটি
পার্টি,পার্তি
তলপেটের,তল্পেতের
তলপেটের,তলাপেতের
ব্যথা,বেথা
সারা,শারা
মাসই,মাসি
থাকে,থেকে
থাকে,থাকা
তীব্রতা,তিব্রতা
একটু,এক্তু
পুরোপুরি,পুরুপরি
পুরোপুরি,পুরপুরি
অপর,আপর
দিকে,ডীকে
দিকে,দকে
দিকে,থিকে
দিকে,দীকে
দিকে,দিয়ে
দিকে,দইকে
সাল,শাল
পরওয়ানা,পরয়ানা
প্রকাশ্যে,প্রকাশশস
প্রকাশ্যে,প্রকাসসে
মোমিনের,মমিনের
স্ত্রী,স্ত্রি
জুন,জুনে
মধ্যরাতে,মদ্ধরাতে
বগুড়ার,বগুরার
জলেশ্বরীতলা,জলেশশরিতলা
নানামুখী,নানামুখি
চাপে,ছাপে
পড়বে,পরবে
অর্থনীতি,অরথনিতি
অর্থনীতি,অরথনীতি
কমে,কপমে
যাওয়ায়,জাওয়ায়
যাওয়ায়,জাওায়
ব্যাংকগুলোর,বেঙ্কগুলর
ব্যাংকগুলোর,ব্যাঙ্কগুলোর
ব্যাংকগুলোর,বেংকগুলোর
খেলাপি,কেলাপি
সেটার,শেতার
অপেক্ষা,অপেক্কা
অপেক্ষা,অপেখা
এমনিতে,এম্নিতে
চোট,ছত
চোট,চত
বলেই,বোলেই
বলেই,বিলেই
মনে,মনএ
মনে,মেন
মনে,মপ্নে
মোদির,মদির
মোদির,মোদীর
ধস,দশ
রেটিংও,রেতিন
শতাংশে,শতানশ
মেনোপজের,মেনপজের
পর,প্র
পর,প
পর,পোর
পর,পরে
পর,পড়
পর,পড়ে
পর,পুর
ওয়েস্ট্রোজেন,অয়েস্ত্রজেন
হরমোনের,হরমনের
নিয়েই,নিয়েই
জীবনের,জিবনের
জীবনের,জিবন্রত
বাকিটা,বাকিতা
সময়,সময়
সময়,শময়
কাটাতে,কাতাতে
চিন্তিত,ছিন্তিত
হওয়ার,হউয়ার
কী,কি
সেটি,শেতি
সেটি,সেতি
সেটি,সেতা
সেটি,সেটা
অন্য,অনন
অন্য,অন্ন
অন্য,ওণ্ণ
অন্য,অন্নন
সামগ্রিকভাবে,শামগ্রিকভাবে
আল্লাহ,আল্ললাহ
তায়ালা,তাইয়ালা
কবিরাজ,করিবাজ
কবিরাজ,কবনিরাজ
সাত,শাত
টাকা,তাকা
টাকা,তকা
টাকা,টাকার
টাকা,তাআ
টাকা,টাঁকা
নেয়,নাএ
প্রথমে,পথমে
প্রথমে,পরথমে
প্রথমে,প্ররথমে
ঝাড়,ঝার
মাধ্যমে,মাদ্ধমে
মাধ্যমে,মাদ্দমে
মাধ্যমে,মাধমে
মাধ্যমে,মদ্দ্যে
মাধ্যমে,মাধমের
মাধ্যমে,মাধমড়
মাধ্যমে,মাধঅ্যামে
মাধ্যমে,মাধ্মে
মাধ্যমে,কারনে
চলে,ছল
চলে,ছলে
চিকিৎসা,ছিকিতশা
চিকিৎসা,ছিকিতসা
চিকিৎসা,চিকৎসা
চিকিৎসা,চিকিথসা
চিকিৎসা,চিকিতশা
চিকিৎসা,ছিকিসা
চিকিৎসা,চিকিতসা
চিকিৎসা,চিকিত্তসা
আরও,আর
আরও,আরো
লীগ,লিগ
লীগ,লিফ
লীগ,লেয়াগুএ
শক্তিশালী,শক্তিশালি
শক্তিশালী,শক্তিশ্লি
শক্তিশালী,সক্তিশালি
শক্তিশালী,শক্তিষালী
বিরোধী,বিরধি
বিরোধী,বিরোধি
চায়,ছায়
চায়,ভায়
বিএনপি,বিএকপি
বিএনপি,িবএনপি
বিএনপি,বিয়ানপি
বিএনপি,বিনপ
সংসদে,শনশদে
সংসদে,সনশদে
সংসদে,সন্সদে
সংসদে,শংশদে
সংসদে,সংশদে
আসুক,আশুক
এটাও,এতাও
নেওয়া,নেওউয়া
নেওয়া,নেঅয়া
শতভাগ,সতভাগ
কৃষির,ক্রিশির
নির্ভরশীল,নিরভরশিল
নির্ভরশীল,নিবরশিল
নির্ভরশীল,নির্ভরশিল
ঘটনায়,ঘত্নায়
ঘটনায়,ঘতনার
ঘটনায়,ঘতনায়
ঘটনায়,ঘতনাই
ঘটনায়,ঘটনা
ঘটনায়,ঘটনার
ঘটনায়,গতনায়
আড়াই,আরাই
শতাধিক,সতাধিক
মৃত্যু,ম্রিত্তু
মৃত্যু,ম্রিতুই
মৃত্যু,মৃত
মৃত্যু,মিরতু
মৃত্যু,মৃতু
মৃত্যু,ম্রিত্যু
হামলাকারীদের,হাম্লাকারিদের
আক্রমণের,আক্রমনের
আক্রমণের,আক্রমন
মূল,মুল
খ্রিস্টানরা,ক্রিশ্তান্রা
যেখানে,জেকানে
যেখানে,যেকানে
গ্লাভস,গ্লাবস
খুব,কুব
খুব,খুবি
ব্যবহৃত,ব্যভ্রিত
ব্যবহৃত,ব্যবহ্রত
পাউডারবিহীন,পাউদারবিহিন
ব্যবহার,বেবহার
ব্যবহার,ব্যাবহার
ব্যবহার,ব্যাভার
ব্যবহার,ব্যভার
অ্যালার্জি,এলারজি
রোগীদের,রগিদের
ল্যাটেক্স,লাতেক্স
কনডম,কন্দম
বিপজ্জনক,বিপদজনক
অংশগ্রহণমূলক,অনশগ্রহন্মুলক
অংশগ্রহণমূলক,অংশগ্রহন্মুলক
অংশগ্রহণমূলক,অংশগ্রহন্মুল্ক
প্রতিদ্বন্দ্বিতাপূর্ণ,প্রতিদন্দিতাপুরন
প্রতিদ্বন্দ্বিতাপূর্ণ,প্রতিদন্দিতাপূর্ণ
বিশাল,বিসাহ্ল
বিশাল,বিসাল
অঙ্কের,অনকের
অঙ্কের,অংকের
অর্থের,অরথের
অপচয়,অপছয়
দেশকে,দেস্কে
অর্থনৈতিকভাবে,অরথনইতিকভাবে
ক্ষতিগ্রস্থ,খতিগ্রস্ত
দ্বিতীয়,দিতিয়
দ্বিতীয়,দিতিও
দ্বিতীয়,দিত্তিও
দ্বিতীয়,দিতীয়
অথচ,অথছ
অথচ,আথচ
অথচ,অথভ
দেশটি,দেশ্তি
সময়ে,শময়ে
সময়ে,স্ময়ে
সময়ে,সুময়ে
ধরনের,দরনের
ধরনের,ধরেন
ধরনের,ধরেনের
ধরনের,ধওরনের
সাইবার,ছাইবার
প্রতিরোধে,প্রতিরদে
পদক্ষেপ,পদক্কেপ
পদক্ষেপ,পদখেপ
গ্রহণ,গড়োহোণ
গ্রহণ,গ্রহন
গ্রহণ,গরহন
ডিজিটালাইজেশনের,দিজিতালাইজেশনের
আর্থসামাজিক,আরথশামাজিক
ক্ষেত্রে,ক্কত্রে
ক্ষেত্রে,খেতরে
ক্ষেত্রে,খেত্ত্রে
ক্ষেত্রে,খত্রে
প্রশংসনীয়,প্রশনশনিয়
অর্জন,অরজন
সক্ষম,শক্ষম
সহযোগিতা,শহজগিতা
সহযোগিতা,সহযগিতা
সহযোগিতা,সহজগিতা
সহযোগিতা,সহজগিতে
মৌলভীবাজার,মউলভিবাজার
খান,কান
থাকতেন,থাক্তেন
তাঁরাই,তারাই
পরিশোধ,পরিশধ
পরিশোধ,পরিসধ
এভাবেই,এবাবেই
সো,শ
মূলত,মুলত
চুরি,ছুরি
ধ্বংসের,ধন্সের
সেখান,শেখান
সেখান,সেখানে
সেখান,সেকান
থেকেও,থেকেই
থেকেও,থেক্ব
থেকেও,থাকেও
পাচ্ছেন,পাছছেন
পাচ্ছেন,পাচ্চেন
পাচ্ছেন,পাচ্ছের
পক্ষ,পক্ক
পক্ষ,পক্কখ
পক্ষ,পখ
হওয়া,হউয়া
হওয়া,হয়া
হওয়া,হওা
হওয়া,হাওয়া
হওয়া,হয়্যা
লিটনের,লিতনের
পরিস্থিতি,পরিশ্তহিতি
পরিস্থিতি,প্রিস্তিতি
পরিস্থিতি,পরিস্তিতি
পরিস্থিতি,পরিতস্থিতি
তারপর,তারপড়
লিবিয়ায়,লিবিয়ায়
সীমাহীন,শিমাহিল
সীমাহীন,সিমাহিন
নৈরাজ্য,নইরাজ্জ
রাজধানী,রাজদানি
রাজধানী,রাজধানি
ত্রিপোলির,ত্রিপলির
নিয়ন্ত্রণ,নিয়ন্ত্রন
নিয়ন্ত্রণ,নিয়নত্রনে
লড়াই,লড়াই
লড়াই,লরাই
ভাড়া,ভারা
টাকার,তাকার
টাকার,টাঁকার
পরিবর্তে,পরিবরতে
পরিবর্তে,পরিবতরতে
পরিবর্তে,পরিবতে
নামের,নামেড়
টিভি,তিবি
টিভি,তিভি
রিপোর্টার,রিপরতার
মঙ্গলবার,মঙ্গল্ব্র
মঙ্গলবার,মুঙ্গল্বার
মঙ্গলবার,মঙ্গলাবার
মঙ্গলবার,মংগলবার
মঙ্গলবার,মংগল্বার
ফেসবুকে,ফেসবুক
ফেসবুকে,ফাচেবুকে
স্ট্যাটাস,স্তেতাসে
দিয়েছেন,দইয়েছেন
দিয়েছেন,দিয়েহচেন
দিয়েছেন,দিইয়েছেন
দিয়েছেন,দিয়েছে
দিয়েছেন,দিয়েচেন
যুক্তি,যুকতি
চাননি,ছান্নি
চাননি,চান্নি
কোনোটি,কন্তি
বাংলাদেশীরা,বাংলাদেশিরা
মধ্য,মদ্দ
মধ্য,মদ্ধ
মধ্য,মধ
মধ্য,মধে
মধ্য,মধ্যে
এশিয়ান,এসিয়াণ
মুসলমানেরা,মুসমানেরা
মুসলমানেরা,মুসল্মানেরা
নির্মাণ,নিরমান
নির্মাণ,নির্মান
করেছিলেন,করেছিলেম
করেছিলেন,করেচিলেন
করেছিলেন,করেছিলন
করেছিলেন,করেছুলেন
আবার,আবাব্র
ছোটখাটো,ছতখাত
নামাজ,ন্মাজ
ঘরও,ঘর
তখনো,তখন
মিলে,মুলে
ছিলো,ছিল
ছিলো,ছুইল
ছিলো,চিল
হচ্ছিলো,হছছিল
সেই,শেই
সেই,সেঈ
গোলের,গলের
কল্যাণেই,কল্লানেই
ফাইনালে,ফিনালে
পৌঁছে,পউছে
যাবে,জানবে
যাবে,জবাএ
যাবে,যাদে
যাবে,যারে
উড়ে,উরে
এসে,এশে
জুড়ে,জুরে
বসেননি,বশেন্নি
আন্দোলন,আন্দলন
আন্দোলন,আন্দওলন
আন্দোলন,আন্দলন্ন
আন্দোলন,আনদলন
সংগ্রামের,শংরামের
মাধ্যমেই,মাদ্দমেই
মাধ্যমেই,মদ্ধমেই
মাধ্যমেই,মাদ্ধমেই
রাজনীতি,রাজনিতি
রাজনীতি,রাজধানিতি
ক্ষমতায়,খমতায়
ক্ষমতায়,ক্ষ্মতায়
