correct_sentence,gt,sentence,correction
বৃষ্টির মধ্যেও ব্যাটিং করতে রাজি ছিলাম।,বৃষ্টির মধ্যেও ব্যাটিং করতে রাজি ছিলাম।,বৃষ্টির মধ্যেও ব্যাটিং করতে রাজি ছিলাম।,[]
বিয়ের সময় স্বপনের বয়স একুশ আর বলাকার আঠারো।,বিয়ের $sony$ স্বপনের $toys$ একুশ আর বলাকার আঠারো।,বিয়ের sony স্বপনের toys একুশ আর বলাকার আঠারো।,"[((6, 9), 'সময়'), ((19, 22), 'বয়স')]"
ইন্দোনেশিয়ার জাকার্তায় নতুন বছর উপলক্ষে গণবিয়ের আয়োজন করা হয়েছিল।,ইন্দোনেশিয়ার জাকার্তায় নতুন বছর উপলক্ষে গণবিয়ের আয়োজন করা হয়েছিল।,ইন্দোনেশিয়ার জাকার্তায় নতুন বছর উপলক্ষে গণবিয়ের আয়োজন করা হয়েছিল।,[]
তবু সে মাদকসেবী হিসেবে সরকারের তালিকাভুক্ত।,তবু $say$ মাদকসেবী হিসেবে সরকারের তালিকাভুক্ত।,তবু say মাদকসেবী হিসেবে সরকারের তালিকাভুক্ত।,"[((4, 6), 'সে')]"
এই ট্রান্সফরমার স্থাপনের নামে মতিউর রহমান ওই এলাকার পল্লী বিদ্যুৎ সমিতির বিদ্যুৎ-মিস্ত্রি রবিউল ইসলামকে সঙ্গে নিয়ে এলাকাবাসীর কাছ থেকে এক লাখ ৯৫ হাজার টাকা নেন।,এই ট্রান্সফরমার স্থাপনের নামে মতিউর রহমান ওই এলাকার পল্লী বিদ্যুৎ সমিতির বিদ্যুৎ-মিস্ত্রি রবিউল ইসলামকে সঙ্গে নিয়ে এলাকাবাসীর কাছ থেকে এক লাখ ৯৫ হাজার টাকা নেন।,এই ট্রান্সফরমার স্থাপনের নামে মতিউর রহমান ওই এলাকার পল্লী বিদ্যুৎ সমিতির বিদ্যুৎ-মিস্ত্রি রবিউল ইসলামকে সঙ্গে নিয়ে এলাকাবাসীর কাছ থেকে এক লাখ ৯৫ হাজার টাকা নেন।,[]
"দিনাজপুর বধির ইনস্টিটিউটের প্রধান শিক্ষিকা নাজনীন আকতার বলেন , ইনস্টিটিউট মাঠে ক্রিকেট , ভলিবল ও ফুটবল ও ব্যাডমিন্টন প্রশিক্ষণ এবং ক্লাসরুমে দাবা প্রশিক্ষণ অনুষ্ঠিত হচ্ছে।","দিনাজপুর বধির ইনস্টিটিউটের প্রধান শিক্ষিকা নাজনীন আকতার বলেন , $institute$ মাঠে ক্রিকেট , ভলিবল $u$ ফুটবল $u$ ব্যাডমিন্টন প্রশিক্ষণ এবং ক্লাসরুমে দাবা প্রশিক্ষণ অনুষ্ঠিত হচ্ছে।","দিনাজপুর বধির ইনস্টিটিউটের প্রধান শিক্ষিকা নাজনীন আকতার বলেন , institute মাঠে ক্রিকেট , ভলিবল u ফুটবল u ব্যাডমিন্টন প্রশিক্ষণ এবং ক্লাসরুমে দাবা প্রশিক্ষণ অনুষ্ঠিত হচ্ছে।","[((63, 71), 'ইনস্টিটিউট'), ((94, 94), 'ও'), ((102, 102), 'ও')]"
এই ছয়জনসহ এ নিয়ে মোট ৪৯৭ জন বাংলাদেশি দেশে ফিরলেন।,এই ছয়জনসহ $e$ নিয়ে মোট ৪৯৭ $john$ বাংলাদেশি দেশে ফিরলেন।,এই ছয়জনসহ e নিয়ে মোট ৪৯৭ john বাংলাদেশি দেশে ফিরলেন।,"[((11, 11), 'এ'), ((27, 30), 'জন')]"
একটা কথা বোধ হয় ভুললে ঠিক হবে না।,একটা কথা বোধ হয় ভুললে ঠিক হবে $none$।,একটা কথা বোধ হয় ভুললে ঠিক হবে none।,"[((30, 33), 'না')]"
কাশ্মীর থেকে বাইকে করে আমরা লাদাখ গিয়েছিলাম।,কাশ্মীর থেকে বাইকে করে আমরা লাদাখ গিয়েছিলাম।,কাশ্মীর থেকে বাইকে করে আমরা লাদাখ গিয়েছিলাম।,[]
কে বা কারা খুন করে লাশটি এখানে ফেলে রেখে গেছে।,$ca$ $b$ কারা খুন করে লাশটি এখানে ফেলে রেখে গেছে।,ca b কারা খুন করে লাশটি এখানে ফেলে রেখে গেছে।,"[((0, 1), 'কে'), ((3, 3), 'বা')]"
সেখানে এই ডিউক অব ক্যামব্রিজ সমাজের অবহেলিত ও পিছিয়ে পড়া শিশুদের সঙ্গেও সময় কাটান।,সেখানে এই ডিউক অব ক্যামব্রিজ সমাজের অবহেলিত $u$ পিছিয়ে পড়া শিশুদের সঙ্গেও $sony$ কাটান।,সেখানে এই ডিউক অব ক্যামব্রিজ সমাজের অবহেলিত u পিছিয়ে পড়া শিশুদের সঙ্গেও sony কাটান।,"[((44, 44), 'ও'), ((72, 75), 'সময়')]"
"কে হবেন আমেরিকার পরবর্তী প্রেসিডেন্ট , তা নিয়ে চলছে বিতর্ক আর গুঞ্জন।","$ca$ হবেন আমেরিকার পরবর্তী $president$ , তা নিয়ে চলছে বিতর্ক আর গুঞ্জন।","ca হবেন আমেরিকার পরবর্তী president , তা নিয়ে চলছে বিতর্ক আর গুঞ্জন।","[((0, 1), 'কে'), ((25, 33), 'প্রেসিডেন্ট')]"
মনিশের এবারের ডিজাইনে বিশেষ বৈশিষ্ট্য ঝলমলে ও চিকচিকে জমিনের ওপরে এমব্রয়ডারির কাজ।,মনিশের এবারের ডিজাইনে বিশেষ বৈশিষ্ট্য ঝলমলে $u$ চিকচিকে জমিনের ওপরে এমব্রয়ডারির কাজ।,মনিশের এবারের ডিজাইনে বিশেষ বৈশিষ্ট্য ঝলমলে u চিকচিকে জমিনের ওপরে এমব্রয়ডারির কাজ।,"[((44, 44), 'ও')]"
সম্মিলিত প্রচেষ্টার প্রতীকী এই অবদান দিয়ে সরদার প্যাটেল স্ট্যাচুর ভিত্তি নির্মাণ করা হয়।,সম্মিলিত প্রচেষ্টার প্রতীকী এই অবদান দিয়ে সরদার প্যাটেল স্ট্যাচুর ভিত্তি নির্মাণ করা হয়।,সম্মিলিত প্রচেষ্টার প্রতীকী এই অবদান দিয়ে সরদার প্যাটেল স্ট্যাচুর ভিত্তি নির্মাণ করা হয়।,[]
"জানেন , এই দলটাকে শরীরের শক্তি দিয়ে দেওয়ার জোর কমে গেলেও মনের জোর আগের মতোই আছে।","জানেন , এই দলটাকে শরীরের শক্তি দিয়ে দেওয়ার জোর $come$ গেলেও মনের জোর আগের মতোই আছে।","জানেন , এই দলটাকে শরীরের শক্তি দিয়ে দেওয়ার জোর come গেলেও মনের জোর আগের মতোই আছে।","[((47, 50), 'কমে')]"
যোগ হওয়া সময়ের দ্বিতীয় মিনিটে প্রথমার্ধে গোলের জোগান দেওয়া দিবুশির হাঁটুতে লেগে নিজেদের জালে বল না জড়ালে উল্লাস করেই মাঠ ছাড়ত এতিয়েন দর্শকেরা।,$dog$ হওয়া সময়ের দ্বিতীয় মিনিটে প্রথমার্ধে গোলের জোগান দেওয়া দিবুশির হাঁটুতে লেগে নিজেদের জালে বল $none$ জড়ালে উল্লাস করেই মাঠ ছাড়ত এতিয়েন দর্শকেরা।,dog হওয়া সময়ের দ্বিতীয় মিনিটে প্রথমার্ধে গোলের জোগান দেওয়া দিবুশির হাঁটুতে লেগে নিজেদের জালে বল none জড়ালে উল্লাস করেই মাঠ ছাড়ত এতিয়েন দর্শকেরা।,"[((0, 2), 'যোগ'), ((96, 99), 'না')]"
নিজ সরকারের উন্নয়নের ফিরিস্তি দিলেন ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদি।,নিজ সরকারের উন্নয়নের ফিরিস্তি দিলেন ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদি।,নিজ সরকারের উন্নয়নের ফিরিস্তি দিলেন ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদি।,[]
এরা বিষাক্ত প্রকৃতির প্রজাপতি।,এরা বিষাক্ত প্রকৃতির প্রজাপতি।,এরা বিষাক্ত প্রকৃতির প্রজাপতি।,[]
মাসকট প্লাজার পশ্চিম পাশে অবস্থিত ওই বাড়ির বিভিন্ন তলায় র‌্যাবের কর্মকর্তারা ভিওআইপির সরঞ্জাম দেখেন।,মাসকট প্লাজার পশ্চিম পাশে অবস্থিত ওই বাড়ির বিভিন্ন তলায় র‌্যাবের কর্মকর্তারা ভিওআইপির সরঞ্জাম দেখেন।,মাসকট প্লাজার পশ্চিম পাশে অবস্থিত ওই বাড়ির বিভিন্ন তলায় র‌্যাবের কর্মকর্তারা ভিওআইপির সরঞ্জাম দেখেন।,[]
কাল উইকেট হাত বাড়িয়ে দিয়েছে স্পিনারদের দিকে।,কাল উইকেট হাত বাড়িয়ে দিয়েছে স্পিনারদের দিকে।,কাল উইকেট হাত বাড়িয়ে দিয়েছে স্পিনারদের দিকে।,[]
"সাধারণ মানুষ , যারা শুধু রুটিরুজির জন্য চেষ্টা করে যাচ্ছে , তারা যে কী পরিমাণ ঝুঁকি ও শোষণের শিকার , রানা প্লাজার মর্মান্তিক ধ্বংসযজ্ঞ আমাদের তা মনে করিয়ে দেয়।","সাধারণ মানুষ , যারা শুধু রুটিরুজির জন্য চেষ্টা করে যাচ্ছে , তারা $j$ কী পরিমাণ ঝুঁকি $u$ শোষণের শিকার , রানা প্লাজার মর্মান্তিক ধ্বংসযজ্ঞ আমাদের তা মনে করিয়ে দেয়।","সাধারণ মানুষ , যারা শুধু রুটিরুজির জন্য চেষ্টা করে যাচ্ছে , তারা j কী পরিমাণ ঝুঁকি u শোষণের শিকার , রানা প্লাজার মর্মান্তিক ধ্বংসযজ্ঞ আমাদের তা মনে করিয়ে দেয়।","[((65, 65), 'যে'), ((83, 83), 'ও')]"
"এ বিষয়ে শিক্ষামন্ত্রী প্রথম আলোকে বলেন , অর্থসচিব শিক্ষকদের সমস্যা সমাধানে ইতিবাচক মনোভাব দেখিয়েছেন।","$e$ বিষয়ে শিক্ষামন্ত্রী প্রথম আলোকে বলেন , অর্থসচিব শিক্ষকদের সমস্যা সমাধানে ইতিবাচক মনোভাব দেখিয়েছেন।","e বিষয়ে শিক্ষামন্ত্রী প্রথম আলোকে বলেন , অর্থসচিব শিক্ষকদের সমস্যা সমাধানে ইতিবাচক মনোভাব দেখিয়েছেন।","[((0, 0), 'এ')]"
"চিকিৎসকেরা জানান , হাসান আল-তুরাবি হৃদ্রোগে আক্রান্ত হয়ে মারা যান।","চিকিৎসকেরা জানান , হাসান আল-তুরাবি হৃদ্রোগে আক্রান্ত হয়ে মারা $jan$।","চিকিৎসকেরা জানান , হাসান আল-তুরাবি হৃদ্রোগে আক্রান্ত হয়ে মারা jan।","[((63, 65), 'যান')]"
বরিশালের শেরেবাংলা মেডিকেল কলেজ হাসপাতাল প্রতিষ্ঠার পর আর সেখানে শয্যাসংখ্যা বাড়েনি।,বরিশালের শেরেবাংলা $medical$ $college$ হাসপাতাল প্রতিষ্ঠার পর আর সেখানে শয্যাসংখ্যা বাড়েনি।,বরিশালের শেরেবাংলা medical college হাসপাতাল প্রতিষ্ঠার পর আর সেখানে শয্যাসংখ্যা বাড়েনি।,"[((19, 25), 'মেডিকেল'), ((27, 33), 'কলেজ')]"
এসব স্থানে কোনো ত্রুটি থাকলে সেটা দ্রুত সারিয়ে নিতে হবে।,এসব স্থানে কোনো ত্রুটি থাকলে সেটা দ্রুত সারিয়ে নিতে হবে।,এসব স্থানে কোনো ত্রুটি থাকলে সেটা দ্রুত সারিয়ে নিতে হবে।,[]
"স্মৃতিচারণা করে আবদুর রাজ্জাকের ভাতিজা আবুল খায়ের লিটু বলেন , সারা জীবন তিনি লেখাপড়া করেছেন ও জ্ঞানদান করে গেছেন।","স্মৃতিচারণা করে আবদুর রাজ্জাকের ভাতিজা আবুল খায়ের লিটু বলেন , সারা জীবন তিনি লেখাপড়া করেছেন $u$ জ্ঞানদান করে গেছেন।","স্মৃতিচারণা করে আবদুর রাজ্জাকের ভাতিজা আবুল খায়ের লিটু বলেন , সারা জীবন তিনি লেখাপড়া করেছেন u জ্ঞানদান করে গেছেন।","[((92, 92), 'ও')]"
কিন্তু পাশের দোকানি হাজি ইসমাইলকে পাননি।,কিন্তু পাশের দোকানি হাজি ইসমাইলকে পাননি।,কিন্তু পাশের দোকানি হাজি ইসমাইলকে পাননি।,[]
রোগের যন্ত্রণার চেয়েও অস্বস্তিকর অপেক্ষা : তীব্র রোদ।,রোগের যন্ত্রণার চেয়েও অস্বস্তিকর অপেক্ষা : তীব্র রোদ।,রোগের যন্ত্রণার চেয়েও অস্বস্তিকর অপেক্ষা : তীব্র রোদ।,[]
যুক্তরাষ্ট্র ও ভারতের সঙ্গে মিলে শেখ হাসিনার সরকার এ দেশে আন্তর্জাতিক সন্ত্রাসবাদ দমনে দৃশ্যমান অগ্রগতি সাধন করেছে।,যুক্তরাষ্ট্র $u$ ভারতের সঙ্গে মিলে শেখ হাসিনার সরকার $e$ দেশে আন্তর্জাতিক সন্ত্রাসবাদ দমনে দৃশ্যমান অগ্রগতি সাধন করেছে।,যুক্তরাষ্ট্র u ভারতের সঙ্গে মিলে শেখ হাসিনার সরকার e দেশে আন্তর্জাতিক সন্ত্রাসবাদ দমনে দৃশ্যমান অগ্রগতি সাধন করেছে।,"[((13, 13), 'ও'), ((51, 51), 'এ')]"
তিনি অবিলম্বে প্রকৃত হত্যাকারীদের গ্রেপ্তারের দাবি জানান।,তিনি অবিলম্বে প্রকৃত হত্যাকারীদের গ্রেপ্তারের দাবি জানান।,তিনি অবিলম্বে প্রকৃত হত্যাকারীদের গ্রেপ্তারের দাবি জানান।,[]
বাংলাদেশ ক্রিকেট সম্পর্কে ইংলিশদের নাকউঁচু ভাবটা নতুন কিছু নয়।,বাংলাদেশ ক্রিকেট সম্পর্কে ইংলিশদের নাকউঁচু ভাবটা নতুন কিছু নয়।,বাংলাদেশ ক্রিকেট সম্পর্কে ইংলিশদের নাকউঁচু ভাবটা নতুন কিছু নয়।,[]
"চার মাসের চেষ্টায় তারা যা দাঁড় করিয়েছে , তার দুটি অংশ।","চার মাসের চেষ্টায় তারা যা দাঁড় করিয়েছে , তার দুটি অংশ।","চার মাসের চেষ্টায় তারা যা দাঁড় করিয়েছে , তার দুটি অংশ।",[]
এতে লক্ষাধিক মানুষ অংশ নেয় বলে বিরোধীরা দাবি করেছে।,এতে লক্ষাধিক মানুষ অংশ নেয় বলে বিরোধীরা দাবি করেছে।,এতে লক্ষাধিক মানুষ অংশ নেয় বলে বিরোধীরা দাবি করেছে।,[]
আজ শনিবার বৃষ্টিও হবে বলে অধিদপ্তরের পূর্বাভাসে বলা হয়।,আজ শনিবার বৃষ্টিও হবে বলে অধিদপ্তরের পূর্বাভাসে বলা হয়।,আজ শনিবার বৃষ্টিও হবে বলে অধিদপ্তরের পূর্বাভাসে বলা হয়।,[]
এই কর্মকর্তাদের মধ্যে কয়েক দিন আগে বদলির আদেশ হওয়া ১২ জন জেলা প্রশাসকও রয়েছেন।,এই কর্মকর্তাদের মধ্যে কয়েক দিন $ago$ বদলির আদেশ হওয়া ১২ $john$ জেলা প্রশাসকও রয়েছেন।,এই কর্মকর্তাদের মধ্যে কয়েক দিন ago বদলির আদেশ হওয়া ১২ john জেলা প্রশাসকও রয়েছেন।,"[((31, 33), 'আগে'), ((54, 57), 'জন')]"
কেন বুঝতে পেরেছেন তো ? তাঁরা তিনজনই স্প্যানিশ।,কেন বুঝতে পেরেছেন তো ? তাঁরা তিনজনই স্প্যানিশ।,কেন বুঝতে পেরেছেন তো ? তাঁরা তিনজনই স্প্যানিশ।,[]
"না , আমার মনে হয় আজকে উইকেট খুব ভালো ছিল , ওরা খুব ভালো বল করেছে।","$none$ , আমার মনে হয় আজকে উইকেট খুব ভালো ছিল , ওরা খুব ভালো বল করেছে।","none , আমার মনে হয় আজকে উইকেট খুব ভালো ছিল , ওরা খুব ভালো বল করেছে।","[((0, 3), 'না')]"
কিন্তু গল্পটা বলতে পারব না।,কিন্তু গল্পটা বলতে পারব $none$।,কিন্তু গল্পটা বলতে পারব none।,"[((24, 27), 'না')]"
ম্যাচের বাকি সময়টা ভারতকে চেপেই রেখেছিল বাংলাদেশ।,ম্যাচের বাকি সময়টা ভারতকে চেপেই রেখেছিল বাংলাদেশ।,ম্যাচের বাকি সময়টা ভারতকে চেপেই রেখেছিল বাংলাদেশ।,[]
"থানার ভারপ্রাপ্ত কর্মকর্তা ( ওসি ) মীর্জা আবদুস সালাম জানান , তরিকুলকে আদালতের মাধ্যমে কারাগারে পাঠানো হয়েছে।","থানার ভারপ্রাপ্ত কর্মকর্তা ( ওসি ) মীর্জা আবদুস সালাম জানান , তরিকুলকে আদালতের মাধ্যমে কারাগারে পাঠানো হয়েছে।","থানার ভারপ্রাপ্ত কর্মকর্তা ( ওসি ) মীর্জা আবদুস সালাম জানান , তরিকুলকে আদালতের মাধ্যমে কারাগারে পাঠানো হয়েছে।",[]
শ্রেণিকক্ষ-সংকটের কারণে তিনটি বিভাগের কার্যক্রম চলছে শহরের জিলা স্কুলের বর্ধিত ভবনে।,শ্রেণিকক্ষ-সংকটের কারণে তিনটি বিভাগের কার্যক্রম চলছে শহরের জিলা স্কুলের বর্ধিত ভবনে।,শ্রেণিকক্ষ-সংকটের কারণে তিনটি বিভাগের কার্যক্রম চলছে শহরের জিলা স্কুলের বর্ধিত ভবনে।,[]
একই সঙ্গে আইনের বাস্তবায়ন না হওয়া এবং আইন ভঙ্গকারীদের ক্ষেত্রবিশেষে উৎসাহ দেওয়ায় সরকারের সমালোচনা করেন।,একই সঙ্গে আইনের বাস্তবায়ন $none$ হওয়া এবং আইন ভঙ্গকারীদের ক্ষেত্রবিশেষে উৎসাহ দেওয়ায় সরকারের সমালোচনা করেন।,একই সঙ্গে আইনের বাস্তবায়ন none হওয়া এবং আইন ভঙ্গকারীদের ক্ষেত্রবিশেষে উৎসাহ দেওয়ায় সরকারের সমালোচনা করেন।,"[((27, 30), 'না')]"
"সম্প্রতি সরেজমিনে দেখা যায় , ১০টি শৌচাগারের মধ্যে আটটিরই দরজা নেই।","সম্প্রতি সরেজমিনে দেখা $ii$ , ১০টি শৌচাগারের মধ্যে আটটিরই দরজা নেই।","সম্প্রতি সরেজমিনে দেখা ii , ১০টি শৌচাগারের মধ্যে আটটিরই দরজা নেই।","[((23, 24), 'যায়')]"
টানা চারটা ডট।,টানা চারটা ডট।,টানা চারটা ডট।,[]
খেলার চেয়ে খেলার বাইরের কাণ্ডকীর্তি দিয়েই তিনি শিরোনাম হতে ভালোবাসেন।,খেলার চেয়ে খেলার বাইরের কাণ্ডকীর্তি দিয়েই তিনি শিরোনাম হতে ভালোবাসেন।,খেলার চেয়ে খেলার বাইরের কাণ্ডকীর্তি দিয়েই তিনি শিরোনাম হতে ভালোবাসেন।,[]
যা প্রায় ৮০ শতাংশ পর্যন্ত চর্বিমুক্ত রান্না করতে সক্ষম।,যা প্রায় ৮০ শতাংশ পর্যন্ত চর্বিমুক্ত রান্না করতে সক্ষম।,যা প্রায় ৮০ শতাংশ পর্যন্ত চর্বিমুক্ত রান্না করতে সক্ষম।,[]
দিনে দিনেই হারিয়ে যাওয়া কার্ড তোলা যায়।,দিনে দিনেই হারিয়ে যাওয়া $card$ তোলা $ii$।,দিনে দিনেই হারিয়ে যাওয়া card তোলা ii।,"[((24, 27), 'কার্ড'), ((34, 35), 'যায়')]"
এ সময় ছাত্ররা বেয়াদবি করে অন্যান্য ছাত্রের চুলের কথা বলতে থাকে।,$e$ $sony$ ছাত্ররা বেয়াদবি করে অন্যান্য ছাত্রের চুলের কথা বলতে থাকে।,e sony ছাত্ররা বেয়াদবি করে অন্যান্য ছাত্রের চুলের কথা বলতে থাকে।,"[((0, 0), 'এ'), ((2, 5), 'সময়')]"
প্রায় সোয়া ঘণ্টা অবরুদ্ধ থাকার পর সন্ধ্যায় তিনি পুলিশি পাহারায় তাঁর নীলফামারীর বাসভবনে পৌঁছান।,প্রায় সোয়া ঘণ্টা অবরুদ্ধ থাকার পর সন্ধ্যায় তিনি পুলিশি পাহারায় তাঁর নীলফামারীর বাসভবনে পৌঁছান।,প্রায় সোয়া ঘণ্টা অবরুদ্ধ থাকার পর সন্ধ্যায় তিনি পুলিশি পাহারায় তাঁর নীলফামারীর বাসভবনে পৌঁছান।,[]
নিজেদেরই সেরা ভাবার মানসিকতার ফলে তাঁরা এখন গঠনমূলক ভিন্নমতও গ্রহণ করতে পারেন না।,নিজেদেরই সেরা ভাবার মানসিকতার ফলে তাঁরা এখন গঠনমূলক ভিন্নমতও গ্রহণ করতে পারেন $none$।,নিজেদেরই সেরা ভাবার মানসিকতার ফলে তাঁরা এখন গঠনমূলক ভিন্নমতও গ্রহণ করতে পারেন none।,"[((78, 81), 'না')]"
তিন মাস হলো ইউসুফের দোকান বন্ধ আছে।,$teen$ $months$ হলো ইউসুফের দোকান বন্ধ আছে।,teen months হলো ইউসুফের দোকান বন্ধ আছে।,"[((0, 3), 'তিন'), ((5, 10), 'মাস')]"
ব্রাহ্মণবাড়িয়ার আখাউড়া উপজেলার মোগড়া ইউনিয়ন আওয়ামী লীগের সাবেক সাংগঠনিক সম্পাদক মোবারক হোসেনের মামলাও আপিল নিষ্পত্তির অপেক্ষায়।,ব্রাহ্মণবাড়িয়ার আখাউড়া উপজেলার মোগড়া $union$ আওয়ামী লীগের সাবেক সাংগঠনিক সম্পাদক মোবারক হোসেনের মামলাও আপিল নিষ্পত্তির অপেক্ষায়।,ব্রাহ্মণবাড়িয়ার আখাউড়া উপজেলার মোগড়া union আওয়ামী লীগের সাবেক সাংগঠনিক সম্পাদক মোবারক হোসেনের মামলাও আপিল নিষ্পত্তির অপেক্ষায়।,"[((38, 42), 'ইউনিয়ন')]"
সংবাদ সম্মেলনে বক্তব্য দেন ফিলিপস বাংলাদেশের প্রধান নির্বাহী কর্মকর্তা ( সিইও ) সঞ্জয় বাপনা।,সংবাদ সম্মেলনে বক্তব্য দেন ফিলিপস বাংলাদেশের প্রধান নির্বাহী কর্মকর্তা ( সিইও ) সঞ্জয় বাপনা।,সংবাদ সম্মেলনে বক্তব্য দেন ফিলিপস বাংলাদেশের প্রধান নির্বাহী কর্মকর্তা ( সিইও ) সঞ্জয় বাপনা।,[]
এর প্রধান ছিলেন খুলনা সরকারি মজিদ মেমোরিয়াল সিটি কলেজের উপাধ্যক্ষ সরদার মনিরুল ইসলাম।,এর প্রধান ছিলেন খুলনা সরকারি মজিদ মেমোরিয়াল $city$ কলেজের উপাধ্যক্ষ সরদার মনিরুল ইসলাম।,এর প্রধান ছিলেন খুলনা সরকারি মজিদ মেমোরিয়াল city কলেজের উপাধ্যক্ষ সরদার মনিরুল ইসলাম।,"[((44, 47), 'সিটি')]"
পরে শুক্রবার ভাটারা থানার পুলিশ মামলা নেয়।,পরে শুক্রবার ভাটারা থানার পুলিশ মামলা নেয়।,পরে শুক্রবার ভাটারা থানার পুলিশ মামলা নেয়।,[]
চলমান রাজনৈতিক সংকটের ব্যাপারে প্রধান দুই দলের অনড় অবস্থানের কারণে সমস্যা সমাধানের কোনো লক্ষণ নেই।,চলমান রাজনৈতিক সংকটের ব্যাপারে প্রধান $due$ দলের অনড় অবস্থানের কারণে সমস্যা সমাধানের কোনো লক্ষণ নেই।,চলমান রাজনৈতিক সংকটের ব্যাপারে প্রধান due দলের অনড় অবস্থানের কারণে সমস্যা সমাধানের কোনো লক্ষণ নেই।,"[((38, 40), 'দুই')]"
সংযুক্ত আরব আমিরাত সফরের তারকা এজাজকে বাদ দেওয়াটা আসলে কঠিন ছিল।,সংযুক্ত আরব আমিরাত সফরের তারকা এজাজকে বাদ দেওয়াটা আসলে কঠিন ছিল।,সংযুক্ত আরব আমিরাত সফরের তারকা এজাজকে বাদ দেওয়াটা আসলে কঠিন ছিল।,[]
 ফরিদপুর অফিস।, ফরিদপুর $office$।, ফরিদপুর office।,"[((10, 15), 'অফিস')]"
এরপর সেখান থেকে গাড়িতে চেপে দীপিকার পছন্দের একটি রেস্তোরাঁয় যান তাঁরা।,এরপর সেখান থেকে গাড়িতে চেপে দীপিকার পছন্দের একটি রেস্তোরাঁয় $jan$ তাঁরা।,এরপর সেখান থেকে গাড়িতে চেপে দীপিকার পছন্দের একটি রেস্তোরাঁয় jan তাঁরা।,"[((62, 64), 'যান')]"
ভারত সরকারের সঙ্গে উলফার যে গ্রুপটি আলোচনা চালিয়ে যাচ্ছে এর এক নেতা জিতেন।,ভারত সরকারের সঙ্গে উলফার $j$ গ্রুপটি আলোচনা চালিয়ে যাচ্ছে এর এক নেতা জিতেন।,ভারত সরকারের সঙ্গে উলফার j গ্রুপটি আলোচনা চালিয়ে যাচ্ছে এর এক নেতা জিতেন।,"[((25, 25), 'যে')]"
এসব ক্ষেত্রে চিকিৎসকের পরামর্শ মেনে শুঁটকি খাওয়া উচিত।,এসব ক্ষেত্রে চিকিৎসকের পরামর্শ মেনে শুঁটকি খাওয়া উচিত।,এসব ক্ষেত্রে চিকিৎসকের পরামর্শ মেনে শুঁটকি খাওয়া উচিত।,[]
"সেই গুলশান ছিল শোকাহত , বিমর্ষ এবং আতংকিত।","$see$ গুলশান ছিল শোকাহত , বিমর্ষ এবং আতংকিত।","see গুলশান ছিল শোকাহত , বিমর্ষ এবং আতংকিত।","[((0, 2), 'সেই')]"
"২৩টি বিভাগের মধ্যে ১৭টি ! তা–ও আবার জাতীয় চলচ্চিত্র পুরস্কার ! অবিশ্বাস্য হলেও সত্য , জাতীয় চলচ্চিত্র পুরস্কারে এমন অভাবনীয় সাফল্যই দেখিয়েছে চলচ্চিত্র মৃত্তিকা মায়া।","২৩টি বিভাগের মধ্যে ১৭টি ! তা–ও আবার জাতীয় চলচ্চিত্র পুরস্কার ! অবিশ্বাস্য হলেও সত্য , জাতীয় চলচ্চিত্র পুরস্কারে এমন অভাবনীয় সাফল্যই দেখিয়েছে চলচ্চিত্র মৃত্তিকা মায়া।","২৩টি বিভাগের মধ্যে ১৭টি ! তা–ও আবার জাতীয় চলচ্চিত্র পুরস্কার ! অবিশ্বাস্য হলেও সত্য , জাতীয় চলচ্চিত্র পুরস্কারে এমন অভাবনীয় সাফল্যই দেখিয়েছে চলচ্চিত্র মৃত্তিকা মায়া।",[]
সেখানে কর্তব্যরত চিকিৎসক তাঁকে ময়মনসিংহ মেডিকেল কলেজ হাসপাতালে পাঠানোর পরামর্শ দেন।,সেখানে কর্তব্যরত চিকিৎসক তাঁকে ময়মনসিংহ $medical$ $college$ হাসপাতালে পাঠানোর পরামর্শ দেন।,সেখানে কর্তব্যরত চিকিৎসক তাঁকে ময়মনসিংহ medical college হাসপাতালে পাঠানোর পরামর্শ দেন।,"[((40, 46), 'মেডিকেল'), ((48, 54), 'কলেজ')]"
সেখানে প্রক্রিয়াকরণের পর প্রতি ছয় টন পাপড়ি থেকে তৈরি হয় এক লিটার সুগন্ধি তেল।,সেখানে প্রক্রিয়াকরণের পর প্রতি ছয় টন পাপড়ি থেকে তৈরি হয় এক লিটার সুগন্ধি $tell$।,সেখানে প্রক্রিয়াকরণের পর প্রতি ছয় টন পাপড়ি থেকে তৈরি হয় এক লিটার সুগন্ধি tell।,"[((73, 76), 'তেল')]"
