,gt_x,gt_y,diff
1685,১৪৯৩ থেকে ১৪৯৫ এর মধ্যে তার অধিনস্তদের$ মাঝে ক্যাটরিনা নামে এক মহিলার নাম পাওয়া যায়।,১৪৯৩ থেকে ১৪৯৫ এর মধ্যে তার $অধিনস্তদের$ মাঝে ক্যাটরিনা নামে এক মহিলার নাম পাওয়া যায়।,True
1723,$শুধুমাত্র$ আমিই জানি$$ তুমি কে!,$শুধুমাত্র$ আমিই জানি তুমি কে!,True
1732,দুদিন পরে মেয়েবাজ না হলেই হলো$ $!,দুদিন পরে মেয়েবাজ না হলেই হলো !,True
1740,"ইন্ডিয়া, পাকিস্তান যখন যেখানে পোস্টিং ছিল$$ সেখানেই দাদীকে নিজের কাছে রেখেছেন।","ইন্ডিয়া, পাকিস্তান যখন যেখানে পোস্টিং ছিল $$সেখানেই দাদীকে নিজের কাছে রেখেছেন।",True
1743,"ছেলেটি বলেছিল, সে বলিউডি সিনেমা দ্বারা প্রভাবিত।","ছেলেটি বলেছিল, সে $বলিউডি$ সিনেমা দ্বারা প্রভাবিত।",True
1773,"এই বাংলার$ কোন$ ঘরে একটা বড় বোন থাকবে$,$ এবং সেই ঘরের ছোট ভাইগুলোর $ছাল$ $সহী$ সালামতে থাকবে- $এইটা$ অসম্ভব।","এই বাংলার $কোন$ ঘরে একটা বড় বোন থাকবে$,$ এবং সেই ঘরের $ছোট$ ভাইগুলোর $ছাল$ $সহী$ সালামতে থাকবে- $এইটা$ অসম্ভব।",True
1777,"মামাকে উদ্দেশ্য করে বললেন, $-$বাচ্চাটি বাড়ি রাখাল বোধহয়?","মামাকে উদ্দেশ্য করে বললেন, $-$বাচ্চাটি বাড়ি $রাখাল$ বোধহয়?",True
1779,"শুধু স্বপ্ন দেখি, আর রাজ্যের ভাবনা ভেবে রাখি- কিন্তু আমার$ কোন$ স্বপ্নই সত্য হয় না।","শুধু স্বপ্ন দেখি, আর রাজ্যের ভাবনা ভেবে রাখি- কিন্তু আমার $কোন$ স্বপ্নই সত্য হয় না।",True
1781,ছোট ছোট ছেলেমেয়েরা $ইহা$ $চুষিয়া চুষিয়া$ খায়।,$ছোট$ $ছোট$ ছেলেমেয়েরা $ইহা$ $চুষিয়া$ $চুষিয়া$ খায়।,True
1794,$হ্যা$$$ সেদিন $কোন$ নিজেদের সমস্যা নিয়ে ঝগড়া হয়নি।,$হ্যা$ সেদিন $কোন$ নিজেদের সমস্যা নিয়ে ঝগড়া হয়নি।,True
1811,৬ষ্ঠ বছরে পাইওনিয়ারের সদস্য সংখ্যা বৃদ্ধি পেয়ে দ্বিগুণের$$ ও বেশি হয়েছে।,৬ষ্ঠ বছরে পাইওনিয়ারের সদস্য সংখ্যা বৃদ্ধি পেয়ে $দ্বিগুণের ও$ বেশি হয়েছে।,True
1813,তার ভালো লাগছে না$$ খট মটে সব কথা।,তার ভালো লাগছে না খট মটে সব কথা।,True
1818,"$বলিলেন$, হাসি $কিসের$ জন্য$!$","$বলিলেন$, হাসি $কিসের$ জন্য!",True
1823,"ইনি পূর্বে $স্পেনদেশে$ যুক্তরাষ্ট্রের রাজদূত ছিলেন, এবং যুক্তরাষ্ট্রের সেনেটার $হইয়াছিলেন$।","ইনি পূর্বে স্পেনদেশে যুক্তরাষ্ট্রের রাজদূত ছিলেন, এবং যুক্তরাষ্ট্রের সেনেটার $হইয়াছিলেন$।",True
1832,আচ্ছা বুঝলাম গরুর তা ব্যাটা ফ্রি $বিলোচ্ছে$ কেন$$ মরা গরুর $নয়ত$!$,আচ্ছা বুঝলাম গরুর$$ তা ব্যাটা ফ্রি $বিলোচ্ছে$ কেন$$ মরা গরুর $নয়ত$!,True
1853,$একশ্রেনীর$ মুনাফালোভী ব্যবসায়ী আর কিছু $দুর্নীতিগ্রস্হ্য$ কর্তাব্যক্তি$$ কর্মকর্তা ও কর্মচারী এই খাতের যথাযথ উন্নয়ন ও আমাদের সাধারান মানুষের যথাযথ স্বাস্হ্যসেবা $কখনে$ $চায় নি$,$একশ্রেনীর$ মুনাফালোভী ব্যবসায়ী আর কিছু $দুর্নীতিগ্রস্হ্য$ কর্তাব্যক্তি$$ কর্মকর্তা ও কর্মচারী এই খাতের যথাযথ উন্নয়ন ও আমাদের সাধারান মানুষের যথাযথ স্বাস্হ্যসেবা $কখনে$ $চায় নি$$$,True
1888,$আমারা$ $অপনাদের$ মতো বড়লোক না$$ এতো ভালো $খার$ খাবো$$ আরে সকাল ৬ টা থেকে রাত ১০টা কাজ করি আর এর মধো ভালো $খাবর$$$ ওরে বাবা$$,$আমারা$ $অপনাদের$ মতো বড়লোক না$$ এতো ভালো $খার$ $খাবো$ আরে সকাল ৬ টা থেকে রাত ১০টা কাজ করি আর এর মধো ভালো $খাবর$ ওরে বাবা$$,True
1898,আপনি আমার কাছে কি $জন্যে$ এসেছেন$$ তা এখন বলবেন?,আপনি আমার কাছে কি $জন্যে$ এসেছেন তা এখন বলবেন$?$,True
1900,ঠিক তোমার বাবার কাছে আমি আসি$ $নি।,ঠিক তোমার বাবার কাছে আমি $আসি নি$।,True
1906,পীতাম্বর আপনার পুরাতন চণ্ডীমণ্ডপে $বসিয়া$ আপনাকে রাজা $বলিয়া$ $থাকেন$।,পীতাম্বর আপনার পুরাতন চণ্ডীমণ্ডপে $বসিয়া$ আপনাকে রাজা $বলিয়া$ থাকেন।,True
1912,সেই থেকে তিনি আরও কিছু অনুসারী নিয়ে$$ সেখানেই নামাজ আদায় করতেন।,সেই থেকে তিনি আরও কিছু অনুসারী নিয়ে সেখানেই নামাজ আদায় করতেন।,True
1923,আগামী $বিথ$$ তালিখে$ $মুবি$ $লিলিজ$ হবে$$,আগামী $বিথ$ $তালিখে$ $মুবি$ $লিলিজ$ হবে$$,True
1943,এই পিয়ানোগুলো জার্মানিতে রেনার এবং ক্লুজের কিবোর্ড দিয়ে তৈরি করা হয়।,এই পিয়ানোগুলো জার্মানিতে রেনার এবং $ক্লুজের$ কিবোর্ড দিয়ে তৈরি করা হয়।,True
1952,$কি$ হবে যদি খুনি$ $টা $এখনো$ বাইরে থাকে?,$কি$ হবে যদি $খুনি টা$ $এখনো$ বাইরে থাকে?,True
1972,"মতি বলিল, নিও।","মতি $বলিল$, নিও।",True
1992,যার সঙ্গেই কথা বলি$$ আমার মনে হয়$$ সে ঠিকমতো কথা বলছে না।,যার সঙ্গেই কথা বলি আমার মনে হয় সে ঠিকমতো কথা বলছে না।,True
1993,এইগুলো তো আমার হাতের মোয়া$।,এইগুলো তো আমার হাতের মোয়া।,True
2012,ওরা $আত্বীয়করন$ করে তবে ইন্ডিয়ানদের মতো চোখে টিনের চশমা লাগায়ে না।,ওরা $আত্বীয়করন$ করে তবে ইন্ডিয়ানদের মতো চোখে টিনের চশমা $লাগায়ে$ না।,True
2015,১৩৩ বছর আগে শ্রমিকদের অধিকার আদায়ের আন্দোলনে ঘটে যাওয়া $হত্যাকান্ডের$ মধ্য দিয়ে$$ অর্জনের স্মরণে সারা বিশ্বে আনন্দ উৎসবে মে দিবস পালিত হলেও শ্রমিকদের স্বার্থ রক্ষা আজও হয়নি।,১৩৩ বছর আগে শ্রমিকদের অধিকার আদায়ের আন্দোলনে ঘটে যাওয়া $হত্যাকান্ডের$ মধ্য দিয়ে অর্জনের স্মরণে সারা বিশ্বে আনন্দ উৎসবে মে দিবস পালিত হলেও শ্রমিকদের স্বার্থ রক্ষা আজও হয়নি।,True
2026,"আপনি একবার ভেবে দেখুন, এতে কি আপনার অবস্থার$ কোন$ উন্নয়ন হয়েছে গত দশ বছরে।","আপনি একবার ভেবে দেখুন, এতে কি আপনার অবস্থার $কোন$ উন্নয়ন হয়েছে গত দশ বছরে।",True
2035,আমি না থাকলেও আপনারা$$ আমার $সন্তান- সন্ততিরা$$$ আপনাদের উত্তরসূরিরা সোনার বাংলায় থাকবেন।,আমি না থাকলেও আপনারা $$আমার $সন্তান- সন্ততিরা$ $$আপনাদের উত্তরসূরিরা সোনার বাংলায় থাকবেন।,True
2043,$বসরে$ $বইলেন যে আমি বিড়ি খাই না এখন আর$$ $তয়$ তার বিড়ি $দেয়ার$ $এ্যাপ্রোচটা$ ব্যাপক এনজয় করি।,$বসরে$ $বইলেন$ যে আমি বিড়ি খাই না এখন আর$$ $তয়$ তার বিড়ি $দেয়ার$ $এ্যাপ্রোচটা$ ব্যাপক এনজয় করি।,True
2066,কোনো পার্শিয়ান ফিলজফার তার পাগড়ি-চোরের সন্ধান না পেয়ে শেষে গোরস্থানে এসে বসে ছিল।,কোনো পার্শিয়ান $ফিলজফার$ তার পাগড়ি-চোরের সন্ধান না পেয়ে শেষে গোরস্থানে এসে বসে ছিল।,True
2079,যদি কোনো ভুল বক্তব্য প্রদান করে থাকি তাহলে $সুনির্দিস্ট$$$ভাবে তা তুলে $ধরা$ অনুরোধ করা হলো।,যদি কোনো ভুল বক্তব্য প্রদান করে থাকি তাহলে $সুনির্দিস্টভাবে$ তা তুলে $ধরা$ অনুরোধ করা হলো।,True
2084,$এইতো$ চলে আসছি$$ ঠিক আছে$$ ঐ দরজার দিকে এগিয়ে যাও$$ ঠিক আছে?,$এইতো$ চলে $আসছি$ ঠিক আছে$$ ঐ দরজার দিকে এগিয়ে যাও$$ ঠিক আছে?,True
2089,"আমরা আপনার জন্য সব কিছু করতে পারব, আপনার জন্য$$ নিজের জীবন বাজি রাখব।","আমরা আপনার জন্য সব কিছু করতে পারব, আপনার জন্য নিজের জীবন বাজি রাখব।",True
2097,কিন্তু এতে আর্জেন্টিনা কিংবা মেসির প্রতি ভালোবাসা এতটুকু মিইয়ে যায়নি তার।,কিন্তু এতে আর্জেন্টিনা কিংবা মেসির প্রতি ভালোবাসা এতটুকু $মিইয়ে$ যায়নি তার।,True
2103,"আমরা অনুসন্ধানী সাংবাদিকতা করি, রাজনীতি, গভর্ন্যান্স—এসব সিরিয়াস বিষয়ের প্রতি বেশি গুরুত্ব দিই।","আমরা অনুসন্ধানী সাংবাদিকতা করি, রাজনীতি, গভর্ন্যান্স$—$এসব সিরিয়াস বিষয়ের প্রতি বেশি গুরুত্ব দিই।",True
2109,"তিনি বলেন, স্বার্থান্বেষী মহল ফেসবুকে দুটি ভুয়া ভিডিও প্রচার করেছিল।","তিনি বলেন, $স্বার্থান্বেষী$ মহল ফেসবুকে দুটি ভুয়া ভিডিও প্রচার করেছিল।",True
2111,এখান দিয়ে নামানো যাবে না।,এখান $দিয়ে$ নামানো যাবে না।,True
2131,"বোর্ডে $কখনও কখনও$ বিশেষ চিহ্ন ছিল, যার অর্থ আজ অজানা।","বোর্ডে $কখনও$ $কখনও$ বিশেষ চিহ্ন ছিল, যার অর্থ আজ অজানা।",True
2136,"প্রথাগত ফ্লেমেঙ্গোর বিপরীতে, রাম্বাস যে $কোনও$ প্রধান, গৌণ এবং মোডালে বাজানো যেতে পারে।","প্রথাগত ফ্লেমেঙ্গোর বিপরীতে, রাম্বাস $যে কোনও$ প্রধান, গৌণ এবং মোডালে বাজানো যেতে পারে।",True
2143,এই ক্ষতি কাটিয়ে ওঠার জন্য $সে$ দেশের সরকারের প্রয়োজন ছিল ৬৯৩ মিলিয়ন মার্কিন ডলার।,এই ক্ষতি কাটিয়ে ওঠার জন্য সে দেশের সরকারের প্রয়োজন ছিল ৬৯৩ মিলিয়ন মার্কিন ডলার।,True
2175,ভাই আমার ইচ্ছা $ছিল$ ফটোগ্রাফি করা$$,ভাই আমার ইচ্ছা ছিল ফটোগ্রাফি করা$$,True
2190,"""$দ্য$ কনটেমপোরারি রিভিউ""-তে শিল্প সমালোচক হ্যারি কুইল্টারের পর্যালোচনা আরও কঠোর ছিল।","""দ্য কনটেমপোরারি রিভিউ""-তে শিল্প সমালোচক হ্যারি কুইল্টারের পর্যালোচনা আরও কঠোর ছিল।",True
2200,ডাবলিনার্স $($১৫টি ছোট গল্পের সংকলন।,ডাবলিনার্স $($১৫টি $ছোট$ গল্পের সংকলন।,True
2218,ও তোমার পিছু পিছু যাচ্ছিল!,ও তোমার $পিছু$ $পিছু$ যাচ্ছিল$!$,True
2228,এভাবে আর কতক্ষন বেঁচে থাকবেন তারও কোন নিশ্চয়তা নেই।,এভাবে আর কতক্ষন বেঁচে থাকবেন তারও $কোন$ নিশ্চয়তা নেই।,True
2229,"ধ্যাৎ, প্রতিভাবান মেয়ে একখান$।","ধ্যাৎ$,$ প্রতিভাবান মেয়ে $একখান$।",True
2247,কী অদ্ভুত বোকা বোকা লাগছে$।,কী অদ্ভুত বোকা বোকা লাগছে$।$,True
2254,উপস্থিত লক্ষ ছিল $য়ুরোপীয়$ বিশ্ববিদ্যালয়ের উপাধি-সংগ্রহের দিকে।,উপস্থিত $লক্ষ$ ছিল $য়ুরোপীয়$ বিশ্ববিদ্যালয়ের উপাধি-সংগ্রহের দিকে।,True
2274,শুনুন $ভাইজানগিবত$  সম্পর্কে $ধারনা$ $আছেতো$?না থাকলে ইন্টারনেটের $যুগঃ$ $-$ সার্চ করে দুই $চাইর$ লাইন পরে তারপর সমালচনায় $জরাও$$।।।,শুনুন $ভাইজানগিবত$  সম্পর্কে $ধারনা$ $আছেতো$?না থাকলে ইন্টারনেটের $যুগঃ$ $-$ সার্চ করে দুই $চাইর$ লাইন পরে তারপর সমালচনায় $জরাও$।।।,True
2282,$তাহলে$ জোরপূর্বক সিংহাসনে কেন ছিনিয়ে $নিচ্ছ$ না?,তাহলে জোরপূর্বক সিংহাসনে কেন ছিনিয়ে $নিচ্ছ$ না?,True
2289,(যদিও  পরে ঘটনাকে হ্যাকিং এবং গুজব বানিয়ে ছেড়েছিল) যাদের হৃদয়ে আঘাত লেগেছিল তারা যখন রাস্তায় নেমে এলো পুলিশ তাদেরকেই গুলি করলো আর তাদেরকেই আসামী এবং তাদেরকেই আমাদের মিডিয়া এবং নেতারা এমন ভিলেন বানালো যে উৎসের কোন আলোচনাই নেই।,$($যদিও  পরে ঘটনাকে হ্যাকিং এবং গুজব বানিয়ে ছেড়েছিল$)$ যাদের হৃদয়ে আঘাত লেগেছিল তারা যখন রাস্তায় নেমে এলো পুলিশ তাদেরকেই গুলি করলো আর তাদেরকেই আসামী এবং তাদেরকেই আমাদের মিডিয়া এবং নেতারা এমন ভিলেন বানালো যে উৎসের কোন আলোচনাই নেই।,True
2290,নাদিয়া আমার ছোট ফুপুর সাথে কথাটা শেয়ার করে।,নাদিয়া আমার $ছোট$ ফুপুর সাথে কথাটা শেয়ার করে।,True
2304,বুঝা গেল না এতক্ষন $কি$ অসুর বলে লোকটা সজ্ঞানে ছিল$।,বুঝা গেল না এতক্ষন $কি$ অসুর বলে লোকটা সজ্ঞানে ছিল।,True
2315,গোপনে ঘৃত দুগ্ধ$ $ছানা ময়দার নৈবেদ্য স্বর্গে নরকে ভাগাভাগি $হইয়া$ $যাইত$।,গোপনে $ঘৃত$ $দুগ্ধ$ ছানা ময়দার $নৈবেদ্য$ স্বর্গে নরকে ভাগাভাগি $হইয়া$ $যাইত$।,True
2319,"পাশের বাড়িতে আগুন লাগলে যে ছাগল আনন্দে তালি বাজায়, সেই আগুনেই তার বাড়ি পুড়তে সময় লাগেনা।","পাশের বাড়িতে আগুন লাগলে যে ছাগল আনন্দে তালি বাজায়, সেই আগুনেই তার বাড়ি পুড়তে সময় $লাগেনা$।",True
2321,"তোমার মনের ছবিকে তুমি কথা কওয়াতে পার, আমার ছবি বোবা।","তোমার মনের ছবিকে তুমি কথা $কওয়াতে$ পার, আমার ছবি বোবা।",True
2323,এবং তা এমন কোন কঠিন কাজ না শুধু দরকার $ফিক্সড্$ ইনকাম যাতে করে মাসে মাসে লোনের টাকা শোধ দেয়ার পরে ও নিজের সংসার চালানোর টাকা থাকবে।,এবং তা এমন $কোন$ কঠিন কাজ না শুধু দরকার $ফিক্সড্$ ইনকাম যাতে করে মাসে মাসে লোনের টাকা শোধ দেয়ার পরে ও নিজের সংসার চালানোর টাকা থাকবে।,True
2325,"রামমোহন শুষ্কভাবে $কহিল$, যে আজ্ঞা$।","রামমোহন শুষ্কভাবে $কহিল$, $যে$ $আজ্ঞা$।",True
2336,"আমি জানি না, কে প্রথমে এগিয়ে আসবে$।","আমি জানি না, কে প্রথমে এগিয়ে আসবে।",True
2339,"না, এমন তো করার কথা না$।","না, এমন তো করার কথা না।",True
2345,ক্রমাগত দূষণের ফলে প্রতিকূল পারিপার্শ্বিকতায়$$ নানান প্রজাতির বন্য প্রাণীর বিলুপ্তিসাধনের ইঙ্গিতে।,ক্রমাগত দূষণের ফলে প্রতিকূল পারিপার্শ্বিকতায় নানান প্রজাতির বন্য প্রাণীর বিলুপ্তিসাধনের ইঙ্গিতে।,True
2356,ক্যালিফোর্নিয়া যদি ওয়াশিংটনে অথবা$$আলাস্কায় আছাড় খেয়ে পড়ে অথবা$$আইফেল টাওয়ার যদি ভেঙ্গে চুরমার হয়ে$$ঝরাপাতার মত উড়েউড়ে চলে যায় তবে$$অবাক হবারই কথা।,ক্যালিফোর্নিয়া যদি ওয়াশিংটনে $অথবাআলাস্কায়$ আছাড় খেয়ে পড়ে $অথবাআইফেল$ টাওয়ার যদি ভেঙ্গে চুরমার $হয়েঝরাপাতার$ মত উড়েউড়ে চলে যায় $তবেঅবাক$ হবারই কথা।,True
2381,আমার গ্রামের নদ আমার কাছে বন্ধুর $মত$$$ ভাইয়ের $মত$।,আমার গ্রামের নদ আমার কাছে বন্ধুর $মত$ ভাইয়ের $মত$।,True
2399,চিকিৎসকেরা অপরাধ করলে তাঁদের বিরুদ্ধে মামলা করা যাবে না—এটি গোষ্ঠীগত দাম্ভিকতা।,চিকিৎসকেরা অপরাধ করলে তাঁদের বিরুদ্ধে মামলা করা যাবে না$—$এটি গোষ্ঠীগত দাম্ভিকতা।,True
2400,নুরনগরের রাজকন্যা না-হয় নাই খেলেন?,নুরনগরের রাজকন্যা $না-হয়$ নাই খেলেন?,True
2419,সেই সুরাহা করা যায়নি বলেই ঘাতক জেনেছে শিক্ষকবাসে হামলা $তাহলে$ করাই যায়।,সেই সুরাহা করা যায়নি বলেই ঘাতক জেনেছে শিক্ষকবাসে হামলা তাহলে করাই যায়।,True
2421,$□ জাদুঘর:বাংলার$ প্রাচীন রাজধানী সোনারগাঁওয়ে এখন রয়েছে লোকশিল্প জাদুঘর।,$□ $জাদুঘর:বাংলার প্রাচীন রাজধানী সোনারগাঁওয়ে এখন রয়েছে লোকশিল্প জাদুঘর।,True
2447,ম্যাচ শেষ হতেই কোত্থেকে একটা মোবাইল এনে মেসির সঙ্গে মাঠে তুলেছেন সেলফি।,ম্যাচ শেষ হতেই $কোত্থেকে$ একটা মোবাইল এনে মেসির সঙ্গে মাঠে তুলেছেন সেলফি।,True
2460,সুতরাং গুণ বা বিশেষণ-রহিত $বলিয়া$ উভয়ই এক।,সুতরাং গুণ বা $বিশেষণ-রহিত$ $বলিয়া$ উভয়ই এক।,True
2465,জগমোহন$$ শচীশের সঙ্গে এমন $চালে$ চলিতেন যেন সে তাঁর সমবয়সী।,জগমোহন শচীশের সঙ্গে এমন চালে $চলিতেন$ যেন সে তাঁর সমবয়সী।,True
2473,"$নিজে, রাত$ জেগে আল্লাহর সাথে একান্তে ইবাদতে মশগুল হন।","নিজে$,$ রাত জেগে আল্লাহর সাথে একান্তে ইবাদতে মশগুল হন।",True
2483,"আমার $প্রথম দিনের$ বইমেলায় অনেক বন্ধু$$ কবি, সাহিত্যিক, নাট্যকার, প্রকাশক, পাঠক ও ভক্তদের সঙ্গে দেখা হয়েছে।","আমার $প্রথম দিনের$ বইমেলায় অনেক বন্ধু কবি, সাহিত্যিক, নাট্যকার, প্রকাশক, পাঠক ও ভক্তদের সঙ্গে দেখা হয়েছে।",True
2485,"কত $ভালোবাসিত$ সেনদিদি তাকে, তার উপর কত বিশ্বাস ছিল$।","কত $ভালোবাসিত$ সেনদিদি তাকে, তার উপর কত বিশ্বাস ছিল।",True
2506,রমাই কিংবা মন্ত্রীর কানে যেন এ-কথা না উঠে।,রমাই কিংবা মন্ত্রীর কানে যেন $এ-কথা$ না উঠে।,True
2516,তোকে যে বললাম$$ মেসেজ সার্চ করতে$।,তোকে যে বললাম$$ মেসেজ সার্চ করতে।,True
2519,সিলেটের এই $এপিসোড টি$ রিপ্রেজেন্ট করার জন্য অনেক $অনেক অনেক$ ধন্যবাদ এবং কৃতজ্ঞতা জ্ঞাপন করছি$$,সিলেটের এই $এপিসোড টি$ রিপ্রেজেন্ট করার জন্য অনেক অনেক অনেক ধন্যবাদ এবং কৃতজ্ঞতা জ্ঞাপন করছি$$,True
2533,এরপর এ-সংক্রান্ত একটি প্রতিবেদন পরিবেশ অধিদপ্তরের চট্টগ্রাম অঞ্চলের পরিচালকের কাছে জমা দেন।,এরপর $এ-সংক্রান্ত$ একটি প্রতিবেদন পরিবেশ অধিদপ্তরের চট্টগ্রাম অঞ্চলের পরিচালকের কাছে জমা দেন।,True
2534,ফকরুদ্দীনের $বিরানির$$।,ফকরুদ্দীনের $বিরানির$।,True
2539,"আর্ট সিলন বলে যে$$ তিনি ""সিলনে আধুনিক শিল্প আন্দোলনের উন্নয়নে অগ্রদূত ছিলেন""।","আর্ট সিলন বলে যে তিনি $""$সিলনে আধুনিক শিল্প আন্দোলনের উন্নয়নে অগ্রদূত ছিলেন$""$।",True
2547,জানি না$$ কী ছিল$।,জানি না কী ছিল।,True
2557,এ $কাকে$ দেখছি$।,এ $কাকে$ দেখছি$।$,True
2564,"একটা বয়সের পরে মানুষ আর বাড়তে $পারেনা$ সেভাবে, নিয়মিত এক্সারসাইজ করলে একটু $বড়সর,$ শক্তিশালী লাগতে পারে।","একটা বয়সের পরে মানুষ আর বাড়তে $পারেনা$ সেভাবে, নিয়মিত এক্সারসাইজ করলে একটু বড়সর$,$ শক্তিশালী লাগতে পারে।",True
2570,বাসাটা কেমন নীরব হয়ে গেছে$।,বাসাটা কেমন নীরব হয়ে গেছে।,True
2576,সে ভেবেছিল$$ আপনি মিস জেস$$ সে লজ্জিত$$ দেখো$$ আমরা দুজন যমজ বোন।,সে ভেবেছিল আপনি মিস জেস$$ সে লজ্জিত$$ দেখো$$ আমরা দুজন যমজ বোন।,True
2585,$খমা$ করে দেন কেমন আছেন আপু ওকে $বালো$ থাকবেন  সবাই$$,$খমা$ করে দেন কেমন আছেন আপু$$ ওকে $বালো$ থাকবেন  সবাই$$,True
2591,"$কেমনে$ যাবে বলেন, মনেরও একটা জোর লাগে$$ তাই না$।","$কেমনে$ যাবে বলেন, মনেরও একটা জোর লাগে$$ তাই না$।$",True
2599,তুমি ঠিকই $পপকন$ নিয়ে আসছো$।,তুমি ঠিকই $পপকন$ নিয়ে $আসছো$।,True
2601,লাল ও কালো পোশাক পরিহিত দুটি ছোট মেয়ে একটি ছবির জন্য পোজ দিচ্ছে$$,লাল ও কালো পোশাক পরিহিত দুটি $ছোট$ মেয়ে একটি ছবির জন্য পোজ দিচ্ছে$$,True
2608,একটা $জন$ $প্রানী$$$ ও নেই পুরো $হোটেল$।,একটা $জন$ $প্রানী ও$ নেই পুরো $হোটেল$।,True
2609,"চুমু দিতে দিতে বলল,$$বাবা তুই আমাকে কোনোদিন ছেড়ে যাবি না, আমি তোকে খুব আদর করব, খুব ভালোবাসব$$।","চুমু দিতে দিতে বলল,$$বাবা তুই আমাকে কোনোদিন ছেড়ে যাবি না, আমি তোকে খুব আদর করব, খুব ভালোবাসব।$$",True
2613,এই রিক্সা দিয়ে টাকা $কামাই করে$ একটা ছোট ঘর দিবে।,এই রিক্সা দিয়ে টাকা $কামাই$ করে একটা $ছোট$ ঘর দিবে।,True
2615,ভাবছিলাম$$ দূতাবাসে কেউ আমাকে একজন কাজের মেয়ে $যোগাড়$ করে দিতে পারে $কিনা$।,ভাবছিলাম দূতাবাসে কেউ আমাকে একজন কাজের মেয়ে $যোগাড়$ করে দিতে পারে $কিনা$।,True
2616,এমন পাষাণ জীবও জগতে অনেক আছে$।,এমন পাষাণ জীবও জগতে অনেক আছে।,True
2629,"আমি প্রয়োজনে আপনাদের নিরাপত্তা দিব, পুজামণ্ডপ পাহারা দিব, কেউ বিপদগ্রস্থ হলে তাকে সাহায্য করার জন্য ঝাঁপিয়ে পরব... এতে আমার আপত্তি নেই।","আমি প্রয়োজনে আপনাদের নিরাপত্তা দিব, পুজামণ্ডপ পাহারা দিব, কেউ বিপদগ্রস্থ হলে তাকে সাহায্য করার জন্য ঝাঁপিয়ে পরব$... $এতে আমার আপত্তি নেই।",True
2635,এ$$রকম আরেকটা $বদমাশি$ করতে চাই।,এরকম আরেকটা $বদমাশি$ করতে চাই।,True
2668,ওর চোখ অনুসরণ করে বুঝতে পারলাম কি বলতে চাইছে।,ওর চোখ অনুসরণ করে বুঝতে পারলাম $কি$ বলতে চাইছে।,True
2670,জ্যাকি স্টুয়ার্ট ম্যাকলারেন ড্রাইভার রেভসন এবং হালমের কাছ থেকে রেস জিতেছিলেন।,জ্যাকি $স্টুয়ার্ট$ ম্যাকলারেন ড্রাইভার রেভসন এবং হালমের কাছ থেকে রেস জিতেছিলেন।,True
2691,টুকদিরাই কেন্দ্রে জাল ভোট দেওয়ার অভিযোগে$$ ওদুদ নামের একজনকে আটক করা হয়।,টুকদিরাই কেন্দ্রে জাল ভোট দেওয়ার অভিযোগে ওদুদ নামের একজনকে আটক করা হয়।,True
2695,"একজন সন্তানের এই জ্ঞানটা থাকা উচিত, আমি যেন এমন$ কোন$ কাজ না করি যার জন্য আমার বাবা মা অপমানিত হতে পারেন।","একজন সন্তানের এই জ্ঞানটা থাকা উচিত, আমি যেন এমন $কোন$ কাজ না করি যার জন্য আমার বাবা মা অপমানিত হতে পারেন।",True
2711,"""বিক্রম$ $$-$ থাম$...$থাম"", আমি পিছন থেকে $হাক্লাম$।","""$বিক্রম -$ থাম$...$থাম"", আমি পিছন থেকে $হাক্লাম$।",True
2715,সরকার গ্যাসসংযোগ চালু করলেও নতুন বিতরণ লাইন বসানোর ওপর নিষেধাজ্ঞা আরোপ করে রেখেছে।,সরকার $গ্যাসসংযোগ$ চালু করলেও নতুন বিতরণ লাইন বসানোর ওপর নিষেধাজ্ঞা আরোপ করে রেখেছে।,True
2730,কান্নাকাটি$$ $আহাজারিশুনতে$ কি গো পাব$$ $কানেআবেগ$ মায়া থাকবে কি $আরপাথর$ শীতল নিথর প্রাণে$।,কান্নাকাটি $আহাজারিশুনতে$ কি $গো$ $পাব$ $কানেআবেগ$ মায়া থাকবে কি $আরপাথর$ শীতল নিথর প্রাণে।,True
2743,"সে বিনীত ভঙ্গিতে বলল, একটু দেরি $হল$$$ স্যার।","সে বিনীত ভঙ্গিতে বলল, একটু দেরি $হল$ স্যার।",True
2744,"সাফওয়ান জিজ্ঞস করে,$$কেন $এসেছো$?$$","সাফওয়ান জিজ্ঞস করে,$$কেন $এসেছো$?",True
2746,৮) দেশে সব জায়গায় জমির দালাল রা জমি দখল করবে আর হাউজিং এলাকা গড়ে তুলবে।,$৮) $দেশে সব জায়গায় জমির দালাল রা জমি দখল করবে আর হাউজিং এলাকা গড়ে তুলবে।,True
2757,কিন্তু চোখ দুটি উজ্জ্বল$$ চকচক করছে।,কিন্তু চোখ দুটি উজ্জ্বল চকচক করছে।,True
2758,ছেলে অভিমান $করিয়া$ আছে $বলিয়া$ কি মাও অভিমান $করিয়া$ $থাকিবে$$।,ছেলে অভিমান $করিয়া$ আছে $বলিয়া$ কি মাও অভিমান $করিয়া$ $থাকিবে$।,True
2761,"২২ শে জানুয়ারি, ২০১৭ তে ২২ $ঘন্টা$ আগে প্রথমবারের মত এই $পোষ্ট  আমি দেই ফেইসবুকে।","২২ শে জানুয়ারি, ২০১৭ তে ২২ $ঘন্টা$ আগে প্রথমবারের $মত$ এই পোষ্ট  আমি দেই ফেইসবুকে।",True
