sentence,gt
তিনি তত্ত্বনিধি উপাধি লাভ করেন।,তিনি তত্ত্বনিধি উপাধি লাভ করেন।
আর ট্রাকে কী ছিল?,আর ট্রাকে কী ছিল?
তিনি কন্টিনেন্টাল অ্যাসোসিয়েশন এবং সংবিধানের স্বাক্ষরকারী ছিলেন।,তিনি কন্টিনেন্টাল অ্যাসোসিয়েশন এবং সংবিধানের স্বাক্ষরকারী ছিলেন।
ইভান্স এভিনিউতে অবস্থিত একটি শপিং সেন্টারসহ ইস্টলেকের বেশিরভাগ এলাকাই আবাসিক।,ইভান্স এভিনিউতে অবস্থিত একটি শপিং সেন্টারসহ ইস্টলেকের বেশিরভাগ এলাকাই আবাসিক।
অথচ একই ডিজাইনের পাঞ্জাবি চট্টগ্রাম থেকে কেনা হয়েছে আড়াই হাজার টাকায়।,অথচ একই ডিজাইনের পাঞ্জাবি চট্টগ্রাম থেকে কেনা হয়েছে আড়াই হাজার টাকায়।
আকাশের দিকে তাকিয়ে কি কেউ ঠিকানা খোঁজে?,আকাশের দিকে তাকিয়ে কি কেউ ঠিকানা খোঁজে?
"সকল ইউনিট, পশ্চাদপসরণের পথ শত্রুমুক্ত করা হয়েছে।","সকল ইউনিট, পশ্চাদপসরণের পথ শত্রুমুক্ত করা হয়েছে।"
যদিও কলম্বিয়ার বিপক্ষে ম্যাচটিতে লাল কার্ড দেখার পাশাপাশি চার ম্যাচ নিষিদ্ধও হয়েছিলেন।,যদিও কলম্বিয়ার বিপক্ষে ম্যাচটিতে লাল কার্ড দেখার পাশাপাশি চার ম্যাচ নিষিদ্ধও হয়েছিলেন।
ঠিক বাচ্চা মেয়েদের মতো।,ঠিক বাচ্চা মেয়েদের মতো।
জেন একটা নোট লিখে।,জেন একটা নোট লিখে।
আর নোটবই দেখে ঠিকানাটা রিকশাওয়ালাকে ভালো করে বুঝিয়ে দিন।,আর নোটবই দেখে ঠিকানাটা রিকশাওয়ালাকে ভালো করে বুঝিয়ে দিন।
তারা তোমার মাপের একটা মাস্ক নিয়ে আসবে।,তারা তোমার মাপের একটা মাস্ক নিয়ে আসবে।
তুমি বকবক করে সময় নষ্ট করছো।,তুমি বকবক করে সময় নষ্ট করছো।
অভিযোগপত্রে জেসমিন ইসলামের বিরুদ্ধে গ্রেপ্তারি পরোয়ানা জারির আবেদন করেছেন তদন্ত কর্মকর্তা।,অভিযোগপত্রে জেসমিন ইসলামের বিরুদ্ধে গ্রেপ্তারি পরোয়ানা জারির আবেদন করেছেন তদন্ত কর্মকর্তা।
এটি পরিচালনা করেন বাংলাদেশ মহিলা রেফারি অ্যাসোসিয়েশনের কেন্দ্রীয় কমিটির সদস্য রেহেনা খাতুন।,এটি পরিচালনা করেন বাংলাদেশ মহিলা রেফারি অ্যাসোসিয়েশনের কেন্দ্রীয় কমিটির সদস্য রেহেনা খাতুন।
তিনি আইসিএস পদ অলংকৃত করেছিলেন।,তিনি আইসিএস পদ অলংকৃত করেছিলেন।
দর্শকদেরকে প্রলুব্ধ করবে।,দর্শকদেরকে প্রলুব্ধ করবে।
"বায, আমার প্রোগ্রামিং আমাকে তোমার পালানোর ব্যাপারটা স্টার কমান্ডকে জানানোর জন্য বাধ্য করছে।","বায, আমার প্রোগ্রামিং আমাকে তোমার পালানোর ব্যাপারটা স্টার কমান্ডকে জানানোর জন্য বাধ্য করছে।"
অপরাধী চক্র তাদের অপরাধমূলক কর্মকাণ্ড করার জন্য ইন্টারনেটকে গোপনীয় মাধ্যম হিসেবে বেছে নেয়।,অপরাধী চক্র তাদের অপরাধমূলক কর্মকাণ্ড করার জন্য ইন্টারনেটকে গোপনীয় মাধ্যম হিসেবে বেছে নেয়।
"মিথিলি, আমাকে স্যার ডাকবে না।","মিথিলি, আমাকে স্যার ডাকবে না।"
আমার পালাতে হয়েছিল।,আমার পালাতে হয়েছিল।
"বলা হয়ে থাকে যে, তিনি বিতর্কে বিশেষভাবে উগ্র ছিলেন।","বলা হয়ে থাকে যে, তিনি বিতর্কে বিশেষভাবে উগ্র ছিলেন।"
এশিয়ান গেমসে কাল প্রথমবারের মতো টসে জিতলেন বাংলাদেশ অধিনায়ক মাশরাফি বিন মুর্তজা।,এশিয়ান গেমসে কাল প্রথমবারের মতো টসে জিতলেন বাংলাদেশ অধিনায়ক মাশরাফি বিন মুর্তজা।
সম্ভবত ভারতের রাজ্য বিধানসভার ইতিহাসে কোনো নারী রাজনীতিককে এমন অপদস্থ হতে হয়নি।,সম্ভবত ভারতের রাজ্য বিধানসভার ইতিহাসে কোনো নারী রাজনীতিককে এমন অপদস্থ হতে হয়নি।
"ক্যাম, ওনারা হলেন ট্রমা সার্জন।","ক্যাম, ওনারা হলেন ট্রমা সার্জন।"
তিনি একটি ঐতিহ্যগতভাবে ইহুদি পরিবারে লালন-পালন করেছিলেন।,তিনি একটি ঐতিহ্যগতভাবে ইহুদি পরিবারে লালন-পালন করেছিলেন।
ওই গাধাটা কোথায়?,ওই গাধাটা কোথায়?
গ্র্যান্ট ছিলেন চলচ্চিত্রে রেকর্ডকৃত প্রথম ফার্স্ট লেডি।,গ্র্যান্ট ছিলেন চলচ্চিত্রে রেকর্ডকৃত প্রথম ফার্স্ট লেডি।
"এই রেজিমেন্টটি তার ভাই রবার্টের ব্রিগেডের অংশ ছিল, যা ম্যাট পরে নেতৃত্ব দেন।","এই রেজিমেন্টটি তার ভাই রবার্টের ব্রিগেডের অংশ ছিল, যা ম্যাট পরে নেতৃত্ব দেন।"
"ভারত তাদের প্রতিবেশী বাংলাদেশের মুখোমুখি, বর্তমান চ্যাম্পিয়নরা নিরঙ্কুশ ফেবারিট সন্দেহ নেই।","ভারত তাদের প্রতিবেশী বাংলাদেশের মুখোমুখি, বর্তমান চ্যাম্পিয়নরা নিরঙ্কুশ ফেবারিট সন্দেহ নেই।"
এখন বিজেপি সরকার সেই বিল দুটিতে সামান্য পরিবর্তন করে নিয়ে আসে।,এখন বিজেপি সরকার সেই বিল দুটিতে সামান্য পরিবর্তন করে নিয়ে আসে।
তিনি গ্রহণ করেন এবং মুহাম্মদের স্ত্রী হতে রাজি হন।,তিনি গ্রহণ করেন এবং মুহাম্মদের স্ত্রী হতে রাজি হন।
"অস্থির, তাই না?","অস্থির, তাই না?"
তিনি প্রায়ই তার স্তরে সম্পূর্ণ খেলা দিতে পারেন।,তিনি প্রায়ই তার স্তরে সম্পূর্ণ খেলা দিতে পারেন।
তাকে সর্বকালের সবচেয়ে শক্তিশালী যোদ্ধা হিসেবে বিবেচনা করা হতো।,তাকে সর্বকালের সবচেয়ে শক্তিশালী যোদ্ধা হিসেবে বিবেচনা করা হতো।
প্রথম পরিচালক ছিলেন স্যার জেফ্রি কল্ন্ডার।,প্রথম পরিচালক ছিলেন স্যার জেফ্রি কল্ন্ডার।
খুব কাছ থেকে দাঁড়িয়ে লক্ষ করছিলাম আড্ডায় মেতে থাকা তরুণ-তরুণীদের মুখগুলো।,খুব কাছ থেকে দাঁড়িয়ে লক্ষ করছিলাম আড্ডায় মেতে থাকা তরুণ-তরুণীদের মুখগুলো।
"ডিবি দাবি করেছে, মেহেদীর সঙ্গে নয়নের পরিচয় করিয়ে দিয়েছেন ট্রাইব্যুনালের কর্মচারী ফারুক।","ডিবি দাবি করেছে, মেহেদীর সঙ্গে নয়নের পরিচয় করিয়ে দিয়েছেন ট্রাইব্যুনালের কর্মচারী ফারুক।"
রাজবাটির প্রত্যেক ক্ষুদ্র খবরটি পর্যন্ত সে রাখে।,রাজবাটির প্রত্যেক ক্ষুদ্র খবরটি পর্যন্ত সে রাখে।
এটা কাজ করেছে।,এটা কাজ করেছে।
অনুশীলনের জন্য ওজন বেশি এবং কর্মক্ষমতার জন্য হালকা।,অনুশীলনের জন্য ওজন বেশি এবং কর্মক্ষমতার জন্য হালকা।
তিনি তাঁর রাজনৈতিক জীবনের শুরু থেকেই সকল ধর্মাবলম্বীর সঙ্গে কাজ করে আসছেন।,তিনি তাঁর রাজনৈতিক জীবনের শুরু থেকেই সকল ধর্মাবলম্বীর সঙ্গে কাজ করে আসছেন।
"এই যে সন্ধ্যা হয়ে গেছে, কিন্তু কেউ তার কাছে আসছে না।","এই যে সন্ধ্যা হয়ে গেছে, কিন্তু কেউ তার কাছে আসছে না।"
তবে সাধারণভাবে অপরাধ আচরণকে ছয়টি ভাগে ভাগ করা হয়।,তবে সাধারণভাবে অপরাধ আচরণকে ছয়টি ভাগে ভাগ করা হয়।
বয় স্কাউট দল এবং বিশ্ববিদ্যালয় স্কাউট দল থেকে যুব সদস্যদের নির্বাচন করা হয়।,বয় স্কাউট দল এবং বিশ্ববিদ্যালয় স্কাউট দল থেকে যুব সদস্যদের নির্বাচন করা হয়।
সেতুর পাটাতন খুলে রাখায় নিয়ন্ত্রণ হারিয়ে দুটি পণ্যবাহী ট্রাক দুর্ঘটনার কবলে পড়ে।,সেতুর পাটাতন খুলে রাখায় নিয়ন্ত্রণ হারিয়ে দুটি পণ্যবাহী ট্রাক দুর্ঘটনার কবলে পড়ে।
আগে আশঙ্কাজনক হারে সমুদ্রপথে মানব পাচার হলেও এখন আকাশপথকেও ব্যবহার করছেন পাচারকারীরা।,আগে আশঙ্কাজনক হারে সমুদ্রপথে মানব পাচার হলেও এখন আকাশপথকেও ব্যবহার করছেন পাচারকারীরা।
আফসার সাহেব তার দিকে রাগী চোখে তাকাতেই সে ভয় পেয়ে রান্নাঘরে ঢুকে গেল।,আফসার সাহেব তার দিকে রাগী চোখে তাকাতেই সে ভয় পেয়ে রান্নাঘরে ঢুকে গেল।
কার্লটনের ব্যাপারে তো নতুন কিছু বলার নেই।,কার্লটনের ব্যাপারে তো নতুন কিছু বলার নেই।
"জন, প্রশংসা করার জন্য অনেক ধন্যবাদ।","জন, প্রশংসা করার জন্য অনেক ধন্যবাদ।"
ভর্তুকির ক্ষেত্রে ক্যামেরন ব্রিটিশ সার্বভৌমত্বের ব্যাপারে নতুন একটি নীতি গ্রহণ করতে পারবেন।,ভর্তুকির ক্ষেত্রে ক্যামেরন ব্রিটিশ সার্বভৌমত্বের ব্যাপারে নতুন একটি নীতি গ্রহণ করতে পারবেন।
তপ্ত ললাটের উপর শাঁখাপরা কোমল হস্তের স্পর্শ মনে পড়ে।,তপ্ত ললাটের উপর শাঁখাপরা কোমল হস্তের স্পর্শ মনে পড়ে।
অথচ কেউ সেটা বুঝতে চায় না।,অথচ কেউ সেটা বুঝতে চায় না।
রাষ্ট্রের কাছ থেকে অন্যায়ভাবে অর্থনৈতিক সুবিধা নেওয়ার অভিযোগ শুধু রিয়াল মাদ্রিদের বিরুদ্ধেই না।,রাষ্ট্রের কাছ থেকে অন্যায়ভাবে অর্থনৈতিক সুবিধা নেওয়ার অভিযোগ শুধু রিয়াল মাদ্রিদের বিরুদ্ধেই না।
আমরা অন্য কোথাও নতুন ভাবে বসতি গড়ে তুলবো।,আমরা অন্য কোথাও নতুন ভাবে বসতি গড়ে $তুলবো$।
কাসেমিরোর জায়গায় বেলজিয়ামের বিপক্ষে দলে রয়েছেন ম্যানচেস্টার সিটির রক্ষণাত্মক মিডফিল্ডার ফার্নান্দিনহো।,কাসেমিরোর জায়গায় বেলজিয়ামের বিপক্ষে দলে রয়েছেন ম্যানচেস্টার সিটির রক্ষণাত্মক মিডফিল্ডার ফার্নান্দিনহো।
ডাটা এন্ট্রির মাঝপথে আবারো বাধা পড়ল।,ডাটা এন্ট্রির মাঝপথে আবারো বাধা পড়ল।
বাল্টিমোরের ওয়েস্ট মিনিস্টার আর্চার্ড-এ সমাহিত হন তিনি।,বাল্টিমোরের ওয়েস্ট মিনিস্টার আর্চার্ড-এ সমাহিত হন তিনি।
ফলে দেশবাসীর কাছে সরকারের এ ষড়যন্ত্র সুস্পষ্ট হয়ে ওঠে।,ফলে দেশবাসীর কাছে সরকারের এ ষড়যন্ত্র সুস্পষ্ট হয়ে ওঠে।
আমিই না যাই।,আমিই না যাই।
"হ্যাঁ, সে অনেকটা মাতাল ছিল।","হ্যাঁ, সে অনেকটা মাতাল ছিল।"
তাদের মধ্যে একজন আমার মেয়েও হতে পারে।,তাদের মধ্যে একজন আমার মেয়েও হতে পারে।
এবারের মৌসুমে পেশাদার ফুটবলার অ্যাসোসিয়েশনের বর্ষসেরা খেলোয়াড়ের সংক্ষিপ্ত তালিকাতেও আছে তোরের নাম।,এবারের মৌসুমে পেশাদার ফুটবলার অ্যাসোসিয়েশনের বর্ষসেরা খেলোয়াড়ের সংক্ষিপ্ত তালিকাতেও আছে তোরের নাম।
আরারাত আন্দোলনের পরাজয়ের পর তিনি ইরানে চলে যান।,আরারাত আন্দোলনের পরাজয়ের পর তিনি ইরানে চলে যান।
একই দিন আবদুল মাজেদ নামের রিকশাচালক রিকশাসহ পড়ে গুরুতর আহত হন।,একই দিন আবদুল মাজেদ নামের রিকশাচালক রিকশাসহ পড়ে গুরুতর আহত হন।
পোস্তদানার তেলে তুলনামূলকভাবে কম ওলিক এসিড থাকে।,পোস্তদানার তেলে তুলনামূলকভাবে কম ওলিক এসিড থাকে।
তুমি কি মজা করার চেষ্টা করছো?,তুমি কি মজা করার চেষ্টা করছো?
"প্রভাতকালে সূর্যকে কে প্রেরণ করে, যা উদয় হয়ে পৃথিবীকে করে দেয় আলোকময়?","প্রভাতকালে সূর্যকে কে প্রেরণ করে, যা উদয় হয়ে পৃথিবীকে করে দেয় আলোকময়?"
বৃদ্ধির এই হার কোনো হিসাবের মধ্যে ফেলা কঠিন।,বৃদ্ধির এই হার কোনো হিসাবের মধ্যে ফেলা কঠিন।
তিনি প্রথম গাড়ির পেটেন্ট লাভ করেন।,তিনি প্রথম গাড়ির পেটেন্ট লাভ করেন।
বিপর্যয় সৃষ্টিকারী সম্প্রদায়ের বিরুদ্ধে আমাকে সাহায্য কর।,বিপর্যয় সৃষ্টিকারী সম্প্রদায়ের বিরুদ্ধে আমাকে সাহায্য কর।
এসব ক্ষেত্রে বিকল্প পদ্ধতি রয়েছে।,এসব ক্ষেত্রে বিকল্প পদ্ধতি রয়েছে।
প্লেয়ার প্রদর্শনযোগ্য ইলেকট্রনিক প্রোগ্রাম গাইড বিন্যাস সম্পর্কে তথ্য।,প্লেয়ার প্রদর্শনযোগ্য ইলেকট্রনিক প্রোগ্রাম গাইড বিন্যাস সম্পর্কে তথ্য।
ময়নাতদন্ত শেষে গতকাল পরিবারের কাছে লাশ হস্তান্তর এবং পারিবারিকভাবে দাফন করা হয়।,ময়নাতদন্ত শেষে গতকাল পরিবারের কাছে লাশ হস্তান্তর এবং পারিবারিকভাবে দাফন করা হয়।
আপনার প্রস্তাব অনেক বড়ো।,আপনার প্রস্তাব অনেক বড়ো।
"একই সঙ্গে সেসব প্রতিষ্ঠানে যেসব শ্রমিক কাজ করেন, তাঁদেরও ধন্যবাদ প্রাপ্য।","একই সঙ্গে সেসব প্রতিষ্ঠানে যেসব শ্রমিক কাজ করেন, তাঁদেরও ধন্যবাদ প্রাপ্য।"
এ ধরনের আচ্ছাদনের উৎপত্তিতে আদি অকৃত্রিম বাংলার ছনের কুটিরের বাঁকানো চালের প্রভাব পরিস্ফুট।,এ ধরনের আচ্ছাদনের উৎপত্তিতে আদি অকৃত্রিম বাংলার ছনের কুটিরের বাঁকানো চালের প্রভাব পরিস্ফুট।
অধিকাংশ দুর্ঘটনার কারণ ছিল চালকরা রেলগাড়িতে পরিণত হওয়া অথবা লাল বাতি জ্বালানো।,অধিকাংশ দুর্ঘটনার কারণ ছিল চালকরা রেলগাড়িতে পরিণত হওয়া অথবা লাল বাতি জ্বালানো।
"কি, আমার উপর নজর রাখা শুরু করবি?","কি, আমার উপর নজর রাখা শুরু করবি?"
বিশ্বকর্মা রাতারাতি দ্বারকা নির্মাণ করেছিলেন বলে মনে করা হয়।,বিশ্বকর্মা রাতারাতি দ্বারকা নির্মাণ করেছিলেন বলে মনে করা হয়।
শালা আমাদের গুপ্তধনের সন্ধান দিয়েছে।,শালা আমাদের গুপ্তধনের সন্ধান দিয়েছে।
সেখানকার মানুষজন বেশ রক্ষণশীল হলেও আমার বাবা ব্যক্তিস্বাধীনতাকে খুব গুরুত্ব দিতেন।,সেখানকার মানুষজন বেশ রক্ষণশীল হলেও আমার বাবা ব্যক্তিস্বাধীনতাকে খুব গুরুত্ব দিতেন।
ঢাকা বিশ্ববিদ্যালয়ের টিএসসি মিলনায়তনে আয়োজিত কনসার্টে গান করবে একটি নতুন ব্যান্ড।,ঢাকা বিশ্ববিদ্যালয়ের টিএসসি মিলনায়তনে আয়োজিত কনসার্টে গান করবে একটি নতুন ব্যান্ড।
দরাদরি বা দরকষাকষি হচ্ছে বিক্রয়ের সবচেয়ে সাধারণ উপায়।,দরাদরি বা দরকষাকষি হচ্ছে বিক্রয়ের সবচেয়ে সাধারণ উপায়।
রফিকুল ইসলামের বিরুদ্ধে আনা অভিযোগ প্রমাণিত হওয়ায় বিচারক তাঁকে যাবজ্জীবন কারাদণ্ড দেন।,রফিকুল ইসলামের বিরুদ্ধে আনা অভিযোগ প্রমাণিত হওয়ায় বিচারক তাঁকে যাবজ্জীবন কারাদণ্ড দেন।
চার খন্ডে প্রকাশিত হয়েছে।,চার খন্ডে প্রকাশিত হয়েছে।
"এই পার্থক্য জীবনের ইতিহাস, সামাজিক আচরণ বা মস্তিষ্কের আকার দ্বারা ব্যাখ্যা করা যায় না।","এই পার্থক্য জীবনের ইতিহাস, সামাজিক আচরণ বা মস্তিষ্কের আকার দ্বারা ব্যাখ্যা করা যায় না।"
শীতে কাঁপছে তার হাত।,শীতে কাঁপছে তার হাত।
সারা দেশে হালনাগাদ করা খসড়া ভোটার তালিকা গতকাল শনিবার প্রকাশ করেছে নির্বাচন কমিশন।,সারা দেশে হালনাগাদ করা খসড়া ভোটার তালিকা গতকাল শনিবার প্রকাশ করেছে নির্বাচন কমিশন।
রিসেপশন বিনটি সিলিন্ডারের মতো হতে পারে।,রিসেপশন বিনটি সিলিন্ডারের মতো হতে পারে।
আপনি কি আমার মেয়ের ধর্ষকদের খুঁজে পেয়েছেন?,আপনি কি আমার মেয়ের ধর্ষকদের খুঁজে পেয়েছেন?
তিনি প্রতিষ্ঠাতা।,তিনি প্রতিষ্ঠাতা।
"এসব প্রার্থীর মধ্যে স্বশিক্ষিত যেমন আছেন, তেমনি আছেন বিএ, এলএলবি পাশ।","এসব প্রার্থীর মধ্যে স্বশিক্ষিত যেমন আছেন, তেমনি আছেন বিএ, এলএলবি পাশ।"
"যাতায়াতের এমন সময়ে খাওয়াদাওয়ার অনিয়ম তো হয়েছেই, সঙ্গে আছে আবহাওয়ার পরিবর্তন।","যাতায়াতের এমন সময়ে খাওয়াদাওয়ার অনিয়ম তো হয়েছেই, সঙ্গে আছে আবহাওয়ার পরিবর্তন।"
"অথবা অন্তত, এটা এভাবেই পড়ে।","অথবা অন্তত, এটা এভাবেই পড়ে।"
হ্রদটি মূলত ঘন বন দ্বারা বেষ্টিত ঘরবাড়ি দিয়ে গড়ে উঠেছে।,হ্রদটি মূলত ঘন বন দ্বারা বেষ্টিত ঘরবাড়ি দিয়ে গড়ে উঠেছে।
কিস বর্তমানে ডাব্লিউডাব্লিউইর সাথে সংযুক্ত রয়েছেন।,কিস বর্তমানে ডাব্লিউডাব্লিউইর সাথে সংযুক্ত রয়েছেন।
"উইল, ব্যাগগুলো এখানে নিয়ে আয়।","উইল, ব্যাগগুলো এখানে নিয়ে আয়।"
তিনি ব্রিটিশবিরোধী সক্রিয় রাজনীতিতে আগ্রহী হয়ে ওঠেন।,তিনি ব্রিটিশবিরোধী সক্রিয় রাজনীতিতে আগ্রহী হয়ে ওঠেন।
আমার বিরক্ত লাগছে!,আমার বিরক্ত লাগছে!
সেলেস্টিয়ালরা মহাবিশ্বে সবচেয়ে শক্তিশালী এনার্জি জেনারেটর।,সেলেস্টিয়ালরা মহাবিশ্বে সবচেয়ে শক্তিশালী এনার্জি জেনারেটর।
কোর্ট পর্যন্ত নিয়ে যাবে তোকে।,কোর্ট পর্যন্ত নিয়ে যাবে তোকে।
রোববারের ঘটনায় শিক্ষার্থীরা বিদ্যালয়ের ভারপ্রাপ্ত প্রধান শিক্ষক নজরুল ইসলামের কাছে অভিযোগ করে।,রোববারের ঘটনায় শিক্ষার্থীরা বিদ্যালয়ের ভারপ্রাপ্ত প্রধান শিক্ষক নজরুল ইসলামের কাছে অভিযোগ করে।
দোতলায় ক্যানটিনের দরজার সামনে একজন চর্মকার নিয়মিত বসেন জুতা পালিশ করতে।,দোতলায় ক্যানটিনের দরজার সামনে একজন চর্মকার নিয়মিত বসেন জুতা পালিশ করতে।
তিনি এসেছেন মায়ের কাছে।,তিনি এসেছেন মায়ের কাছে।
"কুমু তার জবাব দিয়েছে, সে যাবে না।","কুমু তার জবাব দিয়েছে, সে যাবে না।"
"এমনও হয়েছে, আমি কনসার্টে গাইতে গিয়েছি, আমার সামনেই লোকজন আমাকে খুঁজছেন।","এমনও হয়েছে, আমি কনসার্টে গাইতে গিয়েছি, আমার সামনেই লোকজন আমাকে খুঁজছেন।"
চোখ মেলে দেখুন!,চোখ মেলে দেখুন!
"তামোরি ১৯৪৫ সালে জন্মগ্রহণ করেছিলেন, অর্থাৎ যখন দ্বিতীয় বিশ্বযুদ্ধ শেষ হয়েছিল।","তামোরি ১৯৪৫ সালে জন্মগ্রহণ করেছিলেন, অর্থাৎ যখন দ্বিতীয় বিশ্বযুদ্ধ শেষ হয়েছিল।"
"হ্যাঁ, আসলে আমাকে খুব ভোরে উঠতে হবে।","হ্যাঁ, আসলে আমাকে খুব ভোরে উঠতে হবে।"
স্পষ্ট করে কথা বলুন।,স্পষ্ট করে কথা বলুন।
কিন্তু কিছু জীবাশ্ম প্রজাতি আছে যা আধুনিক গণের অন্তর্ভুক্ত নয়।,কিন্তু কিছু জীবাশ্ম প্রজাতি আছে যা আধুনিক গণের অন্তর্ভুক্ত নয়।
মিচেল বিস্ফোরণের শব্দ শুনতে পান এবং মৃতদেহগুলো খুঁজে পান।,মিচেল বিস্ফোরণের শব্দ শুনতে পান এবং মৃতদেহগুলো খুঁজে পান।
স্ট্রাডলিংয়ের শেষ চারটি চলচ্চিত্রে অভিনয় করেন বারবারা স্ট্রিস্যান্ড।,স্ট্রাডলিংয়ের শেষ চারটি চলচ্চিত্রে অভিনয় করেন বারবারা স্ট্রিস্যান্ড।
একটা নুড়ি পাথরের রেলপথে নির্মাণ কাজ চলছে।,একটা নুড়ি পাথরের রেলপথে নির্মাণ কাজ চলছে।
দক্ষিণ ফায়েট টাউনশিপ স্কুল জেলা সম্প্রদায়কে শিক্ষা সেবা প্রদান করে থাকে।,দক্ষিণ ফায়েট টাউনশিপ স্কুল জেলা সম্প্রদায়কে শিক্ষা সেবা প্রদান করে থাকে।
প্রবল স্রোত বয়ে আসে।,প্রবল স্রোত বয়ে আসে।
তিনি কলকাতা বিশ্ববিদ্যালয়ে আন্তর্জাতিক আইনের অবৈতনিক প্রভাষক হিসেবে শিক্ষকতা করেছেন।,তিনি কলকাতা বিশ্ববিদ্যালয়ে আন্তর্জাতিক আইনের অবৈতনিক প্রভাষক হিসেবে শিক্ষকতা করেছেন।
চুরির অভিযোগে আদালতের কাঠগড়াতেও দাঁড়াতে হতে পারে আর্জেন্টাইন কিংবদন্তির সাবেক প্রেমিকাকে।,চুরির অভিযোগে আদালতের কাঠগড়াতেও দাঁড়াতে হতে পারে আর্জেন্টাইন কিংবদন্তির সাবেক প্রেমিকাকে।
"ভাগ্যে মরণ লেখা থাকলে, তাদেরকে মরতেই হবে।","ভাগ্যে মরণ লেখা থাকলে, তাদেরকে মরতেই হবে।"
এর রাজধানী শহরের নাম হচ্ছে আয়াকুচো।,এর রাজধানী শহরের নাম হচ্ছে আয়াকুচো।
ট্রিলজির প্রথম গেমটা তোমাদের অনেকের মতো আমারও ভালো লাগেনি।,ট্রিলজির প্রথম গেমটা তোমাদের অনেকের মতো আমারও ভালো লাগেনি।
তাই জঙ্গিবাদ প্রতিরোধ করতে সামাজিক ন্যায়বিচার প্রতিষ্ঠায় সরকারকে সচেষ্ট হতে হবে।,তাই জঙ্গিবাদ প্রতিরোধ করতে সামাজিক ন্যায়বিচার প্রতিষ্ঠায় সরকারকে সচেষ্ট হতে হবে।
আমাদের কাছে পর্বতপ্রমাণ ডেটা থাকলেও সেগুলো নীরিক্ষার জন্য কম্পিউটারগুলোর যথেষ্ট সক্ষমতা নেই!,আমাদের কাছে পর্বতপ্রমাণ ডেটা থাকলেও সেগুলো নীরিক্ষার জন্য কম্পিউটারগুলোর যথেষ্ট সক্ষমতা নেই!
তাঁর বিরুদ্ধে জারি হওয়া পরোয়ানা অনুযায়ী তিনি ভদ্রলোকের মতো আদালতে আত্মসমর্পণ করবেন।,তাঁর বিরুদ্ধে জারি হওয়া পরোয়ানা অনুযায়ী তিনি ভদ্রলোকের মতো আদালতে আত্মসমর্পণ করবেন।
"না, এখানেই হয়েছে।","না, এখানেই হয়েছে।"
কী দেখে বুঝলে?,কী দেখে বুঝলে?
"বিক্ষোভকারী ছাত্রদের দাবি, পরীক্ষা স্থগিত রেখে তাঁদের ফিরিয়ে নিয়ে যাওয়া হোক।","বিক্ষোভকারী ছাত্রদের দাবি, পরীক্ষা স্থগিত রেখে তাঁদের ফিরিয়ে নিয়ে যাওয়া হোক।"
অনেকবার অনুরোধ করার পরও পুলিশের সদস্যরা কক্ষের বাইরের ছবি তুলতে দেননি।,অনেকবার অনুরোধ করার পরও পুলিশের সদস্যরা কক্ষের বাইরের ছবি তুলতে দেননি।
তিনি লন্ডনের রয়্যাল একাডেমি অব ড্রামাটিক আর্ট থেকে বৃত্তি লাভ করেন।,তিনি লন্ডনের রয়্যাল একাডেমি অব ড্রামাটিক আর্ট থেকে বৃত্তি লাভ করেন।
এরপর খেজুর ভর্তি একটি থলে তার সম্মুখে রেখে দেয়।,এরপর খেজুর ভর্তি একটি থলে তার সম্মুখে রেখে দেয়।
"মদ খাবি খা, অন্যদের কেন জ্বালাতন করবি?","মদ খাবি খা, অন্যদের কেন জ্বালাতন করবি?"
ভালো দেখে একটা ছেলেকে বিয়ে করা।,ভালো দেখে একটা ছেলেকে বিয়ে করা।
পাবলিক আর্ট শহরের একটি বিবর্তিত আকর্ষণ।,পাবলিক আর্ট শহরের একটি বিবর্তিত আকর্ষণ।
তাই আমি আমার ও আমার সন্তানদের নিরাপত্তা চেয়েছি।,তাই আমি আমার ও আমার সন্তানদের নিরাপত্তা চেয়েছি।
মেহেদি হাসানও অক্টোবর মাসে সিরিয়ার কোবানি শহরে লড়াইয়ের সময় মারা যান।,মেহেদি হাসানও অক্টোবর মাসে সিরিয়ার কোবানি শহরে লড়াইয়ের সময় মারা যান।
"ওকে, চিল!","ওকে, চিল!"
আমি সময়মতো জানিয়েছিলাম।,আমি সময়মতো জানিয়েছিলাম।
ইরফানের সাথে আপনার সম্পর্ক কী?,ইরফানের সাথে আপনার সম্পর্ক কী?
ইড়া ও পিঙ্গলাকে নিয়ন্ত্রিত ও ছন্দোবদ্ধ করাই প্রাণায়ামের মহান উদ্দেশ্য।,ইড়া ও পিঙ্গলাকে নিয়ন্ত্রিত ও ছন্দোবদ্ধ করাই প্রাণায়ামের মহান উদ্দেশ্য।
যার দৈর্ঘ্য আড়াই হাত এবং প্রস্থ দুই হাত এবং উচ্চতা ছিল দেড় হাত।,যার দৈর্ঘ্য আড়াই হাত এবং প্রস্থ দুই হাত এবং উচ্চতা ছিল দেড় হাত।
কিন্তু মিস আঞ্জলিকে এতটা সুন্দর লাগে না।,কিন্তু মিস আঞ্জলিকে এতটা সুন্দর লাগে না।
আমায় সাহায্য করো।,আমায় সাহায্য করো।
