correct_sentence,gt,sentence,correction
"আবদুল মান্নান অভিযোগ করেন , মনিরুল নিয়মিত হেরোইন সেবন করেন এবং হেরোইন কেনার টাকা না দিলে তাঁদের ওপর অত্যাচার করেন।","আবদুল মান্নান অভিযোগ করেন , মনিরুল নিয়মিত হেরোইন সেবন করেন এবং হেরোইন কেনার টাকা $ণা$ দিলে তাঁদের ওপর অত্যাচার করেন।","আবদুল মান্নান অভিযোগ করেন , মনিরুল নিয়মিত হেরোইন সেবন করেন এবং হেরোইন কেনার টাকা ণা দিলে তাঁদের ওপর অত্যাচার করেন।","[((84, 85), 'না')]"
এ কার্যালয় থেকেই মূলত সায়েদাবাদ ও গুলিস্তানের শ্রমিক সংগঠনের নামে পরিবহন চাঁদাবাজি নিয়ন্ত্রণ করা হয়।,এ কার্যালয় থেকেই মূলত সায়েদাবাদ ও গুলিস্তানের শ্রমিক সংগঠনের নামে পরিবহন চাঁদাবাজি নিয়ন্ত্রণ করা হয়।,এ কার্যালয় থেকেই মূলত সায়েদাবাদ ও গুলিস্তানের শ্রমিক সংগঠনের নামে পরিবহন চাঁদাবাজি নিয়ন্ত্রণ করা হয়।,[]
সে অনুযায়ী ওয়াসা নগরের লালখান বাজারের মতিঝর্ণা এলাকায় শতাধিক সংযোগ বিচ্ছিন্ন করা হয়েছিল।,সে অনুযায়ী ওয়াসা নগরের লালখান বাজারের মতিঝর্ণা এলাকায় শতাধিক সংযোগ বিচ্ছিন্ন করা হয়েছিল।,সে অনুযায়ী ওয়াসা নগরের লালখান বাজারের মতিঝর্ণা এলাকায় শতাধিক সংযোগ বিচ্ছিন্ন করা হয়েছিল।,[]
এ জন্য জ্বালানি তেল সরবরাহে যাতে বিঘ্ন না ঘটে সে জন্য বিপিসিকে অনুরোধ জানানো হয়।,এ জন্য জ্বালানি তেল সরবরাহে যাতে বিঘ্ন $ণা$ ঘটে সে জন্য বিপিসিকে অনুরোধ জানানো হয়।,এ জন্য জ্বালানি তেল সরবরাহে যাতে বিঘ্ন ণা ঘটে সে জন্য বিপিসিকে অনুরোধ জানানো হয়।,"[((39, 40), 'না')]"
দিনাজপুর মেডিকেল কলেজ হাসপাতালে ভর্তি করা হয় সাঈদকে।,দিনাজপুর মেডিকেল কলেজ হাসপাতালে ভর্তি করা হয় সাঈদকে।,দিনাজপুর মেডিকেল কলেজ হাসপাতালে ভর্তি করা হয় সাঈদকে।,[]
অন্য কোনো সময় হলে বাংলাদেশ দল জুমার নামাজ স্থানীয় কোনো মসজিদে গিয়ে পড়ত।,অন্য কোনো সময় হলে বাংলাদেশ দল জুমার নামাজ স্থানীয় কোনো মসজিদে গিয়ে পড়ত।,অন্য কোনো সময় হলে বাংলাদেশ দল জুমার নামাজ স্থানীয় কোনো মসজিদে গিয়ে পড়ত।,[]
"শেন ওয়ার্নকেই দেখুন , ফেসবুকে একটা ভিডিও পোস্ট করে এখন তাসমানিয়ান পুলিশের তদন্তের মুখে পড়েছেন অস্ট্রেলিয়ান স্পিন কিংবদন্তি ও তাঁর সঙ্গীরা।","শেন ওয়ার্নকেই দেখুন , ফেসবুকে একটা ভিডিও $পোস্ত$ করে এখন তাসমানিয়ান পুলিশের তদন্তের মুখে পড়েছেন অস্ট্রেলিয়ান স্পিন কিংবদন্তি ও তাঁর সঙ্গীরা।","শেন ওয়ার্নকেই দেখুন , ফেসবুকে একটা ভিডিও পোস্ত করে এখন তাসমানিয়ান পুলিশের তদন্তের মুখে পড়েছেন অস্ট্রেলিয়ান স্পিন কিংবদন্তি ও তাঁর সঙ্গীরা।","[((41, 45), 'পোস্ট')]"
একটি রিট আবেদনের প্রাথমিক শুনানি শেষে বিচারপতি জুবায়ের রহমান চৌধুরী ও বিচারপতি মো . খসরুজ্জামান সমন্বয়ে গঠিত হাইকোর্ট বেঞ্চ আজ সোমবার এ আদেশ দেন।,একটি রিট আবেদনের প্রাথমিক শুনানি শেষে বিচারপতি জুবায়ের রহমান চৌধুরী ও বিচারপতি মো . খসরুজ্জামান সমন্বয়ে গঠিত হাইকোর্ট বেঞ্চ আজ সোমবার এ আদেশ দেন।,একটি রিট আবেদনের প্রাথমিক শুনানি শেষে বিচারপতি জুবায়ের রহমান চৌধুরী ও বিচারপতি মো . খসরুজ্জামান সমন্বয়ে গঠিত হাইকোর্ট বেঞ্চ আজ সোমবার এ আদেশ দেন।,[]
১০ জুন নির্বাচন কমিশনের ঘোষিত তফসিলের বৈধতা চ্যালেঞ্জ করে চিলমারী উপজেলার রমনা ইউনিয়নের বাসিন্দা এস এম মোস্তাফিজুর রহমান ১৮ জুলাই রিটটি করেন।,১০ জুন নির্বাচন কমিশনের ঘোষিত তফসিলের বৈধতা চ্যালেঞ্জ করে চিলমারী উপজেলার রমনা ইউনিয়নের বাসিন্দা এস এম মোস্তাফিজুর রহমান ১৮ জুলাই রিটটি করেন।,১০ জুন নির্বাচন কমিশনের ঘোষিত তফসিলের বৈধতা চ্যালেঞ্জ করে চিলমারী উপজেলার রমনা ইউনিয়নের বাসিন্দা এস এম মোস্তাফিজুর রহমান ১৮ জুলাই রিটটি করেন।,[]
তিনি এক্সিম ব্যাংকের ব্যবস্থাপনা পরিচালক ড . মোহাম্মদ হায়দার আলী মিয়ার বাবা।,তিনি এক্সিম ব্যাংকের ব্যবস্থাপনা পরিচালক ড . মোহাম্মদ হায়দার আলী মিয়ার বাবা।,তিনি এক্সিম ব্যাংকের ব্যবস্থাপনা পরিচালক ড . মোহাম্মদ হায়দার আলী মিয়ার বাবা।,[]
"মোহাম্মদ শফিউল আলম বলেন , গুলশান ও শোলাকিয়ায় হামলার পরিপ্রেক্ষিতে জেলা প্রশাসকদের ইতিমধ্যে বিশেষভাবে সতর্ক থাকতে বলা হয়েছে।","মোহাম্মদ শফিউল আলম বলেন , গুলশান ও শোলাকিয়ায় হামলার পরিপ্রেক্ষিতে জেলা প্রশাসকদের ইতিমধ্যে বিশেষভাবে সতর্ক থাকতে বলা হয়েছে।","মোহাম্মদ শফিউল আলম বলেন , গুলশান ও শোলাকিয়ায় হামলার পরিপ্রেক্ষিতে জেলা প্রশাসকদের ইতিমধ্যে বিশেষভাবে সতর্ক থাকতে বলা হয়েছে।",[]
এ উৎসব উপলক্ষে ওঁরাও গ্রামগুলোর বাড়ি বাড়ি পিঠাপুলি তৈরি হয়।,এ উৎসব উপলক্ষে ওঁরাও গ্রামগুলোর বাড়ি বাড়ি পিঠাপুলি তৈরি হয়।,এ উৎসব উপলক্ষে ওঁরাও গ্রামগুলোর বাড়ি বাড়ি পিঠাপুলি তৈরি হয়।,[]
যোগ্যতা : উচ্চমাধ্যমিক পরীক্ষায় দ্বিতীয় বিভাগ এবং কম্পিউটারে ( এমএস ওয়ার্ড ) পারদর্শী হতে হবে।,যোগ্যতা : উচ্চমাধ্যমিক পরীক্ষায় দ্বিতীয় বিভাগ এবং কম্পিউটারে ( এমএস $ওয়ার্দ$ ) পারদর্শী হতে হবে।,যোগ্যতা : উচ্চমাধ্যমিক পরীক্ষায় দ্বিতীয় বিভাগ এবং কম্পিউটারে ( এমএস ওয়ার্দ ) পারদর্শী হতে হবে।,"[((69, 74), 'ওয়ার্ড')]"
এরই ধারাবাহিকতায় ৫ ডিসেম্বর জাতিসংঘ মানবাধিকার কাউন্সিলে রোহিঙ্গা নির্যাতন নিয়ে বিশেষ অধিবেশনে মিয়ানমারের বিরুদ্ধে প্রস্তাব পাস হতে যাচ্ছে।,এরই ধারাবাহিকতায় ৫ $দীসেম্বর$ জাতিসংঘ মানবাধিকার কাউন্সিলে রোহিঙ্গা নির্যাতন নিয়ে বিশেষ অধিবেশনে মিয়ানমারের বিরুদ্ধে প্রস্তাব পাস হতে যাচ্ছে।,এরই ধারাবাহিকতায় ৫ দীসেম্বর জাতিসংঘ মানবাধিকার কাউন্সিলে রোহিঙ্গা নির্যাতন নিয়ে বিশেষ অধিবেশনে মিয়ানমারের বিরুদ্ধে প্রস্তাব পাস হতে যাচ্ছে।,"[((19, 26), 'ডিসেম্বর')]"
গত নভেম্বরে মিয়ানমার সফরকালে প্রেসিডেন্ট বারাক ওবামা প্রথমবারের মতো নির্দিষ্টভাবে প্রেসিডেন্ট থেইন সেইনের সঙ্গে আলোচনায় রোহিঙ্গাদের দুঃখ-কষ্টের কথা উল্লেখ করেন।,গত নভেম্বরে মিয়ানমার সফরকালে $প্রেসীদেন্ট$ বারাক ওবামা প্রথমবারের মতো নির্দিষ্টভাবে প্রেসিডেন্ট থেইন সেইনের সঙ্গে আলোচনায় রোহিঙ্গাদের দুঃখ-কষ্টের কথা উল্লেখ করেন।,গত নভেম্বরে মিয়ানমার সফরকালে প্রেসীদেন্ট বারাক ওবামা প্রথমবারের মতো নির্দিষ্টভাবে প্রেসিডেন্ট থেইন সেইনের সঙ্গে আলোচনায় রোহিঙ্গাদের দুঃখ-কষ্টের কথা উল্লেখ করেন।,"[((29, 39), 'প্রেসিডেন্ট')]"
তার শরীরে পানি ছিটানো ও স্যালাইন প্রয়োগ করা হয়।,তার শরীরে পানি ছিটানো ও স্যালাইন প্রয়োগ করা হয়।,তার শরীরে পানি ছিটানো ও স্যালাইন প্রয়োগ করা হয়।,[]
চাল ছাড়াও চিনিসহ অন্যান্য কৃষিপণ্য ও মৎস্য উৎপাদনে অগ্রণী এ অন্ধ্র প্রদেশ।,চাল ছাড়াও চিনিসহ অন্যান্য কৃষিপণ্য ও মৎস্য উৎপাদনে অগ্রণী এ অন্ধ্র প্রদেশ।,চাল ছাড়াও চিনিসহ অন্যান্য কৃষিপণ্য ও মৎস্য উৎপাদনে অগ্রণী এ অন্ধ্র প্রদেশ।,[]
"গানের আসর , সম্মাননা ও পুরস্কার প্রদানের মধ্য দিয়ে গতকাল শনিবার শেষ হলো রবীন্দ্রসংগীত শিল্পী সংস্থা আয়োজিত পাঁচ দিনের জাতীয় রবীন্দ্রসংগীত উৎসব।","গানের আসর , সম্মাননা ও পুরস্কার প্রদানের মধ্য দিয়ে গতকাল শনিবার শেষ হলো রবীন্দ্রসংগীত শিল্পী সংস্থা আয়োজিত পাঁচ দিনের জাতীয় রবীন্দ্রসংগীত উৎসব।","গানের আসর , সম্মাননা ও পুরস্কার প্রদানের মধ্য দিয়ে গতকাল শনিবার শেষ হলো রবীন্দ্রসংগীত শিল্পী সংস্থা আয়োজিত পাঁচ দিনের জাতীয় রবীন্দ্রসংগীত উৎসব।",[]
"শিল্পকলা একাডেমীর মহাপরিচালক আরও বলেন , আকাশ-সংস্কৃতির আগ্রাসন ও মৌলবাদীদের জঙ্গি তৎপরতা থেকে মুক্তি পেতে লোকজ সংস্কৃতির বিকাশ ও প্রসারে শিল্পীসমাজকে অতীতের মতো সাহসী ভূমিকা নিয়ে এগিয়ে আসতে হবে।","শিল্পকলা একাডেমীর মহাপরিচালক আরও বলেন , আকাশ-সংস্কৃতির আগ্রাসন ও মৌলবাদীদের জঙ্গি তৎপরতা থেকে মুক্তি পেতে লোকজ সংস্কৃতির বিকাশ ও প্রসারে শিল্পীসমাজকে অতীতের মতো সাহসী ভূমিকা নিয়ে এগিয়ে আসতে হবে।","শিল্পকলা একাডেমীর মহাপরিচালক আরও বলেন , আকাশ-সংস্কৃতির আগ্রাসন ও মৌলবাদীদের জঙ্গি তৎপরতা থেকে মুক্তি পেতে লোকজ সংস্কৃতির বিকাশ ও প্রসারে শিল্পীসমাজকে অতীতের মতো সাহসী ভূমিকা নিয়ে এগিয়ে আসতে হবে।",[]
"প্রথম সিরিজ জয়ের তারিখটা ছিল ১৮ জানুয়ারি , ২০০৫—সময়ের ডানায় চড়ে সেটির এক যুগ পূর্তি আজ।","প্রথম সিরিজ জয়ের তারিখটা ছিল ১৮ জানুয়ারি , ২০০৫—সময়ের ডানায় চড়ে সেটির এক যুগ পূর্তি আজ।","প্রথম সিরিজ জয়ের তারিখটা ছিল ১৮ জানুয়ারি , ২০০৫—সময়ের ডানায় চড়ে সেটির এক যুগ পূর্তি আজ।",[]
আগামী অর্থবছরের বাজেটে পোশাক রপ্তানির এফওবি ( ফ্রেইড অন বোর্ড ) মূল্যের ওপর দেড় শতাংশ হারে উৎসে কর কর্তনের প্রস্তাব করা হয়।,আগামী অর্থবছরের বাজেটে পোশাক রপ্তানির এফওবি ( ফ্রেইড অন $বোর্দ$ ) মূল্যের ওপর দেড় শতাংশ হারে উৎসে কর কর্তনের প্রস্তাব করা হয়।,আগামী অর্থবছরের বাজেটে পোশাক রপ্তানির এফওবি ( ফ্রেইড অন বোর্দ ) মূল্যের ওপর দেড় শতাংশ হারে উৎসে কর কর্তনের প্রস্তাব করা হয়।,"[((56, 60), 'বোর্ড')]"
ভারতের প্রত্যাশা বাংলাদেশের গণতান্ত্রিক পরিবেশ যেন বজায় থাকে।,ভারতের প্রত্যাশা বাংলাদেশের গণতান্ত্রিক পরিবেশ $জেন$ বজায় থাকে।,ভারতের প্রত্যাশা বাংলাদেশের গণতান্ত্রিক পরিবেশ জেন বজায় থাকে।,"[((47, 49), 'যেন')]"
দলটির ক্যামেরাম্যান তুলছিলেন সেই ছবি।,দলটির ক্যামেরাম্যান তুলছিলেন $সেঈ$ ছবি।,দলটির ক্যামেরাম্যান তুলছিলেন সেঈ ছবি।,"[((29, 31), 'সেই')]"
টেলিভিশন শাখায় এ বছর এগিয়ে আছে দ্য কমিনস্কি মেথড ও দ্য অ্যাসাসিনেশন অব গিয়ান্নি ভারসাচি : আমেরিকান ক্রাইম স্টোরি নামের টিভি প্রযোজনা দুটি।,টেলিভিশন শাখায় এ বছর এগিয়ে আছে দ্য কমিনস্কি $মেতড$ ও দ্য অ্যাসাসিনেশন অব গিয়ান্নি ভারসাচি : আমেরিকান ক্রাইম $স্তোরী$ নামের টিভি প্রযোজনা দুটি।,টেলিভিশন শাখায় এ বছর এগিয়ে আছে দ্য কমিনস্কি মেতড ও দ্য অ্যাসাসিনেশন অব গিয়ান্নি ভারসাচি : আমেরিকান ক্রাইম স্তোরী নামের টিভি প্রযোজনা দুটি।,"[((44, 47), 'মেথড'), ((106, 111), 'স্টোরি')]"
সন্ধ্যার পরে তাঁদের কিছুই করার থাকে না।,সন্ধ্যার পরে তাঁদের কিছুই করার থাকে না।,সন্ধ্যার পরে তাঁদের কিছুই করার থাকে না।,[]
"সেটা যে কত আনন্দের , বোঝাতে পারব না।","সেটা $জে$ কত আনন্দের , বোঝাতে পারব $ণা$।","সেটা জে কত আনন্দের , বোঝাতে পারব ণা।","[((5, 6), 'যে'), ((33, 34), 'না')]"
"তিনি এক ছেলে , পাঁচ মেয়েসহ অনেক আত্মীয়স্বজন ও শুভাকাঙ্ক্ষী রেখে গেছেন।","তিনি এক ছেলে , পাঁচ মেয়েসহ অনেক আত্মীয়স্বজন ও শুভাকাঙ্ক্ষী রেখে গেছেন।","তিনি এক ছেলে , পাঁচ মেয়েসহ অনেক আত্মীয়স্বজন ও শুভাকাঙ্ক্ষী রেখে গেছেন।",[]
"দেশটির পররাষ্ট্রমন্ত্রী মাইক পম্পেও গত রোববার বলেছেন , ইরানের সঙ্গে যুদ্ধ চায় না যুক্তরাষ্ট্র।","দেশটির পররাষ্ট্রমন্ত্রী মাইক পম্পেও গত রোববার বলেছেন , ইরানের সঙ্গে যুদ্ধ চায় $ণা$ যুক্তরাষ্ট্র।","দেশটির পররাষ্ট্রমন্ত্রী মাইক পম্পেও গত রোববার বলেছেন , ইরানের সঙ্গে যুদ্ধ চায় ণা যুক্তরাষ্ট্র।","[((78, 79), 'না')]"
ঘূর্ণিঝড়ের সম্ভাব্য আঘাতস্থল উপকূলীয় সব জেলায় মোট প্রায় তিন হাজার আশ্রয়কেন্দ্র প্রস্তুত রাখা হয়।,ঘূর্ণিঝড়ের সম্ভাব্য আঘাতস্থল উপকূলীয় সব জেলায় মোট প্রায় তিন হাজার আশ্রয়কেন্দ্র প্রস্তুত রাখা হয়।,ঘূর্ণিঝড়ের সম্ভাব্য আঘাতস্থল উপকূলীয় সব জেলায় মোট প্রায় তিন হাজার আশ্রয়কেন্দ্র প্রস্তুত রাখা হয়।,[]
বেক্সিমকো ফার্মাসিউটিক্যালস লিমিটেড ১৫ শতাংশ ক্যাশ ডিভিডেন্ড বা নগদ লভ্যাংশ দিয়েছে।,বেক্সিমকো ফার্মাসিউটিক্যালস লিমিটেড ১৫ শতাংশ $ক্জাস$ ডিভিডেন্ড বা নগদ লভ্যাংশ দিয়েছে।,বেক্সিমকো ফার্মাসিউটিক্যালস লিমিটেড ১৫ শতাংশ ক্জাস ডিভিডেন্ড বা নগদ লভ্যাংশ দিয়েছে।,"[((45, 49), 'ক্যাশ')]"
শিক্ষা মন্ত্রণালয় এবং মাধ্যমিক ও উচ্চশিক্ষা অধিদপ্তরের দুজন দায়িত্বশীল কর্মকর্তা গতকাল সোমবার প্রথম আলোকে এ তথ্য জানান।,শিক্ষা মন্ত্রণালয় এবং মাধ্যমিক ও উচ্চশিক্ষা অধিদপ্তরের দুজন দায়িত্বশীল কর্মকর্তা গতকাল সোমবার প্রথম আলোকে এ তথ্য জানান।,শিক্ষা মন্ত্রণালয় এবং মাধ্যমিক ও উচ্চশিক্ষা অধিদপ্তরের দুজন দায়িত্বশীল কর্মকর্তা গতকাল সোমবার প্রথম আলোকে এ তথ্য জানান।,[]
"সিন্ডিকেটের সদস্য নুরুল হক জানান , গতকাল বুধবার রাতে সিন্ডিকেট সভায় ডিসিপ্লিনারি বোর্ডের সুপারিশ কার্যকর হয়।","সিন্ডিকেটের সদস্য নুরুল হক জানান , গতকাল বুধবার রাতে সিন্ডিকেট সভায় ডিসিপ্লিনারি বোর্ডের সুপারিশ কার্যকর হয়।","সিন্ডিকেটের সদস্য নুরুল হক জানান , গতকাল বুধবার রাতে সিন্ডিকেট সভায় ডিসিপ্লিনারি বোর্ডের সুপারিশ কার্যকর হয়।",[]
ঢাকায় তিন দিনের পাটজাত পণ্যের মেলা করতে যাচ্ছে বস্ত্র ও পাট মন্ত্রণালয়।,ঢাকায় তিন দিনের পাটজাত পণ্যের মেলা করতে যাচ্ছে বস্ত্র ও পাট মন্ত্রণালয়।,ঢাকায় তিন দিনের পাটজাত পণ্যের মেলা করতে যাচ্ছে বস্ত্র ও পাট মন্ত্রণালয়।,[]
"এই ভারসাম্য এভাবে রক্ষা করা যাবে যে এমন একটা আইন করা হলো , যাতে ন্যূনতম শাস্তি সাত বছর কারাদণ্ড , যেখানে অভিযুক্তের জামিন পাওয়ার বিধান থাকবে না , কোনো ধরনের সুরক্ষা ব্যতিরেকেই যেকোনো সময় অভিযুক্তকে গ্রেপ্তার করা যাবে ? তো ২০০৬ সালের আইনটিতে তিন-চার ধরনের সংশোধনী এনে এমন একটা পরিস্থিতি তৈরি করা হলো , যা খুবই বিপজ্জনক।","এই ভারসাম্য এভাবে রক্ষা করা যাবে $জে$ এমন একটা আইন করা হলো , যাতে ন্যূনতম শাস্তি সাত বছর কারাদণ্ড , যেখানে অভিযুক্তের জামিন পাওয়ার বিধান থাকবে না , কোনো ধরনের সুরক্ষা ব্যতিরেকেই যেকোনো সময় অভিযুক্তকে গ্রেপ্তার করা যাবে ? তো ২০০৬ সালের আইনটিতে তিন-চার ধরনের সংশোধনী এনে এমন একটা পরিস্থিতি তৈরি করা হলো , যা খুবই বিপজ্জনক।","এই ভারসাম্য এভাবে রক্ষা করা যাবে জে এমন একটা আইন করা হলো , যাতে ন্যূনতম শাস্তি সাত বছর কারাদণ্ড , যেখানে অভিযুক্তের জামিন পাওয়ার বিধান থাকবে না , কোনো ধরনের সুরক্ষা ব্যতিরেকেই যেকোনো সময় অভিযুক্তকে গ্রেপ্তার করা যাবে ? তো ২০০৬ সালের আইনটিতে তিন-চার ধরনের সংশোধনী এনে এমন একটা পরিস্থিতি তৈরি করা হলো , যা খুবই বিপজ্জনক।","[((33, 34), 'যে')]"
"এ ছাড়া বিচারক তাঁকে এক লাখ টাকা জরিমানা , অনাদায়ে আরও তিন বছরের সশ্রম কারাদণ্ডের আদেশ দেন।","এ ছাড়া বিচারক তাঁকে এক লাখ টাকা জরিমানা , অনাদায়ে আরও $তীণ$ বছরের সশ্রম কারাদণ্ডের আদেশ দেন।","এ ছাড়া বিচারক তাঁকে এক লাখ টাকা জরিমানা , অনাদায়ে আরও তীণ বছরের সশ্রম কারাদণ্ডের আদেশ দেন।","[((54, 56), 'তিন')]"
চোটে পড়ে পরে তো ওয়ানডে সিরিজই খেলতে পারলেন না ২২ বছর বয়সী এই পেসার।,চোটে পড়ে পরে তো ওয়ানডে সিরিজই খেলতে পারলেন $ণা$ ২২ বছর বয়সী এই পেসার।,চোটে পড়ে পরে তো ওয়ানডে সিরিজই খেলতে পারলেন ণা ২২ বছর বয়সী এই পেসার।,"[((43, 44), 'না')]"
মরদেহের মুখমণ্ডল চেনা যাচ্ছে না।,মরদেহের মুখমণ্ডল চেনা যাচ্ছে না।,মরদেহের মুখমণ্ডল চেনা যাচ্ছে না।,[]
"২০১৮ সালে জাতীয় নির্বাচন সামনে রেখে সরকারি ও বেসরকারি , এমপিওভুক্ত ও বহির্ভূত , ক্যাডার ও নন-ক্যাডার-সব শিক্ষক নিজ নিজ দাবি নিয়ে সক্রিয় হয়ে উঠেছেন।","২০১৮ সালে জাতীয় নির্বাচন সামনে রেখে সরকারি ও বেসরকারি , এমপিওভুক্ত ও বহির্ভূত , ক্যাডার ও নন-ক্যাডার-সব শিক্ষক নিজ নিজ দাবি নিয়ে সক্রিয় হয়ে উঠেছেন।","২০১৮ সালে জাতীয় নির্বাচন সামনে রেখে সরকারি ও বেসরকারি , এমপিওভুক্ত ও বহির্ভূত , ক্যাডার ও নন-ক্যাডার-সব শিক্ষক নিজ নিজ দাবি নিয়ে সক্রিয় হয়ে উঠেছেন।",[]
"বেলা যত গড়াতে থাকে , ক্রেতা-বিক্রেতার দর-কষাকষিতে জমে ওঠে পাট ও পেঁয়াজের হাট।","বেলা যত গড়াতে থাকে , ক্রেতা-বিক্রেতার দর-কষাকষিতে জমে ওঠে পাট ও পেঁয়াজের হাট।","বেলা যত গড়াতে থাকে , ক্রেতা-বিক্রেতার দর-কষাকষিতে জমে ওঠে পাট ও পেঁয়াজের হাট।",[]
"আহমদ পাবলিশিং হাউসের পরিচালক মেজবাউদ্দিন আহমদ বললেন , ‘ এত বড় একটি মেলা হচ্ছে অথচ ওরা মেলায় আসবে না কিংবা নতুন বইয়ের গন্ধে বিভোর হবে না , তা হয় না।","আহমদ পাবলিশিং হাউসের পরিচালক মেজবাউদ্দিন আহমদ বললেন , ‘ এত বড় একটি মেলা হচ্ছে অথচ ওরা মেলায় আসবে $ণা$ কিংবা নতুন বইয়ের গন্ধে বিভোর হবে না , তা হয় না।","আহমদ পাবলিশিং হাউসের পরিচালক মেজবাউদ্দিন আহমদ বললেন , ‘ এত বড় একটি মেলা হচ্ছে অথচ ওরা মেলায় আসবে ণা কিংবা নতুন বইয়ের গন্ধে বিভোর হবে না , তা হয় না।","[((98, 99), 'না')]"
তা না হলে সে আমাকে আবার অত্যাচার করবে।,তা $ণা$ হলে সে আমাকে আবার অত্যাচার করবে।,তা ণা হলে সে আমাকে আবার অত্যাচার করবে।,"[((3, 4), 'না')]"
প্রথা অনুযায়ী নির্বাচকদের দল আনুষ্ঠানিকভাবে ঘোষণার আগে সেটি বোর্ড সভাপতি অনুমোদন করেন।,প্রথা অনুযায়ী নির্বাচকদের দল আনুষ্ঠানিকভাবে ঘোষণার আগে সেটি $বোর্দ$ সভাপতি অনুমোদন করেন।,প্রথা অনুযায়ী নির্বাচকদের দল আনুষ্ঠানিকভাবে ঘোষণার আগে সেটি বোর্দ সভাপতি অনুমোদন করেন।,"[((60, 64), 'বোর্ড')]"
"দুর্বৃত্তরা ৩৫ ফুট রেললাইনের দুটি ফিশপ্লেট , ৩৮টি প্যান্ডেল ক্লিপ ও ছয়টি ফিশবোল্ড খুলে ফেলে।","দুর্বৃত্তরা ৩৫ ফুট রেললাইনের দুটি ফিশপ্লেট , ৩৮টি প্যান্ডেল ক্লিপ ও ছয়টি ফিশবোল্ড খুলে ফেলে।","দুর্বৃত্তরা ৩৫ ফুট রেললাইনের দুটি ফিশপ্লেট , ৩৮টি প্যান্ডেল ক্লিপ ও ছয়টি ফিশবোল্ড খুলে ফেলে।",[]
৬৬ মিনিটে কস্তা পেনাল্টি মিস না করলে আরও বড় ব্যবধানের জয় নিয়ে মাঠ ছাড়তে পারত তারা।,৬৬ মিনিটে কস্তা পেনাল্টি মিস না করলে আরও বড় ব্যবধানের জয় নিয়ে মাঠ ছাড়তে পারত তারা।,৬৬ মিনিটে কস্তা পেনাল্টি মিস না করলে আরও বড় ব্যবধানের জয় নিয়ে মাঠ ছাড়তে পারত তারা।,[]
"এ সময় বাস মালিকদের মধ্যে আক্রাম প্রধান , নুরুজ্জামান নুরু , দেলু হোসেন প্রমুখ উপস্থিত ছিলেন।","এ সময় বাস মালিকদের মধ্যে আক্রাম প্রধান , নুরুজ্জামান নুরু , দেলু হোসেন প্রমুখ উপস্থিত ছিলেন।","এ সময় বাস মালিকদের মধ্যে আক্রাম প্রধান , নুরুজ্জামান নুরু , দেলু হোসেন প্রমুখ উপস্থিত ছিলেন।",[]
অফিস শেষে বাসায় ফিরতে সন্ধ্যা।,$ওফীস$ শেষে বাসায় ফিরতে সন্ধ্যা।,ওফীস শেষে বাসায় ফিরতে সন্ধ্যা।,"[((0, 3), 'অফিস')]"
"মানবতাবিরোধী অপরাধের বিচারের সময় জামায়াতের পক্ষে কথা বলেছিলেন বলে অভিযোগ আছে—এমন প্রশ্নে কার্লাইল বলেন , এ অভিযোগ সম্পূর্ণ অসত্য ও মানহানিকর।","মানবতাবিরোধী অপরাধের বিচারের সময় জামায়াতের পক্ষে কথা বলেছিলেন বলে অভিযোগ আছে—এমন প্রশ্নে কার্লাইল বলেন , এ অভিযোগ সম্পূর্ণ অসত্য ও মানহানিকর।","মানবতাবিরোধী অপরাধের বিচারের সময় জামায়াতের পক্ষে কথা বলেছিলেন বলে অভিযোগ আছে—এমন প্রশ্নে কার্লাইল বলেন , এ অভিযোগ সম্পূর্ণ অসত্য ও মানহানিকর।",[]
ওয়েবসাইট ভিজিট করতে গ্রাহকরা যেতে পারেন www . gpmusic.co এই ঠিকানায়।,$ওয়েবসাঈত$ ভিজিট করতে গ্রাহকরা যেতে পারেন www . gpmusic.co এই ঠিকানায়।,ওয়েবসাঈত ভিজিট করতে গ্রাহকরা যেতে পারেন www . gpmusic.co এই ঠিকানায়।,"[((0, 7), 'ওয়েবসাইট')]"
"মাঠ ছাড়ার সময় দলের এক ক্রিকেটার গজরাতে গজরাতে বলছিলেন , ‘ বাউন্সার দেওয়ার জন্য স্কয়ার লেগ , লং লেগে দুজন ফিল্ডার বাউন্ডারিতে রাখা হলো অথচ বল করল ফুল লেংথ ...।","মাঠ ছাড়ার সময় দলের এক ক্রিকেটার গজরাতে গজরাতে বলছিলেন , ‘ বাউন্সার দেওয়ার জন্য স্কয়ার লেগ , $লঙ$ লেগে দুজন ফিল্ডার বাউন্ডারিতে রাখা হলো অথচ বল করল $ফূল$ লেংথ ...।","মাঠ ছাড়ার সময় দলের এক ক্রিকেটার গজরাতে গজরাতে বলছিলেন , ‘ বাউন্সার দেওয়ার জন্য স্কয়ার লেগ , লঙ লেগে দুজন ফিল্ডার বাউন্ডারিতে রাখা হলো অথচ বল করল ফূল লেংথ ...।","[((96, 97), 'লং'), ((149, 151), 'ফুল')]"
